DUT,XCoord,YCoord,Bin,subject_01,subject_02,subject_03,subject_04,subject_06,subject_07,subject_08,subject_09,subject_10,subject_11,subject_13,subject_14,subject_15,subject_16,subject_17,subject_18,subject_19,subject_20,subject_21,subject_22,subject_23,subject_24,subject_25,subject_27,subject_28,subject_29,subject_30,subject_31,subject_32,subject_33,subject_34,subject_35,subject_36,subject_37,subject_39,subject_40,subject_41,subject_42,subject_43,subject_45,subject_46,subject_47,subject_48,subject_49
6,10.0,3.0,1.0,1.535,1.212,0.546,-1.487,0.428,0.386,1.030,0.047,-0.313,0.609,1.041,-1.257,0.056,0.438,0.788,0.207,-0.368,1.323,-0.063,0.499,0.849,-0.439,0.733,1.130,0.045,-0.533,-0.669,-0.615,-0.027,-0.491,0.556,2.132,-1.428,-0.409,-0.937,-0.032,-0.074,2.101,-1.319,-0.269,-1.143,-0.935,0.677,0.923
7,20.0,10.0,1.0,-0.184,0.661,1.476,-1.691,-0.346,0.737,-0.517,1.439,0.122,0.174,-0.201,-1.395,0.637,0.198,-1.199,0.214,0.195,0.485,-0.520,1.059,1.410,-1.036,0.497,0.635,-1.445,1.495,1.595,0.275,-0.519,0.841,0.085,0.962,-1.432,0.276,0.529,-0.010,0.931,0.667,0.084,-0.145,-0.534,0.197,0.762,0.476
8,21.0,6.0,1.0,-0.359,0.605,0.211,-0.921,-0.235,1.348,0.657,2.047,-1.429,-1.429,-0.114,-0.434,-1.305,0.532,1.739,1.386,0.152,-0.194,-1.019,0.964,-0.652,0.224,0.485,1.191,-0.822,0.503,0.062,0.201,-0.446,0.463,1.304,3.141,-0.640,0.780,0.318,0.703,0.208,0.939,-0.244,0.090,-0.870,-1.437,-0.452,-1.588
9,31.0,1.0,1.0,0.281,0.378,0.344,-0.152,-0.330,0.566,-0.348,1.820,-0.193,-0.370,-1.216,-0.277,0.328,0.514,1.417,0.048,0.118,0.306,-0.952,0.576,-0.230,-0.377,1.125,-0.526,-1.000,0.734,0.808,-0.027,-3.003,1.313,-0.534,0.087,-0.538,1.758,0.747,-0.816,1.120,-0.241,0.947,-0.442,0.682,-0.798,0.661,0.275
10,10.0,8.0,1.0,0.248,0.764,-0.557,0.303,-0.196,0.250,-0.974,1.050,-1.246,-1.333,1.304,-0.452,0.770,0.878,-1.729,1.181,-0.201,2.848,1.732,0.718,3.422,-1.099,0.945,-0.542,-2.160,1.400,1.235,1.074,0.443,0.908,1.062,1.480,-1.401,0.544,0.861,-1.508,0.701,0.153,-0.162,-0.711,1.130,-1.251,-0.193,0.071
11,34.0,3.0,10.0,-0.613,1.262,0.169,-1.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.0,2.0,1.0,-0.196,-0.014,0.511,-1.350,0.529,0.953,0.285,0.949,-0.098,-1.014,0.441,-0.155,0.496,0.648,1.866,0.042,-0.358,1.125,-0.208,0.609,0.203,-1.453,0.486,1.149,-0.790,1.040,0.877,0.999,0.507,-0.097,0.396,0.489,-0.184,-0.771,0.318,-0.768,0.398,0.546,-0.423,-0.411,0.149,-1.919,0.775,1.993
13,1.0,4.0,1.0,-1.326,0.969,0.457,-0.336,-0.592,0.167,0.042,1.220,0.341,-1.333,1.639,-0.484,1.549,0.029,0.288,0.433,-0.640,1.117,-0.409,-0.046,2.264,-0.076,0.146,0.726,-1.298,3.036,1.894,0.077,0.088,-0.514,0.707,0.685,0.252,-0.052,0.209,-0.491,0.632,1.306,0.930,-0.499,-0.445,-1.518,0.067,-0.728
14,24.0,4.0,1.0,-0.098,-0.645,1.238,-1.173,-0.591,0.143,-0.388,0.674,-2.287,-1.551,-1.343,-0.683,1.241,-0.776,-0.508,1.200,-0.489,0.412,0.753,0.581,0.030,-0.052,1.486,0.721,-1.145,1.278,0.600,0.150,-2.342,0.146,1.318,0.295,-0.148,0.418,-0.631,-1.449,0.126,1.406,-1.930,0.065,0.444,-0.523,0.525,-1.688
15,16.0,6.0,1.0,-1.299,1.095,-0.112,-2.591,-0.130,0.709,0.757,1.213,-0.390,-2.534,1.496,-1.932,0.587,-0.392,0.090,-0.680,0.627,-0.008,-0.764,0.565,0.811,-1.515,0.784,0.759,-0.858,0.318,0.944,1.143,0.823,0.257,0.507,0.589,0.820,0.197,0.265,-0.637,0.828,-0.100,0.168,-0.857,-0.024,-0.490,-1.034,-0.296
16,34.0,2.0,1.0,-1.010,1.121,1.978,0.145,-1.050,1.783,0.260,0.386,-0.363,0.186,0.720,-0.569,-0.485,0.743,1.630,0.520,-0.126,-0.831,1.319,0.197,-0.348,-1.120,0.664,0.881,-0.659,2.171,1.223,0.949,-0.553,0.898,-1.084,0.247,-1.063,1.075,0.845,-0.339,1.258,2.338,0.659,-0.943,0.162,-0.576,0.828,0.248
17,29.0,10.0,1.0,1.743,0.158,-0.520,-0.585,-0.798,1.223,0.306,1.206,-1.348,-0.074,0.454,0.495,0.001,0.502,0.509,1.138,0.270,1.863,0.362,0.054,0.025,-1.078,2.031,0.532,-0.308,1.915,2.010,0.984,-1.195,-0.954,-0.219,1.347,-0.128,-0.065,0.280,-0.381,0.643,1.722,0.337,-0.023,0.372,-0.240,0.607,0.276
18,26.0,6.0,1.0,-0.175,0.923,0.152,-1.853,0.096,-0.323,-0.921,1.749,-1.187,-1.260,2.269,-0.191,0.858,-0.299,0.313,-0.278,-0.971,0.482,-0.403,0.792,1.386,-0.826,1.234,0.735,-1.049,0.806,-0.182,-0.018,0.037,1.652,1.149,0.214,-0.990,-0.847,0.427,-1.497,0.110,-0.130,0.400,-0.268,-0.185,0.408,-0.364,0.593
19,15.0,5.0,1.0,0.775,0.123,-2.028,-0.765,-0.251,0.807,-0.299,0.802,-0.736,-0.701,-0.586,-0.842,1.263,0.116,0.202,-0.251,1.282,0.651,-1.623,-0.149,1.558,-1.766,1.201,0.872,-0.563,1.277,1.787,-0.136,0.461,0.310,1.760,1.417,-0.943,-0.164,-0.105,-0.045,0.377,-1.936,1.515,-1.950,-1.403,-1.528,0.347,-1.234
20,15.0,6.0,1.0,0.640,0.658,0.173,-1.113,-0.380,0.764,-0.224,0.770,-1.493,-0.755,0.706,-0.015,1.510,1.861,1.592,0.705,0.714,-0.613,0.084,0.524,0.764,-1.694,1.277,1.191,0.126,2.287,0.971,-0.862,-1.459,-0.025,-0.060,0.315,-0.348,-1.096,-0.230,-1.342,0.677,-0.181,-0.149,-0.118,1.345,-1.114,0.269,-0.203
21,18.0,1.0,1.0,0.579,-0.022,0.951,-2.714,0.203,0.137,0.838,2.463,0.170,-0.636,0.346,-0.634,1.044,0.088,0.436,0.764,-0.323,-0.734,-1.228,1.107,1.050,-0.721,1.000,-0.634,-0.998,0.349,-0.818,-1.145,-1.541,-1.398,0.538,-0.319,0.489,0.289,0.273,-1.715,0.194,-1.430,1.748,1.310,-0.011,-1.971,0.070,-1.331
22,29.0,9.0,1.0,0.151,-0.338,0.280,-0.726,-1.243,0.700,-0.145,0.658,-1.314,-0.625,-0.381,0.235,-0.228,0.802,1.125,2.114,-0.722,-0.280,-1.325,-0.422,1.903,-2.734,1.243,0.924,-1.998,0.622,0.775,-1.577,-0.091,0.749,0.717,0.498,-0.579,1.748,-1.608,-1.300,1.061,-0.528,0.405,-0.482,-0.705,-1.159,1.078,-0.111
23,15.0,7.0,1.0,0.348,-0.118,0.755,-0.026,-0.231,-0.790,-1.329,2.379,0.519,-1.070,0.298,0.507,0.553,1.258,-0.417,0.719,-0.372,-0.802,-2.082,0.549,1.182,-1.009,0.333,0.067,-1.209,0.041,1.303,1.694,-0.174,0.437,0.860,0.434,-0.712,-0.339,-0.199,-0.159,0.701,-0.187,-0.425,0.822,0.402,-0.479,-0.257,-1.141
24,15.0,1.0,1.0,-0.626,1.856,2.568,-0.284,0.432,1.080,-1.326,0.691,-0.534,0.032,-0.398,0.128,0.325,0.489,0.144,-0.339,0.016,1.471,0.437,0.429,0.044,-0.107,0.365,1.629,-1.064,0.988,-0.226,0.918,-0.073,-0.028,-0.045,2.070,0.173,0.624,0.551,-0.473,1.033,0.140,1.802,0.205,0.940,-0.187,0.504,-1.898
25,2.0,7.0,1.0,-1.134,0.998,-0.091,-0.416,-0.105,0.773,-0.533,1.047,-1.532,-0.962,1.820,-1.050,0.325,1.231,2.142,-0.127,-0.636,-0.144,-1.346,0.584,1.116,-0.882,0.794,0.397,-0.658,0.216,-0.349,-0.978,-1.625,-0.467,1.647,1.987,-0.433,-1.360,-0.466,-0.349,0.183,0.210,2.257,-1.111,-0.401,-1.713,0.337,-1.632
26,17.0,5.0,1.0,-0.414,1.383,1.041,-3.634,-0.471,0.810,0.177,0.093,-1.076,0.486,1.845,0.135,0.313,0.956,1.988,0.854,-0.413,-1.195,-0.934,-0.340,0.174,-0.890,1.192,0.353,-1.174,1.501,1.500,1.763,0.176,0.059,-0.520,0.670,-1.228,0.619,0.282,-0.794,0.383,-0.361,0.311,-0.668,0.130,-0.205,0.667,-0.709
27,5.0,4.0,1.0,-0.377,-0.159,0.958,0.079,0.640,0.442,-1.279,0.878,-1.188,-1.361,0.588,-1.305,1.101,0.538,0.877,1.123,-0.237,0.258,-0.967,0.734,0.677,-0.049,0.482,1.119,0.316,1.063,0.763,-0.055,-1.759,1.929,0.382,1.204,0.150,-1.113,-0.176,-0.750,0.633,1.341,-1.138,0.460,-0.150,-0.184,0.326,-1.478
28,13.0,9.0,1.0,-0.818,1.817,-1.678,-1.699,-0.399,1.372,-1.968,1.015,-0.042,-1.304,2.393,-0.789,-0.461,1.271,1.087,-0.090,-0.006,-0.452,-1.696,-0.268,0.605,-0.386,0.122,0.113,-0.319,2.619,-0.044,0.532,-0.613,-0.172,0.667,1.517,-0.719,0.393,0.125,0.008,0.718,-0.983,-0.989,1.520,0.403,-1.471,0.605,0.243
29,14.0,5.0,1.0,-0.149,1.834,0.045,0.691,-0.251,1.378,-1.478,0.510,-1.138,-0.678,-0.117,-0.602,0.331,1.493,0.357,0.065,-0.895,1.230,-0.044,0.580,1.072,-1.116,1.135,-0.429,-1.283,0.975,-0.624,0.893,-0.117,1.683,0.619,-0.079,-1.197,0.370,-0.611,-0.530,0.360,0.403,0.415,-0.733,0.642,0.050,0.374,-1.628
30,11.0,9.0,18.0,-0.436,0.347,-0.580,-0.652,-0.524,1.344,0.334,1.193,-1.412,-0.427,-0.400,-0.026,1.213,0.948,1.973,0.023,-0.079,2.040,-1.489,-0.290,0.469,0.013,0.602,0.816,-0.848,-1.114,1.760,0.207,-0.995,0.384,1.092,0.060,-0.431,-0.387,-0.031,-0.279,1.007,0.267,-0.689,-1.381,0.147,0.677,-0.455,-11.803
31,7.0,2.0,1.0,-0.462,1.269,0.599,0.278,-0.462,0.152,-0.117,0.729,-1.463,-1.204,0.498,-0.040,1.015,1.633,1.349,2.109,0.058,-1.691,-0.360,-0.468,0.432,-0.139,0.757,0.507,-1.101,1.997,0.669,0.032,-1.294,-0.237,0.611,0.551,-0.020,0.182,-0.370,-0.382,0.988,1.063,-1.128,-0.029,0.558,-0.974,0.079,-0.444
32,12.0,6.0,1.0,0.971,1.682,-1.545,-2.312,-0.334,1.172,-0.735,1.007,-1.944,-1.144,0.311,-0.715,0.717,0.395,0.328,0.038,-0.367,1.094,-0.798,0.737,0.557,-0.762,0.907,0.934,-1.689,3.417,1.633,0.413,-1.651,-0.899,1.559,1.267,-0.568,0.047,-0.270,-1.966,0.993,1.169,-0.192,1.228,0.624,-0.216,-0.480,1.990
33,13.0,4.0,1.0,1.237,-0.182,0.870,-0.622,0.311,0.752,-1.993,1.075,-0.441,-0.272,0.973,-0.625,1.361,0.911,-0.098,1.458,0.820,-1.048,-0.826,-0.474,1.609,0.392,0.166,0.766,-1.933,0.487,0.444,1.038,-1.316,1.022,0.482,0.676,-0.402,-0.721,-0.415,-0.867,0.700,0.767,-0.140,0.380,0.669,-0.279,0.745,0.392
34,29.0,5.0,1.0,-0.774,0.764,0.952,-1.181,0.010,0.261,-0.765,2.153,-2.153,-0.866,0.975,-1.480,0.938,0.215,0.134,1.533,0.642,1.301,-0.616,0.458,1.505,-1.255,1.836,0.017,-1.111,2.445,0.173,0.191,-1.287,0.665,2.048,2.035,-0.661,-1.963,-1.315,-0.656,1.599,-0.574,-0.369,1.043,0.516,-0.118,0.566,-1.185
35,20.0,5.0,1.0,-0.361,2.387,0.973,0.658,0.188,1.090,0.866,0.150,-0.166,-1.396,0.182,-0.966,0.995,-0.263,1.094,1.006,-0.608,0.653,-0.785,0.488,1.114,-0.011,0.298,0.900,-2.040,1.800,0.145,-0.436,-0.647,-0.085,-0.414,0.157,-0.494,1.054,-0.346,-0.453,1.209,0.134,0.467,0.182,0.902,-0.274,-0.289,0.363
36,8.0,1.0,1.0,0.059,1.088,-0.874,-0.751,0.304,-0.269,-0.996,1.521,-0.612,-1.005,0.035,0.302,1.563,0.857,-1.034,2.467,0.499,0.493,-0.455,-0.293,0.659,-0.342,1.184,1.538,-0.151,0.350,0.897,1.263,-0.192,0.657,1.587,0.472,-0.277,-0.828,0.089,-1.492,1.053,-0.558,-1.021,-1.735,1.763,0.383,-0.469,-0.975
37,13.0,6.0,1.0,0.497,0.254,-0.494,-0.895,-0.761,1.709,-0.724,-0.566,-0.428,-0.582,1.041,0.305,0.030,0.585,0.677,-0.671,-1.208,0.492,-1.276,0.102,2.419,-0.856,0.512,0.397,-0.843,0.845,1.220,0.923,0.705,0.397,0.482,-0.097,-0.521,-1.091,-0.992,-1.434,0.770,-0.057,1.252,-0.149,0.761,-0.942,-0.193,0.367
38,28.0,9.0,1.0,-0.815,0.362,0.665,-3.170,-0.535,0.516,-1.487,0.533,-0.563,-0.111,-0.030,-0.075,1.190,0.496,-0.106,-1.528,-0.198,1.364,-1.378,0.690,0.267,-0.712,0.892,1.190,0.518,1.067,-0.505,-0.293,0.424,1.041,0.561,0.879,1.043,-0.662,0.303,-0.725,1.068,0.383,-1.611,0.262,-0.907,-0.814,-0.225,-1.210
39,8.0,6.0,17.0,0.952,0.511,0.059,0.024,0.007,0.062,0.572,1.330,-1.625,0.178,0.224,1.802,0.759,0.678,0.801,1.663,-0.472,-0.122,0.413,0.180,1.257,-0.429,1.277,0.378,-2.112,1.994,-0.267,-0.277,-2.369,1.667,0.695,0.948,0.159,-0.520,1.064,1.029,0.168,1.335,1.439,,,,,
40,28.0,5.0,1.0,1.778,1.583,1.047,0.306,-0.399,1.137,0.829,0.216,-0.797,-0.925,2.116,-1.284,0.071,0.035,0.796,0.905,-0.155,0.398,-0.368,0.127,0.862,-2.426,0.497,-0.230,-0.303,1.421,1.166,-0.307,-0.763,-1.059,-0.673,0.907,0.555,2.349,0.855,-1.430,0.147,-0.478,1.343,0.176,-0.699,-1.930,1.293,0.296
41,31.0,4.0,1.0,-0.665,-0.114,1.154,-0.650,-0.613,0.786,-0.464,0.599,-0.644,-0.331,1.087,-0.341,0.678,1.015,-0.390,-0.806,-0.361,-1.531,0.028,0.011,0.603,-1.320,0.315,0.339,-0.474,-0.055,0.058,-0.723,0.188,-0.158,1.585,0.621,-0.145,0.126,-0.864,0.184,0.493,0.505,-0.025,0.098,0.537,-1.087,0.333,-1.664
42,9.0,1.0,1.0,-0.926,1.234,-1.242,-1.802,0.248,0.642,-1.481,1.048,-0.381,0.918,-0.677,-0.564,0.356,0.343,0.527,0.017,-0.855,1.017,0.130,0.365,0.041,-0.896,0.468,0.873,-0.809,-0.269,-0.448,2.483,0.813,1.232,0.661,0.604,-0.127,2.869,-0.117,-0.972,0.935,0.841,1.101,-1.257,0.425,-0.874,-0.108,-0.104
43,22.0,5.0,1.0,1.028,-0.795,1.209,-1.422,-0.606,1.004,0.711,1.845,0.086,0.065,0.598,-0.732,1.693,0.831,2.091,-1.052,-0.575,-1.040,-1.139,1.211,0.789,-0.710,0.802,1.554,-1.836,1.079,0.949,0.095,0.200,0.289,0.619,1.081,0.023,0.385,-1.266,0.389,0.352,-0.147,-0.538,0.507,1.044,-0.881,0.970,-0.521
44,19.0,2.0,1.0,-1.520,1.320,1.434,-1.225,0.626,0.125,-0.567,2.104,-1.388,-0.340,0.433,-1.067,0.629,0.441,1.224,-0.526,-0.534,-0.942,-1.175,0.395,1.209,-0.557,0.630,-0.290,0.198,-0.152,-0.520,0.046,-1.759,0.110,0.687,0.308,-0.531,0.531,0.206,0.386,0.960,-1.131,1.746,1.093,0.670,-2.113,-0.390,-1.046
45,33.0,7.0,1.0,1.470,1.581,0.583,-0.440,0.548,0.984,-1.219,1.513,-1.274,-2.409,1.162,-2.219,1.798,0.228,1.017,1.649,-0.749,-1.869,-2.341,-0.090,-0.555,-0.851,0.650,0.624,-0.742,-0.491,-1.618,0.469,0.532,1.390,0.040,1.581,0.200,-1.500,0.174,0.628,1.622,-0.340,0.579,1.067,1.037,-0.692,0.404,0.139
46,14.0,3.0,1.0,0.266,0.308,1.137,-1.810,-0.108,0.223,-0.282,0.710,-0.495,-0.642,-0.126,-0.067,0.778,-0.948,0.519,-1.176,-0.069,2.183,0.280,-0.483,0.488,-0.915,1.410,1.154,-0.080,-0.733,-0.513,1.135,-1.079,1.238,1.035,0.953,-0.739,-0.707,0.177,-0.128,0.665,-0.826,0.631,-0.908,-0.599,-0.268,0.631,-0.719
47,23.0,2.0,1.0,-0.084,0.730,0.667,-0.391,-0.666,0.141,-2.857,0.801,0.204,-1.545,1.150,0.157,-0.358,0.573,-0.285,0.469,-0.769,1.695,-1.875,1.431,1.759,-0.787,1.232,1.440,-1.189,-0.035,0.328,0.411,-0.801,-0.660,-0.199,0.926,0.145,-0.380,-0.505,-1.069,0.323,-1.084,1.201,0.227,0.815,-1.076,0.154,-0.513
48,21.0,10.0,1.0,1.194,1.311,0.177,-2.205,-0.324,0.205,0.092,1.440,-0.923,-1.444,0.115,-0.111,0.431,1.716,1.531,-0.192,0.611,0.753,-0.100,0.117,0.920,-1.114,-0.021,1.968,-0.815,-0.202,-0.687,-0.121,0.903,1.175,1.298,0.589,-0.175,-1.536,-0.370,-0.843,-0.156,-0.491,-0.634,-1.113,-0.189,-0.211,0.467,-0.524
49,21.0,3.0,12.0,0.611,-0.632,-0.605,-2.418,0.315,1.923,-0.615,1.517,-1.175,-1.460,1.293,6.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,17.0,9.0,1.0,0.709,-0.108,-0.538,0.365,-0.768,0.244,0.142,0.885,-0.243,-0.988,-0.489,0.034,1.084,1.437,0.574,2.205,-0.129,0.307,-0.314,0.479,-0.643,-0.480,-0.285,0.618,-0.965,1.352,0.174,-1.015,-0.680,-0.934,0.947,0.634,-1.360,-0.110,0.071,-0.932,-0.010,-0.835,-0.499,-1.842,0.503,-1.273,0.488,-1.090
51,27.0,7.0,1.0,-1.359,0.295,1.966,-1.872,-0.312,1.173,-1.351,1.844,-1.246,-0.994,0.466,-1.708,0.939,1.325,2.625,1.574,-0.568,-0.330,0.662,0.889,-0.175,-1.118,0.220,0.737,-1.314,2.260,-0.656,0.548,1.307,-0.830,0.150,0.933,-0.918,0.209,-0.755,-0.543,0.252,-0.274,0.755,0.803,1.595,-0.272,-0.150,0.126
52,11.0,5.0,1.0,-0.118,1.005,0.422,-0.641,-0.959,0.258,1.412,1.584,-0.693,-0.445,0.259,-1.138,0.501,0.151,0.736,-1.199,-0.266,0.763,0.091,-0.389,0.114,-1.173,1.827,0.883,0.465,-1.138,0.142,1.216,-0.107,-0.500,2.025,1.737,0.501,1.458,-0.251,-0.036,-0.754,-0.283,-1.185,-0.560,0.036,0.057,0.583,-0.642
53,35.0,6.0,1.0,0.195,1.496,1.006,-1.902,-1.179,1.095,-0.511,0.393,-1.238,-0.225,-0.198,-0.294,0.685,0.896,-1.262,-0.164,-1.004,2.418,-2.078,-0.591,0.728,-0.553,0.694,1.492,-0.277,2.402,0.511,-1.443,-0.075,-0.398,-0.477,0.829,-0.073,0.583,0.656,0.353,0.721,0.446,2.950,-0.728,-0.095,-1.252,-0.782,-1.670
54,23.0,7.0,1.0,-0.607,-0.515,0.195,-1.308,-0.388,0.248,0.047,0.124,-0.243,-0.685,0.793,-0.241,1.386,0.346,0.043,-0.731,-0.347,1.569,-1.764,-0.663,2.276,-1.768,1.083,0.347,-0.311,1.422,0.215,3.148,-0.180,0.691,1.242,-0.415,0.597,1.208,-0.127,-0.099,1.010,-0.155,0.169,0.819,-0.127,-0.264,0.652,-0.805
55,14.0,8.0,1.0,0.388,-0.044,1.940,-0.973,-0.425,1.538,-0.286,0.200,-0.982,-0.712,0.530,-1.741,-0.089,0.462,0.275,-0.744,-0.972,-1.028,-0.457,0.482,0.365,-0.961,0.578,1.306,-1.501,-0.100,-0.508,-0.671,-0.287,-0.144,0.441,0.564,-0.163,-0.487,1.220,-1.310,1.043,0.263,-0.185,0.631,-1.041,-0.886,0.811,1.552
56,10.0,1.0,1.0,-0.537,-0.588,0.583,-4.164,-0.082,0.452,1.632,1.348,-1.454,-1.014,1.148,0.243,2.074,0.724,0.607,1.885,-1.193,1.249,-1.464,0.058,0.293,-1.246,2.315,0.986,0.527,1.035,-0.798,0.153,-0.512,-0.260,0.677,0.353,-0.284,-0.001,-0.723,0.808,1.224,-1.138,1.770,0.640,-0.791,-0.730,0.431,-0.666
57,33.0,10.0,1.0,0.067,-0.340,0.335,-0.863,-0.643,1.412,-1.851,1.383,-1.226,-0.778,0.683,-0.302,-1.097,0.359,1.831,0.653,0.029,3.093,0.273,1.034,-0.217,-0.452,0.430,0.265,0.208,-0.404,0.767,0.377,-1.239,0.156,1.396,1.514,-0.053,0.767,-0.541,-1.507,0.260,0.499,-1.388,1.382,-1.228,-0.491,1.158,-0.845
58,18.0,7.0,1.0,-0.213,1.023,1.698,0.913,-0.163,-0.036,-1.183,-0.305,-0.262,-0.652,0.463,-1.718,-0.158,0.852,1.010,1.064,0.354,-0.572,1.248,0.327,1.440,-0.639,0.528,1.334,0.135,1.519,0.563,0.327,-0.121,-0.809,0.562,0.572,-0.001,-1.027,0.635,-1.058,-0.363,-1.439,-0.742,0.089,0.372,0.098,0.180,-2.228
59,1.0,8.0,1.0,-0.045,0.960,-0.575,-1.139,-0.563,0.888,0.602,0.790,-0.616,-0.515,1.160,-0.879,1.554,1.256,1.238,0.425,-0.547,0.840,-0.256,-0.268,2.348,-1.005,1.625,1.033,-1.200,1.776,1.622,-0.035,-2.023,-0.208,-0.605,1.627,0.561,0.670,1.137,-0.699,1.308,1.233,-0.292,1.152,0.513,-1.013,0.436,-0.387
60,28.0,2.0,1.0,-1.067,0.124,1.464,-0.725,-1.214,1.333,-0.972,0.856,0.040,0.274,1.402,-0.500,1.445,-0.057,1.590,0.737,-0.311,-1.249,-0.142,0.105,1.105,-1.539,2.146,0.731,0.242,-0.149,0.612,0.299,0.708,1.718,1.176,0.637,-0.650,-0.026,-0.316,0.109,0.342,1.622,0.525,1.348,-0.614,-0.370,-0.046,0.472
61,15.0,8.0,1.0,0.818,1.420,-0.671,-0.993,-0.398,-0.257,-1.828,1.212,0.132,-0.171,0.697,1.710,0.106,-0.228,1.735,1.173,0.593,0.037,-1.301,-0.214,1.490,0.135,0.071,0.753,-0.691,2.914,0.866,-0.142,-0.323,0.242,1.219,1.048,0.743,-1.953,-1.045,-0.602,0.746,0.115,-1.067,1.244,-0.411,-0.531,0.549,0.407
