item,case,level,level_ko,desc,expect_focus,detect_path,strength_t,solved_metric,tno,unit,lsl,usl,before_shape,before_mean,before_stdev,before_quant,after_shape,after_mean,after_stdev,after_quant
SHAPE_TRIMODAL_02_L1,SHAPE_TRIMODAL,1,L1 미검출(여유),정규 → 삼봉(사이트 혼입),0,ks,0.604,0.0505,1021,V,0.0,10.0,normal,5.0,1.041667,,trimodal,5.0,1.041667,
SHAPE_TRIMODAL_02_L2,SHAPE_TRIMODAL,2,L2 미검출(임계 직하),정규 → 삼봉(사이트 혼입),0,ks,0.8054,0.0991,1022,V,0.0,10.0,normal,5.0,1.041667,,trimodal,5.0,1.041667,
SHAPE_TRIMODAL_02_L3,SHAPE_TRIMODAL,3,L3 검출(임계 초과),정규 → 삼봉(사이트 혼입),1,ks,3.0,0.2071,1023,V,0.0,10.0,normal,5.0,1.041667,,trimodal,5.0,1.041667,
SHAPE_TRIMODAL_02_L4,SHAPE_TRIMODAL,4,L4 검출(크게 초과),정규 → 삼봉(사이트 혼입),1,ks,3.0,0.2071,1024,V,0.0,10.0,normal,5.0,1.041667,,trimodal,5.0,1.041667,
SHAPE_TAILFLIP_01_L1,SHAPE_TAILFLIP,1,L1 미검출(여유),"꼬리 방향 반전 (위→아래, μ·σ 동일)",0,ks,0.2739,0.0496,1025,V,0.0,10.0,tail_up,5.0,1.041667,,tail_down,5.0,1.041667,
SHAPE_TAILFLIP_01_L2,SHAPE_TAILFLIP,2,L2 미검출(임계 직하),"꼬리 방향 반전 (위→아래, μ·σ 동일)",0,ks,2.6436,0.0991,1026,V,0.0,10.0,tail_up,5.0,1.041667,,tail_down,5.0,1.041667,
SHAPE_TAILFLIP_01_L3,SHAPE_TAILFLIP,3,L3 검출(임계 초과),"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,ks,1.0,0.2438,1027,V,0.0,10.0,tail_up,5.0,1.041667,,tail_down,5.0,1.041667,
SHAPE_TAILFLIP_01_L4,SHAPE_TAILFLIP,4,L4 검출(크게 초과),"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,ks,1.0,0.2438,1028,V,0.0,10.0,tail_up,5.0,1.041667,,tail_down,5.0,1.041667,
SHAPE_TAILFLIP_02_L1,SHAPE_TAILFLIP,1,L1 미검출(여유),"꼬리 방향 반전 (위→아래, μ·σ 동일)",0,ks,0.2739,0.0496,1029,V,0.0,10.0,tail_up,5.0,1.041667,,tail_down,5.0,1.041667,
SHAPE_TAILFLIP_02_L2,SHAPE_TAILFLIP,2,L2 미검출(임계 직하),"꼬리 방향 반전 (위→아래, μ·σ 동일)",0,ks,2.6436,0.0991,1030,V,0.0,10.0,tail_up,5.0,1.041667,,tail_down,5.0,1.041667,
SHAPE_TAILFLIP_02_L3,SHAPE_TAILFLIP,3,L3 검출(임계 초과),"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,ks,1.0,0.2438,1031,V,0.0,10.0,tail_up,5.0,1.041667,,tail_down,5.0,1.041667,
SHAPE_TAILFLIP_02_L4,SHAPE_TAILFLIP,4,L4 검출(크게 초과),"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,ks,1.0,0.2438,1032,V,0.0,10.0,tail_up,5.0,1.041667,,tail_down,5.0,1.041667,
SHAPE_TAIL_ONESIDE_01_L1,SHAPE_TAIL_ONESIDE,1,L1 미검출(여유),정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),0,ks,0.2078,0.0476,1033,V,0.0,10.0,normal,5.0,1.041667,,tail_up,5.0,1.041667,
SHAPE_TAIL_ONESIDE_01_L2,SHAPE_TAIL_ONESIDE,2,L2 미검출(임계 직하),정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),0,ks,0.5481,0.0971,1034,V,0.0,10.0,normal,5.0,1.041667,,tail_up,5.0,1.041667,
SHAPE_TAIL_ONESIDE_01_L3,SHAPE_TAIL_ONESIDE,3,L3 검출(임계 초과),정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,ks,3.0,0.226,1035,V,0.0,10.0,normal,5.0,1.041667,,tail_up,5.0,1.041667,
SHAPE_TAIL_ONESIDE_01_L4,SHAPE_TAIL_ONESIDE,4,L4 검출(크게 초과),정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,ks,3.0,0.226,1036,V,0.0,10.0,normal,5.0,1.041667,,tail_up,5.0,1.041667,
SHAPE_TAIL_ONESIDE_02_L1,SHAPE_TAIL_ONESIDE,1,L1 미검출(여유),정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),0,ks,0.2078,0.0476,1037,V,0.0,10.0,normal,5.0,1.041667,,tail_up,5.0,1.041667,
SHAPE_TAIL_ONESIDE_02_L2,SHAPE_TAIL_ONESIDE,2,L2 미검출(임계 직하),정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),0,ks,0.5481,0.0971,1038,V,0.0,10.0,normal,5.0,1.041667,,tail_up,5.0,1.041667,
SHAPE_TAIL_ONESIDE_02_L3,SHAPE_TAIL_ONESIDE,3,L3 검출(임계 초과),정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,ks,3.0,0.226,1039,V,0.0,10.0,normal,5.0,1.041667,,tail_up,5.0,1.041667,
SHAPE_TAIL_ONESIDE_02_L4,SHAPE_TAIL_ONESIDE,4,L4 검출(크게 초과),정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,ks,3.0,0.226,1040,V,0.0,10.0,normal,5.0,1.041667,,tail_up,5.0,1.041667,
SHAPE_TAIL_BOTH_01_L1,SHAPE_TAIL_BOTH,1,L1 미검출(여유),정규 → 양쪽 꼬리(몸통 수축),0,ks,0.45,0.0466,1041,V,0.0,10.0,normal,5.0,1.041667,,tail_both,5.0,1.041667,
SHAPE_TAIL_BOTH_01_L2,SHAPE_TAIL_BOTH,2,L2 미검출(임계 직하),정규 → 양쪽 꼬리(몸통 수축),0,ks,1.4964,0.1001,1042,V,0.0,10.0,normal,5.0,1.041667,,tail_both,5.0,1.041667,
SHAPE_TAIL_BOTH_01_L3,SHAPE_TAIL_BOTH,3,L3 검출(임계 초과),정규 → 양쪽 꼬리(몸통 수축),1,ks,3.0,0.1596,1043,V,0.0,10.0,normal,5.0,1.041667,,tail_both,5.0,1.041667,
SHAPE_TAIL_BOTH_01_L4,SHAPE_TAIL_BOTH,4,L4 검출(크게 초과),정규 → 양쪽 꼬리(몸통 수축),1,ks,3.0,0.1596,1044,V,0.0,10.0,normal,5.0,1.041667,,tail_both,5.0,1.041667,
SHAPE_PLATEAU_01_L1,SHAPE_PLATEAU,1,L1 미검출(여유),정규 → 중앙 함몰(U 자화),0,ks,0.2935,0.0486,1045,V,0.0,10.0,normal,5.0,1.041667,,plateau,5.0,1.041667,
SHAPE_PLATEAU_01_L2,SHAPE_PLATEAU,2,L2 미검출(임계 직하),정규 → 중앙 함몰(U 자화),0,ks,0.5535,0.0991,1046,V,0.0,10.0,normal,5.0,1.041667,,plateau,5.0,1.041667,
SHAPE_PLATEAU_01_L3,SHAPE_PLATEAU,3,L3 검출(임계 초과),정규 → 중앙 함몰(U 자화),1,ks,3.0,0.1833,1047,V,0.0,10.0,normal,5.0,1.041667,,plateau,5.0,1.041667,
SHAPE_PLATEAU_01_L4,SHAPE_PLATEAU,4,L4 검출(크게 초과),정규 → 중앙 함몰(U 자화),1,ks,3.0,0.1833,1048,V,0.0,10.0,normal,5.0,1.041667,,plateau,5.0,1.041667,
SHAPE_SKEW_R_01_L1,SHAPE_SKEW_R,1,L1 미검출(여유),정규 → 우왜곡(로그정규형),0,ks,0.0158,0.0496,1049,V,0.0,10.0,normal,5.0,1.041667,,skew_right,5.0,1.041667,
SHAPE_SKEW_R_01_L2,SHAPE_SKEW_R,2,L2 미검출(임계 직하),정규 → 우왜곡(로그정규형),0,ks,0.2123,0.0991,1050,V,0.0,10.0,normal,5.0,1.041667,,skew_right,5.0,1.041667,
SHAPE_SKEW_R_01_L3,SHAPE_SKEW_R,3,L3 검출(임계 초과),정규 → 우왜곡(로그정규형),1,ks,0.9461,0.2398,1051,V,0.0,10.0,normal,5.0,1.041667,,skew_right,5.0,1.041667,
SHAPE_SKEW_R_01_L4,SHAPE_SKEW_R,4,L4 검출(크게 초과),정규 → 우왜곡(로그정규형),1,ks,3.0,0.3885,1052,V,0.0,10.0,normal,5.0,1.041667,,skew_right,5.0,1.041667,
SHAPE_SKEWFLIP_01_L1,SHAPE_SKEWFLIP,1,L1 미검출(여유),"왜곡 방향 반전 (우→좌, μ·σ 동일)",0,ks,0.002,0.0496,1053,V,0.0,10.0,skew_right,5.0,1.041667,,skew_left,5.0,1.041667,
SHAPE_SKEWFLIP_01_L2,SHAPE_SKEWFLIP,2,L2 미검출(임계 직하),"왜곡 방향 반전 (우→좌, μ·σ 동일)",0,ks,0.1121,0.1001,1054,V,0.0,10.0,skew_right,5.0,1.041667,,skew_left,5.0,1.041667,
SHAPE_SKEWFLIP_01_L3,SHAPE_SKEWFLIP,3,L3 검출(임계 초과),"왜곡 방향 반전 (우→좌, μ·σ 동일)",1,ks,0.4722,0.2408,1055,V,0.0,10.0,skew_right,5.0,1.041667,,skew_left,5.0,1.041667,
SHAPE_SKEWFLIP_01_L4,SHAPE_SKEWFLIP,4,L4 검출(크게 초과),"왜곡 방향 반전 (우→좌, μ·σ 동일)",1,ks,0.9044,0.4192,1056,V,0.0,10.0,skew_right,5.0,1.041667,,skew_left,5.0,1.041667,
SHAPE_OUTLIER_01_L1,SHAPE_OUTLIER,1,L1 미검출(여유),정규 → 이탈 무리 분리,0,ks,0.0682,0.0505,1057,V,0.0,10.0,normal,5.0,1.041667,,outlier_cluster,5.0,1.041667,
SHAPE_OUTLIER_01_L2,SHAPE_OUTLIER,2,L2 미검출(임계 직하),정규 → 이탈 무리 분리,0,ks,0.3726,0.0981,1058,V,0.0,10.0,normal,5.0,1.041667,,outlier_cluster,5.0,1.041667,
SHAPE_OUTLIER_01_L3,SHAPE_OUTLIER,3,L3 검출(임계 초과),정규 → 이탈 무리 분리,1,ks,0.9508,0.2398,1059,V,0.0,10.0,normal,5.0,1.041667,,outlier_cluster,5.0,1.041667,
SHAPE_OUTLIER_01_L4,SHAPE_OUTLIER,4,L4 검출(크게 초과),정규 → 이탈 무리 분리,1,ks,3.0,0.2785,1060,V,0.0,10.0,normal,5.0,1.041667,,outlier_cluster,5.0,1.041667,
SHAPE_OUTLIER_02_L1,SHAPE_OUTLIER,1,L1 미검출(여유),정규 → 이탈 무리 분리,0,ks,0.0682,0.0505,1061,V,0.0,10.0,normal,5.0,1.041667,,outlier_cluster,5.0,1.041667,
SHAPE_OUTLIER_02_L2,SHAPE_OUTLIER,2,L2 미검출(임계 직하),정규 → 이탈 무리 분리,0,ks,0.3726,0.0981,1062,V,0.0,10.0,normal,5.0,1.041667,,outlier_cluster,5.0,1.041667,
SHAPE_OUTLIER_02_L3,SHAPE_OUTLIER,3,L3 검출(임계 초과),정규 → 이탈 무리 분리,1,ks,0.9508,0.2398,1063,V,0.0,10.0,normal,5.0,1.041667,,outlier_cluster,5.0,1.041667,
SHAPE_OUTLIER_02_L4,SHAPE_OUTLIER,4,L4 검출(크게 초과),정규 → 이탈 무리 분리,1,ks,3.0,0.2785,1064,V,0.0,10.0,normal,5.0,1.041667,,outlier_cluster,5.0,1.041667,
SHAPE_SPIKE_01_L1,SHAPE_SPIKE,1,L1 미검출(여유),정규 → 단일값 스파이크(포화·클램프),0,ks,0.0525,0.0476,1065,V,0.0,10.0,normal,5.0,1.041667,,spike,5.0,1.041667,
SHAPE_SPIKE_01_L2,SHAPE_SPIKE,2,L2 미검출(임계 직하),정규 → 단일값 스파이크(포화·클램프),0,ks,0.1754,0.0951,1066,V,0.0,10.0,normal,5.0,1.041667,,spike,5.0,1.041667,
SHAPE_SPIKE_01_L3,SHAPE_SPIKE,3,L3 검출(임계 초과),정규 → 단일값 스파이크(포화·클램프),1,ks,0.4678,0.2398,1067,V,0.0,10.0,normal,5.0,1.041667,,spike,5.0,1.041667,
SHAPE_SPIKE_01_L4,SHAPE_SPIKE,4,L4 검출(크게 초과),정규 → 단일값 스파이크(포화·클램프),1,ks,0.8325,0.4232,1068,V,0.0,10.0,normal,5.0,1.041667,,spike,5.0,1.041667,
SHAPE_SPIKE_02_L1,SHAPE_SPIKE,1,L1 미검출(여유),정규 → 단일값 스파이크(포화·클램프),0,ks,0.0525,0.0476,1069,V,0.0,10.0,normal,5.0,1.041667,,spike,5.0,1.041667,
SHAPE_SPIKE_02_L2,SHAPE_SPIKE,2,L2 미검출(임계 직하),정규 → 단일값 스파이크(포화·클램프),0,ks,0.1754,0.0951,1070,V,0.0,10.0,normal,5.0,1.041667,,spike,5.0,1.041667,
SHAPE_SPIKE_02_L3,SHAPE_SPIKE,3,L3 검출(임계 초과),정규 → 단일값 스파이크(포화·클램프),1,ks,0.4678,0.2398,1071,V,0.0,10.0,normal,5.0,1.041667,,spike,5.0,1.041667,
SHAPE_SPIKE_02_L4,SHAPE_SPIKE,4,L4 검출(크게 초과),정규 → 단일값 스파이크(포화·클램프),1,ks,0.8325,0.4232,1072,V,0.0,10.0,normal,5.0,1.041667,,spike,5.0,1.041667,
SHAPE_TRUNC_01_L1,SHAPE_TRUNC,1,L1 미검출(여유),정규 → 한쪽 절단(벽 생성),0,ks,0.4271,0.0496,1073,V,0.0,10.0,normal,5.0,1.041667,,truncated,5.0,1.041667,
SHAPE_TRUNC_01_L2,SHAPE_TRUNC,2,L2 미검출(임계 직하),정규 → 한쪽 절단(벽 생성),0,ks,0.6266,0.0991,1074,V,0.0,10.0,normal,5.0,1.041667,,truncated,5.0,1.041667,
SHAPE_TRUNC_01_L3,SHAPE_TRUNC,3,L3 검출(임계 초과),정규 → 한쪽 절단(벽 생성),1,ks,1.0553,0.2398,1075,V,0.0,10.0,normal,5.0,1.041667,,truncated,5.0,1.041667,
SHAPE_TRUNC_01_L4,SHAPE_TRUNC,4,L4 검출(크게 초과),정규 → 한쪽 절단(벽 생성),1,ks,3.0,0.2478,1076,V,0.0,10.0,normal,5.0,1.041667,,truncated,5.0,1.041667,
SHAPE_UNIFORM_01_L1,SHAPE_UNIFORM,1,L1 미검출(여유),정규 → 균등(평평한 몸통) — ks 상한이 낮아 L1·L2 만,0,ks,0.6821,0.0496,1077,V,0.0,10.0,normal,5.0,1.041667,,uniform,5.0,1.041667,
SHAPE_UNIFORM_01_L2,SHAPE_UNIFORM,2,L2 미검출(임계 직하),정규 → 균등(평평한 몸통) — ks 상한이 낮아 L1·L2 만,0,ks,1.25,0.0733,1078,V,0.0,10.0,normal,5.0,1.041667,,uniform,5.0,1.041667,
SHAPE_UNIFORM_02_L1,SHAPE_UNIFORM,1,L1 미검출(여유),정규 → 균등(평평한 몸통) — ks 상한이 낮아 L1·L2 만,0,ks,0.6821,0.0496,1079,V,0.0,10.0,normal,5.0,1.041667,,uniform,5.0,1.041667,
SHAPE_UNIFORM_02_L2,SHAPE_UNIFORM,2,L2 미검출(임계 직하),정규 → 균등(평평한 몸통) — ks 상한이 낮아 L1·L2 만,0,ks,1.25,0.0733,1080,V,0.0,10.0,normal,5.0,1.041667,,uniform,5.0,1.041667,
DISC_BIMODAL_01_L1,DISC_BIMODAL,1,L1 미검출(여유),이산 정규 → 이산 쌍봉 (격자 동일),0,ks,0.4441,0.0496,1081,V,0.0,10.0,normal,5.0,1.041667,0.26041666666666663,bimodal,5.0,1.041667,0.26041666666666663
DISC_BIMODAL_01_L2,DISC_BIMODAL,2,L2 미검출(임계 직하),이산 정규 → 이산 쌍봉 (격자 동일),0,ks,0.5895,0.1001,1082,V,0.0,10.0,normal,5.0,1.041667,0.26041666666666663,bimodal,5.0,1.041667,0.26041666666666663
DISC_BIMODAL_01_L3,DISC_BIMODAL,3,L3 검출(임계 초과),이산 정규 → 이산 쌍봉 (격자 동일),1,ks,0.9232,0.2408,1083,V,0.0,10.0,normal,5.0,1.041667,0.26041666666666663,bimodal,5.0,1.041667,0.26041666666666663
DISC_BIMODAL_01_L4,DISC_BIMODAL,4,L4 검출(크게 초과),이산 정규 → 이산 쌍봉 (격자 동일),1,ks,3.0,0.3211,1084,V,0.0,10.0,normal,5.0,1.041667,0.26041666666666663,bimodal,5.0,1.041667,0.26041666666666663
DISC_BIMODAL_02_L1,DISC_BIMODAL,1,L1 미검출(여유),이산 정규 → 이산 쌍봉 (격자 동일),0,ks,0.4441,0.0496,1085,V,0.0,10.0,normal,5.0,1.041667,0.26041666666666663,bimodal,5.0,1.041667,0.26041666666666663
DISC_BIMODAL_02_L2,DISC_BIMODAL,2,L2 미검출(임계 직하),이산 정규 → 이산 쌍봉 (격자 동일),0,ks,0.5895,0.1001,1086,V,0.0,10.0,normal,5.0,1.041667,0.26041666666666663,bimodal,5.0,1.041667,0.26041666666666663
DISC_BIMODAL_02_L3,DISC_BIMODAL,3,L3 검출(임계 초과),이산 정규 → 이산 쌍봉 (격자 동일),1,ks,0.9232,0.2408,1087,V,0.0,10.0,normal,5.0,1.041667,0.26041666666666663,bimodal,5.0,1.041667,0.26041666666666663
DISC_BIMODAL_02_L4,DISC_BIMODAL,4,L4 검출(크게 초과),이산 정규 → 이산 쌍봉 (격자 동일),1,ks,3.0,0.3211,1088,V,0.0,10.0,normal,5.0,1.041667,0.26041666666666663,bimodal,5.0,1.041667,0.26041666666666663
DISC_SPARSE_01_L1,DISC_SPARSE,1,L1 미검출(여유),이산 + 한 계단에 몰림 (수준 편중),0,ks,0.1021,0.0476,1089,V,0.0,10.0,normal,5.0,1.041667,0.26041666666666663,spike,5.0,1.041667,0.26041666666666663
DISC_SPARSE_01_L2,DISC_SPARSE,2,L2 미검출(임계 직하),이산 + 한 계단에 몰림 (수준 편중),0,ks,0.222,0.1041,1090,V,0.0,10.0,normal,5.0,1.041667,0.26041666666666663,spike,5.0,1.041667,0.26041666666666663
DISC_SPARSE_01_L3,DISC_SPARSE,3,L3 검출(임계 초과),이산 + 한 계단에 몰림 (수준 편중),1,ks,0.5094,0.2329,1091,V,0.0,10.0,normal,5.0,1.041667,0.26041666666666663,spike,5.0,1.041667,0.26041666666666663
DISC_SPARSE_01_L4,DISC_SPARSE,4,L4 검출(크게 초과),이산 + 한 계단에 몰림 (수준 편중),1,ks,3.0,0.4143,1092,V,0.0,10.0,normal,5.0,1.041667,0.26041666666666663,spike,5.0,1.041667,0.26041666666666663
POS_SHIFT_01_L1,POS_SHIFT,1,L1 미검출(여유),평균만 평행 이동 (σ 동일),0,ks,0.0354,0.0505,1093,V,0.0,10.0,normal,5.0,1.041667,,normal,5.081181,1.041667,
POS_SHIFT_01_L2,POS_SHIFT,2,L2 미검출(임계 직하),평균만 평행 이동 (σ 동일),0,ks,0.0999,0.1001,1094,V,0.0,10.0,normal,5.0,1.041667,,normal,5.228829,1.041667,
POS_SHIFT_01_L3,POS_SHIFT,3,L3 검출(임계 초과),평균만 평행 이동 (σ 동일),1,ks,0.2761,0.2398,1095,V,0.0,10.0,normal,5.0,1.041667,,normal,5.632758,1.041667,
POS_SHIFT_01_L4,POS_SHIFT,4,L4 검출(크게 초과),평균만 평행 이동 (σ 동일),1,ks,0.5061,0.4192,1096,V,0.0,10.0,normal,5.0,1.041667,,normal,6.159827,1.041667,
POS_SHIFT_02_L1,POS_SHIFT,1,L1 미검출(여유),평균만 평행 이동 (σ 동일),0,ks,0.0354,0.0505,1097,V,0.0,10.0,normal,5.0,1.041667,,normal,5.081181,1.041667,
POS_SHIFT_02_L2,POS_SHIFT,2,L2 미검출(임계 직하),평균만 평행 이동 (σ 동일),0,ks,0.0999,0.1001,1098,V,0.0,10.0,normal,5.0,1.041667,,normal,5.228829,1.041667,
POS_SHIFT_02_L3,POS_SHIFT,3,L3 검출(임계 초과),평균만 평행 이동 (σ 동일),1,ks,0.2761,0.2398,1099,V,0.0,10.0,normal,5.0,1.041667,,normal,5.632758,1.041667,
POS_SHIFT_02_L4,POS_SHIFT,4,L4 검출(크게 초과),평균만 평행 이동 (σ 동일),1,ks,0.5061,0.4192,1100,V,0.0,10.0,normal,5.0,1.041667,,normal,6.159827,1.041667,
POS_SEPARATE_01_L1,POS_SEPARATE,1,L1 미검출(여유),양쪽이 서로 반대로 이동(분리 방향),0,ks,0.0134,0.0505,1101,V,0.0,10.0,normal,4.977675,0.572917,,normal,5.022325,0.572917,
POS_SEPARATE_01_L2,POS_SEPARATE,2,L2 미검출(임계 직하),양쪽이 서로 반대로 이동(분리 방향),0,ks,0.0378,0.0991,1102,V,0.0,10.0,normal,4.937072,0.572917,,normal,5.062928,0.572917,
POS_SEPARATE_01_L3,POS_SEPARATE,3,L3 검출(임계 초과),양쪽이 서로 반대로 이동(분리 방향),1,ks,0.1044,0.2408,1103,V,0.0,10.0,normal,4.825991,0.572917,,normal,5.174009,0.572917,
POS_SEPARATE_01_L4,POS_SEPARATE,4,L4 검출(크게 초과),양쪽이 서로 반대로 이동(분리 방향),1,ks,0.1914,0.4192,1104,V,0.0,10.0,normal,4.681048,0.572917,,normal,5.318952,0.572917,
SD_UP_01_L1,SD_UP,1,L1 미검출(여유),산포만 커짐 (Δσ% 경로),0,sd_delta,0.0312,5.0,1105,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.09375,
SD_UP_01_L2,SD_UP,2,L2 미검출(임계 직하),산포만 커짐 (Δσ% 경로),0,sd_delta,0.1,16.0,1106,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.208333,
SD_UP_01_L3,SD_UP,3,L3 검출(임계 초과),산포만 커짐 (Δσ% 경로),1,sd_delta,0.2125,34.0,1107,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.395833,
SD_UP_01_L4,SD_UP,4,L4 검출(크게 초과),산포만 커짐 (Δσ% 경로),1,sd_delta,0.4375,70.0,1108,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.770833,
SD_UP_02_L1,SD_UP,1,L1 미검출(여유),산포만 커짐 (Δσ% 경로),0,sd_delta,0.0312,5.0,1109,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.09375,
SD_UP_02_L2,SD_UP,2,L2 미검출(임계 직하),산포만 커짐 (Δσ% 경로),0,sd_delta,0.1,16.0,1110,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.208333,
SD_UP_02_L3,SD_UP,3,L3 검출(임계 초과),산포만 커짐 (Δσ% 경로),1,sd_delta,0.2125,34.0,1111,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.395833,
