SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,SHAPE_BIMODAL_01_L1,SHAPE_BIMODAL_01_L2,SHAPE_BIMODAL_01_L3,SHAPE_BIMODAL_01_L4,SHAPE_BIMODAL_02_L1,SHAPE_BIMODAL_02_L2,SHAPE_BIMODAL_02_L3,SHAPE_BIMODAL_02_L4,SHAPE_BIMODAL_SKEW_01_L1,SHAPE_BIMODAL_SKEW_01_L2,SHAPE_BIMODAL_SKEW_01_L3,SHAPE_BIMODAL_SKEW_01_L4,SHAPE_BIMODAL_SKEW_02_L1,SHAPE_BIMODAL_SKEW_02_L2,SHAPE_BIMODAL_SKEW_02_L3,SHAPE_BIMODAL_SKEW_02_L4,SHAPE_TRIMODAL_01_L1,SHAPE_TRIMODAL_01_L2,SHAPE_TRIMODAL_01_L3,SHAPE_TRIMODAL_01_L4,SHAPE_TRIMODAL_02_L1,SHAPE_TRIMODAL_02_L2,SHAPE_TRIMODAL_02_L3,SHAPE_TRIMODAL_02_L4,SHAPE_TAILFLIP_01_L1,SHAPE_TAILFLIP_01_L2,SHAPE_TAILFLIP_01_L3,SHAPE_TAILFLIP_01_L4,SHAPE_TAILFLIP_02_L1,SHAPE_TAILFLIP_02_L2,SHAPE_TAILFLIP_02_L3,SHAPE_TAILFLIP_02_L4,SHAPE_TAIL_ONESIDE_01_L1,SHAPE_TAIL_ONESIDE_01_L2,SHAPE_TAIL_ONESIDE_01_L3,SHAPE_TAIL_ONESIDE_01_L4,SHAPE_TAIL_ONESIDE_02_L1,SHAPE_TAIL_ONESIDE_02_L2,SHAPE_TAIL_ONESIDE_02_L3,SHAPE_TAIL_ONESIDE_02_L4,SHAPE_TAIL_BOTH_01_L1,SHAPE_TAIL_BOTH_01_L2,SHAPE_TAIL_BOTH_01_L3,SHAPE_TAIL_BOTH_01_L4,SHAPE_PLATEAU_01_L1,SHAPE_PLATEAU_01_L2,SHAPE_PLATEAU_01_L3,SHAPE_PLATEAU_01_L4,SHAPE_SKEW_R_01_L1,SHAPE_SKEW_R_01_L2,SHAPE_SKEW_R_01_L3,SHAPE_SKEW_R_01_L4,SHAPE_SKEWFLIP_01_L1,SHAPE_SKEWFLIP_01_L2,SHAPE_SKEWFLIP_01_L3,SHAPE_SKEWFLIP_01_L4,SHAPE_OUTLIER_01_L1,SHAPE_OUTLIER_01_L2,SHAPE_OUTLIER_01_L3,SHAPE_OUTLIER_01_L4,SHAPE_OUTLIER_02_L1,SHAPE_OUTLIER_02_L2,SHAPE_OUTLIER_02_L3,SHAPE_OUTLIER_02_L4,SHAPE_SPIKE_01_L1,SHAPE_SPIKE_01_L2,SHAPE_SPIKE_01_L3,SHAPE_SPIKE_01_L4,SHAPE_SPIKE_02_L1,SHAPE_SPIKE_02_L2,SHAPE_SPIKE_02_L3,SHAPE_SPIKE_02_L4,SHAPE_TRUNC_01_L1,SHAPE_TRUNC_01_L2,SHAPE_TRUNC_01_L3,SHAPE_TRUNC_01_L4,SHAPE_UNIFORM_01_L1,SHAPE_UNIFORM_01_L2,SHAPE_UNIFORM_02_L1,SHAPE_UNIFORM_02_L2,DISC_BIMODAL_01_L1,DISC_BIMODAL_01_L2,DISC_BIMODAL_01_L3,DISC_BIMODAL_01_L4,DISC_BIMODAL_02_L1,DISC_BIMODAL_02_L2,DISC_BIMODAL_02_L3,DISC_BIMODAL_02_L4,DISC_SPARSE_01_L1,DISC_SPARSE_01_L2,DISC_SPARSE_01_L3,DISC_SPARSE_01_L4,POS_SHIFT_01_L1,POS_SHIFT_01_L2,POS_SHIFT_01_L3,POS_SHIFT_01_L4,POS_SHIFT_02_L1,POS_SHIFT_02_L2,POS_SHIFT_02_L3,POS_SHIFT_02_L4,POS_SEPARATE_01_L1,POS_SEPARATE_01_L2,POS_SEPARATE_01_L3,POS_SEPARATE_01_L4,SD_UP_01_L1,SD_UP_01_L2,SD_UP_01_L3,SD_UP_01_L4,SD_UP_02_L1,SD_UP_02_L2,SD_UP_02_L3,SD_UP_02_L4,CPK_LOW_01_L1,CPK_LOW_01_L2,CPK_LOW_01_L3,CPK_LOW_01_L4,CPK_LOW_02_L1,CPK_LOW_02_L2,CPK_LOW_02_L3,CPK_LOW_02_L4,CONTROL_SAME_01_L1,CONTROL_SAME_01_L2,CONTROL_SAME_01_L3,CONTROL_SAME_01_L4,CONTROL_SAME_02_L1,CONTROL_SAME_02_L2,CONTROL_SAME_02_L3,CONTROL_SAME_02_L4,CONTROL_SAME_03_L1,CONTROL_SAME_03_L2,CONTROL_SAME_03_L3,CONTROL_SAME_03_L4,CONTROL_SAME_04_L1,CONTROL_SAME_04_L2,CONTROL_SAME_04_L3,CONTROL_SAME_04_L4
C000161,41,2,13,8,1,,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.539854,6.149832,4.224513,4.224513,4.539854,6.149832,4.224513,4.224513,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.622372,4.573078,4.485410,4.483271,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,4.645494,5.208333,5.208333,5.208333,5.208333,5.208333,5.208333,5.208333,5.208333,5.208333,5.208333,5.208333,5.208333,7.209870,7.209870,7.209870,7.209870,7.209870,7.209870,7.209870,7.209870,6.193104,6.152501,6.041420,5.896476,5.140340,5.140340,5.140340,5.140340,5.140340,5.140340,5.140340,5.140340,5.337913,5.337913,5.337913,5.337913,5.337913,5.337913,5.337913,5.337913,5.065946,5.065946,5.065946,5.065946,5.065946,5.065946,5.065946,5.065946,5.065946,5.065946,5.065946,5.065946,5.065946,5.065946,5.065946,5.065946
C000162,41,3,14,8,1,,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.486158,3.734572,5.344630,5.344630,3.486158,3.734572,5.344630,5.344630,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.534735,3.626232,3.954497,4.253283,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,3.501076,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.973293,4.973293,4.973293,4.973293,4.973293,4.973293,4.973293,4.973293,4.962987,4.922384,4.811303,4.666359,5.673224,5.673224,5.673224,5.673224,5.673224,5.673224,5.673224,5.673224,4.802640,4.802640,4.802640,4.802640,4.802640,4.802640,4.802640,4.802640,6.326739,6.326739,6.326739,6.326739,6.326739,6.326739,6.326739,6.326739,6.326739,6.326739,6.326739,6.326739,6.326739,6.326739,6.326739,6.326739
C000163,41,4,15,8,1,,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.596425,4.422871,5.290777,5.290777,6.596425,4.422871,5.290777,5.290777,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.937272,7.067234,7.384523,7.678082,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,6.879134,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,5.276552,5.276552,5.276552,5.276552,5.276552,5.276552,5.276552,5.276552,5.129779,5.089176,4.978095,4.833151,4.313175,4.313175,4.313175,4.313175,4.313175,4.313175,4.313175,4.313175,7.147045,7.147045,7.147045,7.147045,7.147045,7.147045,7.147045,7.147045,6.433379,6.433379,6.433379,6.433379,6.433379,6.433379,6.433379,6.433379,6.433379,6.433379,6.433379,6.433379,6.433379,6.433379,6.433379,6.433379
C000164,42,1,16,8,1,,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,4.598507,5.934464,5.619592,5.619592,4.598507,5.934464,5.619592,5.619592,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.518415,3.613031,3.948741,4.251481,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,3.483385,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.353647,5.353647,5.353647,5.353647,5.353647,5.353647,5.353647,5.353647,5.172181,5.131578,5.020497,4.875554,5.560874,5.560874,5.560874,5.560874,5.560874,5.560874,5.560874,5.560874,4.325406,4.325406,4.325406,4.325406,4.325406,4.325406,4.325406,4.325406,4.425013,4.425013,4.425013,4.425013,4.425013,4.425013,4.425013,4.425013,4.425013,4.425013,4.425013,4.425013,4.425013,4.425013,4.425013,4.425013
C000165,42,2,17,8,1,,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.635157,4.210143,4.792391,4.792391,5.635157,4.210143,4.792391,4.792391,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.822372,5.780128,5.571909,5.315458,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.835102,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,4.578854,4.578854,4.578854,4.578854,4.578854,4.578854,4.578854,4.578854,4.746045,4.705442,4.594361,4.449417,5.662760,5.662760,5.662760,5.662760,5.662760,5.662760,5.662760,5.662760,5.946167,5.946167,5.946167,5.946167,5.946167,5.946167,5.946167,5.946167,5.099783,5.099783,5.099783,5.099783,5.099783,5.099783,5.099783,5.099783,5.099783,5.099783,5.099783,5.099783,5.099783,5.099783,5.099783,5.099783
C000166,42,3,18,8,1,,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.060345,6.057813,7.167541,7.167541,6.060345,6.057813,7.167541,7.167541,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.308194,6.320600,6.241041,6.051264,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,6.296899,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,3.980200,3.980200,3.980200,3.980200,3.980200,3.980200,3.980200,3.980200,4.416785,4.376182,4.265101,4.120157,2.607882,2.607882,2.607882,2.607882,2.607882,2.607882,2.607882,2.607882,5.049787,5.049787,5.049787,5.049787,5.049787,5.049787,5.049787,5.049787,5.535983,5.535983,5.535983,5.535983,5.535983,5.535983,5.535983,5.535983,5.535983,5.535983,5.535983,5.535983,5.535983,5.535983,5.535983,5.535983
C000167,42,4,19,8,1,,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.306032,6.161001,4.621751,4.621751,5.306032,6.161001,4.621751,4.621751,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.454097,5.390708,5.163840,4.948686,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,5.477639,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.332816,3.332816,3.332816,3.332816,3.332816,3.332816,3.332816,3.332816,4.060724,4.020121,3.909040,3.764097,5.505884,5.505884,5.505884,5.505884,5.505884,5.505884,5.505884,5.505884,4.267036,4.267036,4.267036,4.267036,4.267036,4.267036,4.267036,4.267036,5.092040,5.092040,5.092040,5.092040,5.092040,5.092040,5.092040,5.092040,5.092040,5.092040,5.092040,5.092040,5.092040,5.092040,5.092040,5.092040
C000168,43,1,20,8,1,,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.049750,4.080594,4.488878,4.488878,5.049750,4.080594,4.488878,4.488878,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.171949,5.103882,4.899709,4.745575,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,5.199292,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,5.576794,5.576794,5.576794,5.576794,5.576794,5.576794,5.576794,5.576794,5.294912,5.254309,5.143228,4.998284,3.633368,3.633368,3.633368,3.633368,3.633368,3.633368,3.633368,3.633368,4.156467,4.156467,4.156467,4.156467,4.156467,4.156467,4.156467,4.156467,5.832827,5.832827,5.832827,5.832827,5.832827,5.832827,5.832827,5.832827,5.832827,5.832827,5.832827,5.832827,5.832827,5.832827,5.832827,5.832827
C000169,43,2,21,8,1,,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.802382,3.804552,3.842159,3.842159,3.802382,3.804552,3.842159,3.842159,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.854498,3.890782,4.078765,4.295911,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,3.844526,6.250000,6.250000,6.250000,6.250000,6.250000,6.250000,6.250000,6.250000,6.250000,6.250000,6.250000,6.250000,5.026698,5.026698,5.026698,5.026698,5.026698,5.026698,5.026698,5.026698,4.992359,4.951756,4.840675,4.695731,5.230410,5.230410,5.230410,5.230410,5.230410,5.230410,5.230410,5.230410,4.918428,4.918428,4.918428,4.918428,4.918428,4.918428,4.918428,4.918428,4.789127,4.789127,4.789127,4.789127,4.789127,4.789127,4.789127,4.789127,4.789127,4.789127,4.789127,4.789127,4.789127,4.789127,4.789127,4.789127
C000170,43,3,22,8,1,,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.396268,5.679945,4.668535,4.668535,5.396268,5.679945,4.668535,4.668535,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.554399,5.495067,5.267451,5.035785,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,5.575645,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,6.382006,6.382006,6.382006,6.382006,6.382006,6.382006,6.382006,6.382006,5.737779,5.697176,5.586095,5.441151,4.824593,4.824593,4.824593,4.824593,4.824593,4.824593,4.824593,4.824593,4.049775,4.049775,4.049775,4.049775,4.049775,4.049775,4.049775,4.049775,4.134535,4.134535,4.134535,4.134535,4.134535,4.134535,4.134535,4.134535,4.134535,4.134535,4.134535,4.134535,4.134535,4.134535,4.134535,4.134535
C000171,43,4,23,8,1,,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.425205,4.384980,5.202005,5.202005,6.425205,4.384980,5.202005,5.202005,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.734312,6.820458,6.976628,7.045590,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,6.693172,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,4.936932,4.936932,4.936932,4.936932,4.936932,4.936932,4.936932,4.936932,4.942988,4.902385,4.791304,4.646360,5.173496,5.173496,5.173496,5.173496,5.173496,5.173496,5.173496,5.173496,7.044340,7.044340,7.044340,7.044340,7.044340,7.044340,7.044340,7.044340,4.242083,4.242083,4.242083,4.242083,4.242083,4.242083,4.242083,4.242083,4.242083,4.242083,4.242083,4.242083,4.242083,4.242083,4.242083,4.242083
C000172,44,1,24,8,1,,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,4.969815,4.062904,4.447434,4.447434,4.969815,4.062904,4.447434,4.447434,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.084763,5.017237,4.825666,4.693587,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,5.112475,4.166667,4.166667,4.166667,4.166667,4.166667,4.166667,4.166667,4.166667,4.166667,4.166667,4.166667,4.166667,4.609890,4.609890,4.609890,4.609890,4.609890,4.609890,4.609890,4.609890,4.763115,4.722512,4.611431,4.466487,2.949215,2.949215,2.949215,2.949215,2.949215,2.949215,2.949215,2.949215,6.608458,6.608458,6.608458,6.608458,6.608458,6.608458,6.608458,6.608458,5.658009,5.658009,5.658009,5.658009,5.658009,5.658009,5.658009,5.658009,5.658009,5.658009,5.658009,5.658009,5.658009,5.658009,5.658009,5.658009
C000173,44,2,25,8,1,,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,4.876181,4.042183,4.398888,4.398888,4.876181,4.042183,4.398888,4.398888,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,4.983126,4.917401,4.743538,4.638497,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,5.010779,2.864583,2.864583,2.864583,2.864583,2.864583,2.864583,2.864583,2.864583,2.864583,2.864583,2.864583,2.864583,5.202817,5.202817,5.202817,5.202817,5.202817,5.202817,5.202817,5.202817,5.089225,5.048622,4.937541,4.792597,4.787066,4.787066,4.787066,4.787066,4.787066,4.787066,4.787066,4.787066,4.730660,4.730660,4.730660,4.730660,4.730660,4.730660,4.730660,4.730660,3.281376,3.281376,3.281376,3.281376,3.281376,3.281376,3.281376,3.281376,3.281376,3.281376,3.281376,3.281376,3.281376,3.281376,3.281376,3.281376
C000174,44,3,26,8,1,,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.825981,5.402529,3.854394,3.854394,3.825981,5.402529,3.854394,3.854394,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.878587,3.911169,4.089068,4.299761,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,3.870158,5.208333,5.208333,5.208333,5.208333,5.208333,5.208333,5.208333,5.208333,5.208333,5.208333,5.208333,5.208333,5.745246,5.745246,5.745246,5.745246,5.745246,5.745246,5.745246,5.745246,5.387560,5.346957,5.235876,5.090933,6.664693,6.664693,6.664693,6.664693,6.664693,6.664693,6.664693,6.664693,5.483288,5.483288,5.483288,5.483288,5.483288,5.483288,5.483288,5.483288,4.678847,4.678847,4.678847,4.678847,4.678847,4.678847,4.678847,4.678847,4.678847,4.678847,4.678847,4.678847,4.678847,4.678847,4.678847,4.678847
C000175,44,4,27,8,1,,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.491633,3.735784,3.681046,3.681046,3.491633,3.735784,3.681046,3.681046,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.540224,3.630679,3.956445,4.253896,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,3.507022,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.595023,5.595023,5.595023,5.595023,5.595023,5.595023,5.595023,5.595023,5.304938,5.264335,5.153254,5.008310,4.649693,4.649693,4.649693,4.649693,4.649693,4.649693,4.649693,4.649693,5.050312,5.050312,5.050312,5.050312,5.050312,5.050312,5.050312,5.050312,6.823420,6.823420,6.823420,6.823420,6.823420,6.823420,6.823420,6.823420,6.823420,6.823420,6.823420,6.823420,6.823420,6.823420,6.823420,6.823420
C000176,45,1,28,8,1,,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.186861,4.110936,6.986647,6.986647,5.186861,4.110936,6.986647,6.986647,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.322400,5.255598,5.035716,4.846741,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.348208,5.989583,5.989583,5.989583,5.989583,5.989583,5.989583,5.989583,5.989583,5.989583,5.989583,5.989583,5.989583,6.051316,6.051316,6.051316,6.051316,6.051316,6.051316,6.051316,6.051316,5.555899,5.515296,5.404215,5.259271,5.402933,5.402933,5.402933,5.402933,5.402933,5.402933,5.402933,5.402933,3.981300,3.981300,3.981300,3.981300,3.981300,3.981300,3.981300,3.981300,5.074990,5.074990,5.074990,5.074990,5.074990,5.074990,5.074990,5.074990,5.074990,5.074990,5.074990,5.074990,5.074990,5.074990,5.074990,5.074990
