item,group,shape,level,level_ko,expect_focus,actual_focus,expect_reason,before_avg,before_stdev,before_cpk,after_avg,after_stdev,after_cpk,stdev_delta_pct,meanshift_sigma,p_stdev,ok,note
MEAN_SHIFT_05_L1,shape,mean_shift,1,차이 거의 없음(미검출),0,0,none,4.9975,1.040656210063927,1.601,5.2029,1.0377156291269196,1.541,-0.28257,0.1974,0.69146,1,
MEAN_SHIFT_05_L2,shape,mean_shift,2,검출(임계 소폭 초과),1,1,cpk,4.9953,1.0387907082436922,1.603,6.1236,1.0399682259595682,1.242,0.113355,1.0862,0.501091,1,
MEAN_SHIFT_05_L3,shape,mean_shift,3,심하게 검출,1,1,cpk,4.9988,1.0446033011239406,1.595,7.3462,1.016834978037746,0.87,-2.658265,2.2472,0.447755,1,
MEAN_SHIFT_06_L1,shape,mean_shift,1,차이 거의 없음(미검출),0,0,none,4.9958,1.044410178074127,1.594,5.2028,1.04282566300072,1.533,-0.151714,0.1982,0.960673,1,
MEAN_SHIFT_06_L2,shape,mean_shift,2,검출(임계 소폭 초과),1,1,cpk,5.0051,1.042375933340503,1.597,6.1262,1.041887782035526,1.239,-0.046831,1.0755,0.902446,1,
MEAN_SHIFT_06_L3,shape,mean_shift,3,심하게 검출,1,1,cpk,4.9988,1.0432000076805745,1.597,7.3461,1.0348582819770886,0.855,-0.799629,2.2501,0.569889,1,
MEAN_SHIFT_07_L1,shape,mean_shift,1,차이 거의 없음(미검출),0,0,none,4.9941,1.0363151514235422,1.606,5.1931,1.0444690875863147,1.534,0.78682,0.192,0.316655,1,
MEAN_SHIFT_07_L2,shape,mean_shift,2,검출(임계 소폭 초과),1,1,cpk,5.0052,1.043755820103141,1.595,6.1296,1.0426571701405607,1.237,-0.105259,1.0773,0.777443,1,
MEAN_SHIFT_07_L3,shape,mean_shift,3,심하게 검출,1,1,cpk,4.9997,1.0411356355882513,1.601,7.34,1.038320317103266,0.854,-0.270408,2.2478,0.910255,1,
MEAN_SHIFT_08_L1,shape,mean_shift,1,차이 거의 없음(미검출),0,0,none,4.9993,1.0445316235943118,1.595,5.199,1.0449549728085332,1.531,0.04053,0.1912,0.690771,1,
MEAN_SHIFT_08_L2,shape,mean_shift,2,검출(임계 소폭 초과),1,1,cpk,4.9977,1.0389442697846636,1.603,6.1248,1.0344431642281322,1.249,-0.433238,1.0849,0.993257,1,
MEAN_SHIFT_08_L3,shape,mean_shift,3,심하게 검출,1,1,cpk,5.0052,1.0364972130954837,1.606,7.3372,1.0359233321092454,0.857,-0.055367,2.2499,0.455121,1,
MEAN_SHIFT_09_L1,shape,mean_shift,1,차이 거의 없음(미검출),0,0,none,4.9945,1.0400647850775648,1.601,5.2071,1.038274129046055,1.539,-0.172168,0.2044,0.575927,1,
MEAN_SHIFT_09_L2,shape,mean_shift,2,검출(임계 소폭 초과),1,1,cpk,4.997,1.0434488036620382,1.596,6.1265,1.044076966960974,1.237,0.060201,1.0825,0.754587,1,
MEAN_SHIFT_09_L3,shape,mean_shift,3,심하게 검출,1,1,cpk,5.0021,1.0418095521762405,1.599,7.346,1.0394584257308166,0.851,-0.225677,2.2498,0.556567,1,
MEAN_SHIFT_10_L1,shape,mean_shift,1,차이 거의 없음(미검출),0,0,none,5.0004,1.0453319940109338,1.594,5.1997,1.041566718606334,1.536,-0.360199,0.1907,0.673732,1,
MEAN_SHIFT_10_L2,shape,mean_shift,2,검출(임계 소폭 초과),1,1,cpk,5.0002,1.044633920020663,1.595,6.1282,1.0391896637120719,1.242,-0.521164,1.0798,0.825715,1,
MEAN_SHIFT_10_L3,shape,mean_shift,3,심하게 검출,1,1,cpk,5.0007,1.0454819236861692,1.594,7.3436,1.0348488792733173,0.856,-1.017047,2.241,0.497741,1,
SIGMA_UP_01_L1,shape,sigma_up,1,차이 거의 없음(미검출),0,0,none,5.0021,1.0388890147307552,1.604,5.0022,1.1004791602893835,1.514,5.928462,0.0001,0.027939,1,
SIGMA_UP_01_L2,shape,sigma_up,2,검출(임계 소폭 초과),1,1,stdev,4.9945,1.0370479235641223,1.605,5.0063,1.2435254318308981,1.339,19.910122,0.0114,1e-06,1,
SIGMA_UP_01_L3,shape,sigma_up,3,심하게 검출,1,1,stdev,4.9992,1.0442486069955028,1.596,4.9913,1.6654327514063925,0.999,59.486232,0.0076,0.0,1,
SIGMA_UP_02_L1,shape,sigma_up,1,차이 거의 없음(미검출),0,0,none,5.0037,1.0439735718001952,1.595,5.0052,1.1062085333125768,1.505,5.961354,0.0014,0.082048,1,
SIGMA_UP_02_L2,shape,sigma_up,2,검출(임계 소폭 초과),1,1,stdev,4.9993,1.0410099373099702,1.601,4.9948,1.2318367482146706,1.352,18.330931,0.0043,0.0,1,
SIGMA_UP_02_L3,shape,sigma_up,3,심하게 검출,1,1,stdev,5.0081,1.0409789865143915,1.598,4.9892,1.6643390383980494,0.999,59.882098,0.0182,0.0,1,
SIGMA_UP_03_L1,shape,sigma_up,1,차이 거의 없음(미검출),0,0,none,4.9965,1.0426332185212988,1.597,5.0031,1.1020851467832298,1.511,5.702094,0.0063,0.234309,1,
SIGMA_UP_03_L2,shape,sigma_up,2,검출(임계 소폭 초과),1,1,stdev,5.0072,1.0421803869814006,1.597,5.0027,1.244314422413044,1.339,19.395302,0.0043,0.0,1,
SIGMA_UP_03_L3,shape,sigma_up,3,심하게 검출,1,1,stdev,4.9977,1.0400446518763153,1.602,5.001,1.6634257578256997,1.002,59.937918,0.0032,0.0,1,
SIGMA_UP_04_L1,shape,sigma_up,1,차이 거의 없음(미검출),0,0,none,5.0044,1.0384304951679577,1.604,4.997,1.1064444052324547,1.505,6.549683,0.0071,0.059338,1,
SIGMA_UP_04_L2,shape,sigma_up,2,검출(임계 소폭 초과),1,1,stdev,5.0042,1.0441426598507342,1.595,4.9952,1.240710245379127,1.342,18.82574,0.0086,0.0,1,
SIGMA_UP_04_L3,shape,sigma_up,3,심하게 검출,1,1,stdev,4.9969,1.0433942598837505,1.596,5.0027,1.655454723782332,1.006,58.660517,0.0056,0.0,1,
SIGMA_UP_05_L1,shape,sigma_up,1,차이 거의 없음(미검출),0,0,none,4.995,1.0350097002515786,1.609,5.0005,1.1079438347512147,1.504,7.04671,0.0053,0.143704,1,
SIGMA_UP_05_L2,shape,sigma_up,2,검출(임계 소폭 초과),1,1,stdev,5.0047,1.035317383742106,1.608,5.0054,1.2443278798561694,1.338,20.18806,0.0007,0.0,1,
SIGMA_UP_05_L3,shape,sigma_up,3,심하게 검출,1,1,stdev,4.9975,1.0423975024828123,1.598,5.0063,1.660624329110294,1.002,59.308165,0.0084,0.0,1,
SIGMA_UP_06_L1,shape,sigma_up,1,차이 거의 없음(미검출),0,0,none,4.9984,1.0420770508025132,1.599,4.9956,1.1014291575128747,1.512,5.695558,0.0027,0.100776,1,
SIGMA_UP_06_L2,shape,sigma_up,2,검출(임계 소폭 초과),1,1,stdev,4.998,1.0445240106712959,1.595,5.0043,1.2443510784066858,1.338,19.130921,0.006,0.0,1,
SIGMA_UP_06_L3,shape,sigma_up,3,심하게 검출,1,1,stdev,4.9984,1.032990191519213,1.613,4.9964,1.6664020623696076,0.999,61.318285,0.0019,0.0,1,
SIGMA_UP_07_L1,shape,sigma_up,1,차이 거의 없음(미검출),0,0,none,4.9965,1.0435621102923374,1.596,5.007,1.1077630373586869,1.502,6.152094,0.0101,0.025337,1,
SIGMA_UP_07_L2,shape,sigma_up,2,검출(임계 소폭 초과),1,1,stdev,5.0012,1.041237374329623,1.6,5.0064,1.2364000571711444,1.346,18.743342,0.005,0.0,1,
SIGMA_UP_07_L3,shape,sigma_up,3,심하게 검출,1,1,stdev,5.0046,1.0418713888115563,1.598,5.0065,1.6674782422665861,0.998,60.046457,0.0018,0.0,1,
SIGMA_UP_08_L1,shape,sigma_up,1,차이 거의 없음(미검출),0,0,none,5.0018,1.0365117906524146,1.607,4.9967,1.1062171176299325,1.506,6.724991,0.0049,0.014053,1,
SIGMA_UP_08_L2,shape,sigma_up,2,검출(임계 소폭 초과),1,1,stdev,4.9957,1.0366039460136995,1.606,4.9989,1.2457691487641354,1.338,20.177928,0.0031,0.0,1,
SIGMA_UP_08_L3,shape,sigma_up,3,심하게 검출,1,1,stdev,5.0023,1.042597094723744,1.598,4.982,1.6563194220589306,1.003,58.864765,0.0195,0.0,1,
SIGMA_UP_09_L1,shape,sigma_up,1,차이 거의 없음(미검출),0,0,none,5.0038,1.0442123539285522,1.595,4.9962,1.106744182188567,1.505,5.988421,0.0073,0.10921,1,
SIGMA_UP_09_L2,shape,sigma_up,2,검출(임계 소폭 초과),1,1,stdev,5.002,1.0432814236443773,1.597,5.0057,1.2406671410584211,1.342,18.9197,0.0035,0.0,1,
SIGMA_UP_09_L3,shape,sigma_up,3,심하게 검출,1,1,stdev,5.0007,1.0395612509811019,1.603,4.9956,1.6632759531939807,1.001,59.997879,0.0049,0.0,1,
SIGMA_UP_10_L1,shape,sigma_up,1,차이 거의 없음(미검출),0,0,none,5.0002,1.0363240561549323,1.608,4.9955,1.10345786312846,1.509,6.478071,0.0045,0.045449,1,
SIGMA_UP_10_L2,shape,sigma_up,2,검출(임계 소폭 초과),1,1,stdev,4.9975,1.0429008849935046,1.597,5.0038,1.235483034929768,1.348,18.466007,0.006,0.0,1,
SIGMA_UP_10_L3,shape,sigma_up,3,심하게 검출,1,1,stdev,5.0003,1.0387313856401257,1.604,5.0029,1.6662514135211721,1.0,60.412156,0.0025,0.0,1,
SIGMA_DOWN_01_L1,shape,sigma_down,1,차이 거의 없음(미검출),0,0,none,4.9999,1.0417192496786898,1.6,4.9973,0.9771145968638375,1.705,-6.201734,0.0025,0.039384,1,
SIGMA_DOWN_01_L2,shape,sigma_down,2,검출(임계 소폭 초과),1,1,stdev,4.9992,1.0424620275360972,1.599,5.0013,0.8451194818703447,1.972,-18.93043,0.002,0.0,1,
SIGMA_DOWN_01_L3,shape,sigma_down,3,심하게 검출,1,1,stdev,4.994,1.040712840729918,1.6,5.0006,0.5711449203837924,2.918,-45.119835,0.0063,0.0,1,
SIGMA_DOWN_02_L1,shape,sigma_down,1,차이 거의 없음(미검출),0,0,none,5.0018,1.0441621526274982,1.596,4.9998,0.9808176752054896,1.699,-6.066536,0.0019,0.096607,1,
SIGMA_DOWN_02_L2,shape,sigma_down,2,검출(임계 소폭 초과),1,1,stdev,5.0044,1.042016747747244,1.598,5.0026,0.8470286178695886,1.967,-18.712572,0.0017,0.0,1,
SIGMA_DOWN_02_L3,shape,sigma_down,3,심하게 검출,1,1,stdev,5.0057,1.0419137438909725,1.598,4.9996,0.5732828963223413,2.907,-44.977893,0.0059,0.0,1,
SIGMA_DOWN_03_L1,shape,sigma_down,1,차이 거의 없음(미검출),0,0,none,4.9976,1.0399894702265808,1.602,5.0039,0.9799876494623637,1.699,-5.769464,0.0061,0.265616,1,
SIGMA_DOWN_03_L2,shape,sigma_down,2,검출(임계 소폭 초과),1,1,stdev,5.0031,1.0422413410014868,1.598,4.9974,0.8424671944398858,1.977,-19.167743,0.0055,0.0,1,
SIGMA_DOWN_03_L3,shape,sigma_down,3,심하게 검출,1,1,stdev,4.9974,1.040554562999109,1.601,4.9998,0.5717572836184366,2.915,-45.052638,0.0023,0.0,1,
SIGMA_DOWN_04_L1,shape,sigma_down,1,차이 거의 없음(미검출),0,0,none,5.0017,1.0404673335451178,1.601,4.9964,0.98037626389508,1.699,-5.775392,0.0051,0.036433,1,
SIGMA_DOWN_04_L2,shape,sigma_down,2,검출(임계 소폭 초과),1,1,stdev,5.0024,1.0422179160899903,1.598,4.9989,0.8474528865715175,1.966,-18.687553,0.0034,0.0,1,
SIGMA_DOWN_04_L3,shape,sigma_down,3,심하게 검출,1,1,stdev,5.0007,1.04118618884305,1.601,4.9995,0.5746052834759692,2.9,-44.812437,0.0012,0.0,1,
SIGMA_DOWN_05_L1,shape,sigma_down,1,차이 거의 없음(미검출),0,0,none,4.9968,1.0434043040938656,1.596,5.0022,0.9805836099116101,1.699,-6.020743,0.0052,0.065893,1,
SIGMA_DOWN_05_L2,shape,sigma_down,2,검출(임계 소폭 초과),1,1,stdev,5.0028,1.04149604482305,1.599,5.0016,0.8454793573822915,1.971,-18.820685,0.0012,0.0,1,
SIGMA_DOWN_05_L3,shape,sigma_down,3,심하게 검출,1,1,stdev,4.9933,1.0399523651836824,1.6,4.9971,0.5709886226252318,2.917,-45.094733,0.0037,0.0,1,
SIGMA_DOWN_06_L1,shape,sigma_down,1,차이 거의 없음(미검출),0,0,none,5.0006,1.039172884864041,1.604,5.0067,0.9775954959266994,1.703,-5.925615,0.0059,0.026218,1,
SIGMA_DOWN_06_L2,shape,sigma_down,2,검출(임계 소폭 초과),1,1,stdev,4.9951,1.042413386336542,1.597,5.0012,0.8419517870902388,1.979,-19.230528,0.0059,0.0,1,
SIGMA_DOWN_06_L3,shape,sigma_down,3,심하게 검출,1,1,stdev,5.0006,1.0395596933769284,1.603,5.0004,0.5727583434129337,2.91,-44.903756,0.0002,0.0,1,
SIGMA_DOWN_07_L1,shape,sigma_down,1,차이 거의 없음(미검출),0,0,none,5.003,1.04353758965818,1.596,5.0008,0.9804567317901944,1.7,-6.044905,0.0021,0.243823,1,
SIGMA_DOWN_07_L2,shape,sigma_down,2,검출(임계 소폭 초과),1,1,stdev,4.999,1.0401066982264195,1.602,5.0,0.8402784705991105,1.983,-19.212282,0.001,0.0,1,
SIGMA_DOWN_07_L3,shape,sigma_down,3,심하게 검출,1,1,stdev,4.9963,1.0435349004138834,1.596,5.0032,0.574130472217671,2.901,-44.982149,0.0066,0.0,1,
SIGMA_DOWN_08_L1,shape,sigma_down,1,차이 거의 없음(미검출),0,0,none,5.0004,1.039590634990364,1.603,4.9997,0.979888197648448,1.701,-5.742879,0.0007,0.032169,1,
SIGMA_DOWN_08_L2,shape,sigma_down,2,검출(임계 소폭 초과),1,1,stdev,5.0035,1.0410084266092332,1.6,5.0071,0.8411202601388615,1.979,-19.201398,0.0035,0.0,1,
SIGMA_DOWN_08_L3,shape,sigma_down,3,심하게 검출,1,1,stdev,4.9997,1.0422178757268643,1.599,5.0027,0.5725780609031006,2.909,-45.061577,0.0029,0.0,1,
TAIL_01_L1,shape,tail,1,차이 거의 없음(미검출),0,0,none,4.9946,1.0316513763952846,1.614,4.9955,1.084536762974641,1.535,5.126285,0.0009,0.044739,1,
TAIL_01_L2,shape,tail,2,검출(임계 소폭 초과),1,1,stdev,5.0,1.0383849140180628,1.605,5.0007,1.2350028359830916,1.349,18.934975,0.0007,2e-06,1,
TAIL_01_L3,shape,tail,3,심하게 검출,1,1,stdev,5.0032,1.0448081257363444,1.594,4.997,1.6031858852138445,1.039,53.443091,0.0059,0.0,1,
TAIL_02_L1,shape,tail,1,차이 거의 없음(미검출),0,0,none,4.997,1.0407962085996691,1.6,4.9981,1.0891928835028282,1.53,4.649966,0.0011,0.030584,1,
TAIL_02_L2,shape,tail,2,검출(임계 소폭 초과),1,1,stdev,4.9987,1.0429435570860812,1.598,4.9951,1.2259041501065988,1.358,17.542713,0.0035,2.1e-05,1,
TAIL_02_L3,shape,tail,3,심하게 검출,1,1,stdev,5.0043,1.0421081057710797,1.598,5.0008,1.565091065612541,1.065,50.185097,0.0034,0.0,1,
TAIL_03_L1,shape,tail,1,차이 거의 없음(미검출),0,0,none,5.0013,1.0448062439272956,1.595,5.0035,1.093041271716168,1.524,4.616648,0.0021,0.485825,1,
TAIL_03_L2,shape,tail,2,검출(임계 소폭 초과),1,1,stdev,4.9975,1.0436037471461672,1.596,5.0009,1.2407485194955747,1.343,18.890769,0.0033,0.0,1,
TAIL_03_L3,shape,tail,3,심하게 검출,1,1,stdev,5.0029,1.0399286552662623,1.602,4.9942,1.570974986208802,1.06,51.06565,0.0084,0.0,1,
TAIL_04_L1,shape,tail,1,차이 거의 없음(미검출),0,0,none,5.0022,1.0449215414275617,1.594,4.9986,1.0824428344502985,1.539,3.590824,0.0034,0.565312,1,
TAIL_04_L2,shape,tail,2,검출(임계 소폭 초과),1,1,stdev,5.0011,1.0437819517386857,1.596,4.9988,1.2346659143249978,1.35,18.287724,0.0022,2.6e-05,1,
TAIL_04_L3,shape,tail,3,심하게 검출,1,1,stdev,4.9965,1.038768831611564,1.603,4.9923,1.57111126212329,1.059,51.24744,0.004,0.0,1,
TAIL_05_L1,shape,tail,1,차이 거의 없음(미검출),0,0,none,4.9991,1.0395359348169575,1.603,4.9963,1.096783269462534,1.518,5.507009,0.0027,0.193451,1,
TAIL_05_L2,shape,tail,2,검출(임계 소폭 초과),1,1,stdev,5.0002,1.0367556082249678,1.608,5.0008,1.2347437414623623,1.35,19.096895,0.0006,0.000204,1,
TAIL_05_L3,shape,tail,3,심하게 검출,1,1,stdev,5.003,1.0435696451244345,1.596,4.99,1.5641427808405153,1.063,49.88389,0.0125,0.0,1,
TAIL_06_L1,shape,tail,1,차이 거의 없음(미검출),0,0,none,4.9953,1.0378997542162112,1.604,4.9994,1.0969358162470382,1.519,5.688031,0.004,0.103486,1,
TAIL_06_L2,shape,tail,2,검출(임계 소폭 초과),1,1,stdev,5.001,1.0416642435297385,1.6,4.9958,1.2187175304000128,1.366,16.997155,0.005,0.000448,1,
TAIL_06_L3,shape,tail,3,심하게 검출,1,1,stdev,5.0012,1.0450700302114324,1.594,4.9773,1.5499099103200573,1.07,48.306799,0.0229,0.0,1,
TAIL_07_L1,shape,tail,1,차이 거의 없음(미검출),0,0,none,5.0048,1.0332490533592609,1.611,4.9998,1.0975681960124066,1.518,6.224941,0.0048,0.095934,1,
TAIL_07_L2,shape,tail,2,검출(임계 소폭 초과),1,1,stdev,5.0016,1.0440795196965797,1.596,4.9974,1.240804493119862,1.343,18.841953,0.004,3e-06,1,
TAIL_07_L3,shape,tail,3,심하게 검출,1,1,stdev,5.0019,1.0410825054213153,1.6,4.9851,1.5831025358979371,1.05,52.06312,0.0161,0.0,1,
TAIL_08_L1,shape,tail,1,차이 거의 없음(미검출),0,0,none,5.0008,1.0398704060617254,1.603,5.0054,1.0923631994382144,1.524,5.048013,0.0044,0.265061,1,
TAIL_08_L2,shape,tail,2,검출(임계 소폭 초과),1,1,stdev,4.9956,1.038379593709847,1.604,4.9949,1.2384820037797437,1.344,19.270642,0.0007,7e-06,1,
TAIL_08_L3,shape,tail,3,심하게 검출,1,1,stdev,4.9984,1.0382000363183885,1.605,4.9881,1.5778489362087187,1.054,51.97928,0.0099,0.0,1,
BIMODAL_01_L1,shape,bimodal,1,차이 거의 없음(미검출),0,0,none,5.0028,1.039960140882012,1.602,5.0041,1.0955169793196462,1.52,5.342208,0.0013,0.001713,1,
BIMODAL_01_L2,shape,bimodal,2,검출(임계 소폭 초과),1,1,stdev,5.0044,1.0435064501628208,1.596,5.0087,1.2400950827868138,1.342,18.839235,0.0041,0.0,1,
BIMODAL_01_L3,shape,bimodal,3,심하게 검출,1,1,stdev,5.0005,1.0423592632722238,1.599,5.0078,1.612351120257908,1.032,54.68286,0.007,0.0,1,
BIMODAL_02_L1,shape,bimodal,1,차이 거의 없음(미검출),0,0,none,5.0005,1.0439618371982533,1.596,5.005,1.0945578365003092,1.521,4.846537,0.0043,0.010296,1,
BIMODAL_02_L2,shape,bimodal,2,검출(임계 소폭 초과),1,1,stdev,5.0017,1.040512705680986,1.601,5.0105,1.238607088451512,1.343,19.038151,0.0085,0.0,1,
BIMODAL_02_L3,shape,bimodal,3,심하게 검출,1,1,stdev,5.0021,1.0416198186028933,1.599,5.0096,1.6166320989697704,1.029,55.203662,0.0072,0.0,1,
BIMODAL_03_L1,shape,bimodal,1,차이 거의 없음(미검출),0,0,none,5.0003,1.0449147414241429,1.595,5.0035,1.0947480637418743,1.521,4.769128,0.0031,0.013531,1,
BIMODAL_03_L2,shape,bimodal,2,검출(임계 소폭 초과),1,1,stdev,5.0017,1.0413571848861711,1.6,5.0095,1.2395769902208562,1.342,19.034757,0.0075,0.0,1,
BIMODAL_03_L3,shape,bimodal,3,심하게 검출,1,1,stdev,5.0013,1.0426135438199002,1.598,5.0106,1.6168638507553554,1.029,55.077963,0.0089,0.0,1,
BIMODAL_04_L1,shape,bimodal,1,차이 거의 없음(미검출),0,0,none,5.0016,1.042504511790465,1.598,5.0059,1.0959069864179347,1.519,5.122517,0.0041,0.015309,1,
BIMODAL_04_L2,shape,bimodal,2,검출(임계 소폭 초과),1,1,stdev,5.0046,1.043050914483008,1.596,5.009,1.2407801394242741,1.341,18.956814,0.0042,0.0,1,
BIMODAL_04_L3,shape,bimodal,3,심하게 검출,1,1,stdev,5.0024,1.0412591491303715,1.6,5.0074,1.6169970252403612,1.029,55.292467,0.0048,0.0,1,
BIMODAL_05_L1,shape,bimodal,1,차이 거의 없음(미검출),0,0,none,5.0021,1.0440146455532306,1.596,5.0055,1.0938437999378126,1.522,4.772841,0.0033,0.00729,1,
BIMODAL_05_L2,shape,bimodal,2,검출(임계 소폭 초과),1,1,stdev,5.0021,1.0431838621551894,1.597,5.0108,1.2389196819953345,1.342,18.76331,0.0083,0.0,1,
BIMODAL_05_L3,shape,bimodal,3,심하게 검출,1,1,stdev,5.0027,1.0406426214228304,1.601,5.0118,1.6122190812796489,1.031,54.925336,0.0087,0.0,1,
BIMODAL_06_L1,shape,bimodal,1,차이 거의 없음(미검출),0,0,none,5.0009,1.0451869265921807,1.594,5.0057,1.0933139173722535,1.523,4.60463,0.0046,0.021027,1,
BIMODAL_06_L2,shape,bimodal,2,검출(임계 소폭 초과),1,1,stdev,5.0016,1.0432834360406535,1.597,5.0082,1.2388838151867965,1.343,18.748537,0.0063,0.0,1,
BIMODAL_06_L3,shape,bimodal,3,심하게 검출,1,1,stdev,4.9997,1.0422886325505079,1.599,5.0131,1.611673767763073,1.031,54.628355,0.0129,0.0,1,
BIMODAL_07_L1,shape,bimodal,1,차이 거의 없음(미검출),0,0,none,5.0005,1.0431803773339379,1.598,5.0062,1.094877991042142,1.52,4.955769,0.0055,0.021947,1,
BIMODAL_07_L2,shape,bimodal,2,검출(임계 소폭 초과),1,1,stdev,5.003,1.043015297859682,1.597,5.0048,1.2397802909186924,1.343,18.865015,0.0017,0.0,1,
BIMODAL_07_L3,shape,bimodal,3,심하게 검출,1,1,stdev,5.0038,1.0402223780448892,1.601,5.011,1.616774380258699,1.029,55.425841,0.0069,0.0,1,
BIMODAL_08_L1,shape,bimodal,1,차이 거의 없음(미검출),0,0,none,5.0024,1.040141922505416,1.602,5.0049,1.0967947420335713,1.518,5.446643,0.0024,0.002842,1,
BIMODAL_08_L2,shape,bimodal,2,검출(임계 소폭 초과),1,1,stdev,5.0014,1.0400247000533487,1.602,5.0101,1.236716768054552,1.345,18.91225,0.0084,0.0,1,
BIMODAL_08_L3,shape,bimodal,3,심하게 검출,1,1,stdev,5.0008,1.0419949264493544,1.599,5.0077,1.6151745462736735,1.03,55.007909,0.0066,0.0,1,
LOW_CPK_01_L1,shape,low_cpk,1,차이 거의 없음(미검출),0,0,none,4.9978,1.1486105637649304,1.45,4.9939,1.1695547521582383,1.423,1.823437,0.0034,0.749699,1,
LOW_CPK_01_L2,shape,low_cpk,2,검출(임계 소폭 초과),1,1,cpk,5.0019,1.1480855352778718,1.451,4.996,1.3227710148809895,1.259,15.215372,0.0051,5e-06,1,
LOW_CPK_01_L3,shape,low_cpk,3,심하게 검출,1,1,cpk,4.9985,1.1458065370738608,1.454,5.0084,1.856881173154782,0.896,62.058874,0.0086,0.0,1,
LOW_CPK_02_L1,shape,low_cpk,1,차이 거의 없음(미검출),0,0,none,4.9997,1.152550331707691,1.446,5.0032,1.1735495601757093,1.419,1.821979,0.003,0.757124,1,
LOW_CPK_02_L2,shape,low_cpk,2,검출(임계 소폭 초과),1,1,cpk,4.9986,1.153828740178815,1.444,5.0053,1.3158309653163323,1.265,14.040405,0.0058,5e-05,1,
LOW_CPK_02_L3,shape,low_cpk,3,심하게 검출,1,1,cpk,5.0033,1.1506520846376156,1.447,4.9962,1.889701145375757,0.881,64.228716,0.0062,0.0,1,
LOW_CPK_03_L1,shape,low_cpk,1,차이 거의 없음(미검출),0,0,none,4.9903,1.1475191893841592,1.45,5.009,1.171275282825545,1.42,2.070213,0.0163,0.722021,1,
LOW_CPK_03_L2,shape,low_cpk,2,검출(임계 소폭 초과),1,1,cpk,4.9956,1.14688766370882,1.452,4.9996,1.3221862877382158,1.26,15.284725,0.0035,8.9e-05,1,
LOW_CPK_03_L3,shape,low_cpk,3,심하게 검출,1,1,cpk,4.9997,1.1533771113811728,1.445,4.9954,1.8872280807316115,0.882,63.626282,0.0037,0.0,1,
LOW_CPK_04_L1,shape,low_cpk,1,차이 거의 없음(미검출),0,0,none,4.9989,1.152636867557215,1.446,5.0133,1.1701484462292377,1.421,1.519262,0.0125,0.886534,1,
LOW_CPK_04_L2,shape,low_cpk,2,검출(임계 소폭 초과),1,1,cpk,5.0057,1.1478502923106453,1.45,5.0043,1.3251460187729596,1.257,15.445893,0.0012,7.7e-05,1,
LOW_CPK_04_L3,shape,low_cpk,3,심하게 검출,1,1,cpk,4.999,1.1494741889935955,1.45,5.0065,1.8900758915744014,0.881,64.429607,0.0065,0.0,1,
