SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,MEAN_SHIFT_01_L1,MEAN_SHIFT_01_L2,MEAN_SHIFT_01_L3,MEAN_SHIFT_02_L1,MEAN_SHIFT_02_L2,MEAN_SHIFT_02_L3,MEAN_SHIFT_03_L1,MEAN_SHIFT_03_L2,MEAN_SHIFT_03_L3,MEAN_SHIFT_04_L1,MEAN_SHIFT_04_L2,MEAN_SHIFT_04_L3,MEAN_SHIFT_05_L1,MEAN_SHIFT_05_L2,MEAN_SHIFT_05_L3,MEAN_SHIFT_06_L1,MEAN_SHIFT_06_L2,MEAN_SHIFT_06_L3,MEAN_SHIFT_07_L1,MEAN_SHIFT_07_L2,MEAN_SHIFT_07_L3,MEAN_SHIFT_08_L1,MEAN_SHIFT_08_L2,MEAN_SHIFT_08_L3,MEAN_SHIFT_09_L1,MEAN_SHIFT_09_L2,MEAN_SHIFT_09_L3,MEAN_SHIFT_10_L1,MEAN_SHIFT_10_L2,MEAN_SHIFT_10_L3,SIGMA_UP_01_L1,SIGMA_UP_01_L2,SIGMA_UP_01_L3,SIGMA_UP_02_L1,SIGMA_UP_02_L2,SIGMA_UP_02_L3,SIGMA_UP_03_L1,SIGMA_UP_03_L2,SIGMA_UP_03_L3,SIGMA_UP_04_L1,SIGMA_UP_04_L2,SIGMA_UP_04_L3,SIGMA_UP_05_L1,SIGMA_UP_05_L2,SIGMA_UP_05_L3,SIGMA_UP_06_L1,SIGMA_UP_06_L2,SIGMA_UP_06_L3,SIGMA_UP_07_L1,SIGMA_UP_07_L2,SIGMA_UP_07_L3,SIGMA_UP_08_L1,SIGMA_UP_08_L2,SIGMA_UP_08_L3,SIGMA_UP_09_L1,SIGMA_UP_09_L2,SIGMA_UP_09_L3,SIGMA_UP_10_L1,SIGMA_UP_10_L2,SIGMA_UP_10_L3,SIGMA_DOWN_01_L1,SIGMA_DOWN_01_L2,SIGMA_DOWN_01_L3,SIGMA_DOWN_02_L1,SIGMA_DOWN_02_L2,SIGMA_DOWN_02_L3,SIGMA_DOWN_03_L1,SIGMA_DOWN_03_L2,SIGMA_DOWN_03_L3,SIGMA_DOWN_04_L1,SIGMA_DOWN_04_L2,SIGMA_DOWN_04_L3,SIGMA_DOWN_05_L1,SIGMA_DOWN_05_L2,SIGMA_DOWN_05_L3,SIGMA_DOWN_06_L1,SIGMA_DOWN_06_L2,SIGMA_DOWN_06_L3,SIGMA_DOWN_07_L1,SIGMA_DOWN_07_L2,SIGMA_DOWN_07_L3,SIGMA_DOWN_08_L1,SIGMA_DOWN_08_L2,SIGMA_DOWN_08_L3,TAIL_01_L1,TAIL_01_L2,TAIL_01_L3,TAIL_02_L1,TAIL_02_L2,TAIL_02_L3,TAIL_03_L1,TAIL_03_L2,TAIL_03_L3,TAIL_04_L1,TAIL_04_L2,TAIL_04_L3,TAIL_05_L1,TAIL_05_L2,TAIL_05_L3,TAIL_06_L1,TAIL_06_L2,TAIL_06_L3,TAIL_07_L1,TAIL_07_L2,TAIL_07_L3,TAIL_08_L1,TAIL_08_L2,TAIL_08_L3,BIMODAL_01_L1,BIMODAL_01_L2,BIMODAL_01_L3,BIMODAL_02_L1,BIMODAL_02_L2,BIMODAL_02_L3,BIMODAL_03_L1,BIMODAL_03_L2,BIMODAL_03_L3,BIMODAL_04_L1,BIMODAL_04_L2,BIMODAL_04_L3,BIMODAL_05_L1,BIMODAL_05_L2,BIMODAL_05_L3,BIMODAL_06_L1,BIMODAL_06_L2,BIMODAL_06_L3,BIMODAL_07_L1,BIMODAL_07_L2,BIMODAL_07_L3,BIMODAL_08_L1,BIMODAL_08_L2,BIMODAL_08_L3,LOW_CPK_01_L1,LOW_CPK_01_L2,LOW_CPK_01_L3,LOW_CPK_02_L1,LOW_CPK_02_L2,LOW_CPK_02_L3,LOW_CPK_03_L1,LOW_CPK_03_L2,LOW_CPK_03_L3,LOW_CPK_04_L1,LOW_CPK_04_L2,LOW_CPK_04_L3,LOW_CPK_05_L1,LOW_CPK_05_L2,LOW_CPK_05_L3,LOW_CPK_06_L1,LOW_CPK_06_L2,LOW_CPK_06_L3,CONTROL_01,CONTROL_02,CONTROL_03,CONTROL_04,CONTROL_05,CONTROL_06,CONTROL_07,CONTROL_08,CONTROL_09,CONTROL_10,CONTROL_11,CONTROL_12,CONTROL_13,CONTROL_14,CONTROL_15,CONTROL_16,CONTROL_17,CONTROL_18,CONTROL_19,CONTROL_20,CONTROL_21,CONTROL_22,CONTROL_23,CONTROL_24,CONTROL_25,CONTROL_26,CONTROL_27,CONTROL_28,CONTROL_29,CONTROL_30,CONTROL_31,CONTROL_32,CONTROL_33,CONTROL_34,CONTROL_35,CONTROL_36,CONTROL_37,REMOVED_ITEM_01,REMOVED_ITEM_02,REMOVED_ITEM_03,REMOVED_ITEM_04,REMOVED_ITEM_05,LIMIT_CHG_HI,LIMIT_CHG_LO,LIMIT_CHG_BOTH
C000242,61,3,32,10,1,,6.278890,6.506168,5.709241,6.336302,4.332363,4.990197,6.119751,5.121593,4.094648,5.847629,6.224246,4.307307,6.505559,4.416834,4.371115,4.357230,4.417668,5.073378,4.220672,5.014380,4.145405,5.013312,3.250162,3.761992,5.861689,4.666826,4.074915,3.615383,4.029448,5.444201,4.420383,6.612510,7.244213,4.594954,7.355924,5.561128,4.451856,5.288642,4.196579,4.721982,3.822405,3.577434,3.708499,4.217239,3.568151,5.008775,5.906454,4.781565,6.422968,5.536464,4.633731,5.074813,3.883226,3.913846,4.827230,3.584069,5.352248,6.407168,5.485370,4.475992,5.142097,3.774510,8.408399,7.000036,5.294871,3.601086,4.602936,5.772356,5.601725,4.057767,6.033409,4.367861,5.265893,5.593190,3.956918,5.354941,5.384936,3.700879,6.225112,5.549910,3.702397,5.490085,7.100147,6.253517,4.435326,4.714479,5.270421,4.835603,4.745289,3.733159,5.027631,6.407594,5.412016,5.251263,4.177888,5.824124,5.174640,5.861948,4.545309,5.193543,5.044925,6.010181,3.718495,6.455862,4.764466,5.016014,6.264265,3.680692,4.440695,4.354259,3.856276,3.995946,3.319853,4.739769,4.100225,3.793828,3.408581,3.989532,4.137448,3.911392,4.967362,3.615301,4.401043,3.778274,4.107531,4.001520,4.096653,4.734633,4.730324,4.322345,4.038098,3.298345,4.182089,5.284166,7.089182,5.452159,2.117680,5.507778,4.340050,6.138691,6.690905,6.041562,5.680367,4.042047,5.813336,4.677226,6.521395,3.484305,3.015557,4.273759,5.819006,4.569453,5.647337,6.098302,3.775940,4.545910,4.987948,4.738701,4.572774,5.435623,5.041070,5.589036,3.305097,5.170985,5.898076,6.435450,3.707000,4.498026,5.901994,5.000437,6.277263,4.945901,5.319595,6.380412,5.411273,5.709643,6.459363,4.504897,5.150861,3.600246,5.092006,5.559192,5.160983,4.040429,5.790205,4.725373,4.153557,5.299098,4.518436,5.225385,5.576155,4.882002,4.578092,5.808085,5.459065
C000243,61,4,33,10,1,,5.525124,4.828524,5.561197,7.600521,5.599831,4.656248,2.971829,4.754151,3.842268,4.734413,5.028417,5.793662,5.093005,6.450198,4.693615,5.012765,4.821833,5.322765,4.716782,5.654108,4.295225,5.767717,4.677699,5.451120,3.281370,4.091361,6.624281,4.546444,3.000941,7.164804,3.806041,3.480575,6.081288,4.638969,5.298388,4.781348,4.018207,5.625886,4.127939,4.023072,3.812528,5.590428,5.352641,5.846769,6.288235,3.395120,4.591161,2.887231,5.332315,5.307830,6.233992,5.083257,4.595053,3.668870,5.491927,6.116878,6.207441,5.447025,6.177556,7.487384,5.182191,7.077785,5.473808,4.343985,6.053491,3.095674,5.602013,5.133684,3.800517,4.344572,2.464262,4.076558,5.165625,5.991834,4.482006,4.859309,3.206693,4.556725,4.659118,5.049553,5.308181,5.340742,5.085330,4.179009,4.956329,4.335693,4.346698,3.985179,4.536836,4.183186,4.707601,5.051575,5.405095,5.109657,4.997383,4.904884,4.512064,4.271214,4.639198,4.388158,4.641108,3.980901,4.584915,5.457186,5.035548,6.195091,4.417243,9.216467,4.122643,3.489254,3.780984,4.258515,3.881506,5.417700,4.013786,4.536720,3.174702,4.574268,4.955823,4.575563,4.095137,4.234712,4.281149,4.307989,3.034962,3.474044,4.924898,4.744903,3.586713,4.251748,4.074262,3.204638,4.427482,6.183677,4.284423,4.051361,5.407838,3.934755,4.258328,4.734389,4.042813,4.670410,4.572401,5.079103,4.601709,3.786551,6.964091,5.142941,4.240308,4.913458,4.678386,4.818954,6.101363,5.805353,3.432164,3.400874,6.114302,4.537117,6.300760,4.533701,5.804185,4.985227,4.356010,5.999229,5.645454,6.262504,4.353772,5.647033,4.561111,5.505827,4.676538,5.462700,5.488241,4.813245,5.381798,6.236990,5.992798,4.634275,5.475154,3.218751,4.548275,4.531526,3.198656,5.030301,6.467607,4.540033,6.125033,4.701064,7.264706,5.236234,3.859744,4.254895,6.113326,4.944398,4.087247
C000244,62,1,34,10,1,,4.039119,4.784926,5.144655,4.267341,4.419980,4.981087,7.007399,4.655100,5.163447,4.517278,5.720405,5.816974,4.012109,5.279970,5.130752,4.794096,6.011215,4.426697,5.563629,4.607590,4.019171,5.472440,5.778856,4.211846,4.211916,6.716650,5.417522,4.340521,3.637584,6.659818,4.947534,4.911945,3.913879,4.777084,6.392978,3.516644,4.460185,4.590338,3.939464,6.596336,3.302716,4.547860,6.035721,6.382284,4.656958,6.441110,4.194677,3.201499,4.740044,6.020886,5.179330,5.643963,4.420925,4.230215,5.176869,5.898603,7.495565,5.946276,5.101823,4.773598,5.729175,4.114398,3.997642,4.440581,4.462103,5.934599,2.730920,5.354605,6.591180,5.389627,5.287804,4.784840,4.567734,4.284824,5.943180,4.720438,5.368832,4.753943,5.796762,4.344019,6.287727,5.919680,4.927586,6.706995,6.685424,4.946424,5.451821,4.609558,8.408329,5.407463,4.129044,6.983485,6.074820,5.153756,4.921478,3.304428,5.862870,5.946778,5.755034,4.152016,4.708475,6.630558,5.313116,4.167427,4.337940,4.962027,7.867626,4.851440,4.301869,3.747927,4.140343,3.911505,3.657414,3.475231,4.488303,3.916881,4.794699,3.726342,4.107008,4.332148,4.413317,3.983083,4.318419,4.053527,3.873712,4.454821,3.555446,4.129635,4.096686,3.799584,4.184528,4.164213,5.143853,3.475822,4.817426,4.326658,5.580958,5.602292,5.759712,4.823471,6.787780,7.123267,6.796768,3.172268,5.766892,6.382952,4.127209,5.878752,4.747211,4.449831,5.082489,5.337437,5.259362,5.066148,4.387399,4.586751,4.878131,5.146020,6.910298,6.511972,5.503140,6.271416,4.251814,4.769635,4.165918,4.626769,4.000641,5.558494,6.664290,5.190257,6.151705,4.034324,4.198080,4.439476,5.698282,4.604759,4.883100,5.405105,4.378787,3.242071,6.101624,5.401969,4.711168,5.553775,6.480706,4.984430,3.970333,5.866327,5.548200,4.407584,5.875116,5.580143,5.468356,4.116179,6.347126
C000245,62,2,2,11,1,,5.284844,6.003537,4.602840,3.422905,6.091280,3.591337,3.293159,6.415005,4.390357,3.783635,3.487492,6.431331,7.196176,3.524819,6.368512,5.693379,5.275573,5.763046,5.212033,3.722324,4.233829,6.169174,3.397451,3.739187,4.945910,3.739169,3.929359,7.211904,4.933125,5.357108,4.824946,6.336317,6.195015,5.547108,5.982393,4.475694,3.992820,5.983985,3.693774,5.802923,4.189196,3.826837,4.559342,5.624995,6.189856,4.762448,5.268639,5.031411,3.482281,6.021637,5.786015,5.580356,4.928004,5.065598,4.700703,5.967615,4.956506,4.363593,6.296509,5.730080,7.430836,3.885579,5.424040,5.155666,5.050040,5.349276,6.678180,5.567150,5.742660,4.817431,5.695825,4.617890,3.719033,5.593173,6.210895,4.019832,5.408767,5.121179,6.352622,5.642021,2.642596,4.712308,5.435299,5.056635,4.700485,7.130114,5.554021,5.378800,3.735499,3.847705,3.302600,4.520297,5.379506,4.738719,5.564010,4.132997,6.264707,6.364297,3.177797,6.954176,2.811941,4.770923,5.283370,8.545250,4.662883,4.386158,4.996555,5.029191,4.592222,3.341192,3.927217,4.291035,4.187058,4.496911,3.808276,3.653824,4.129251,4.328741,3.916249,4.231999,4.008988,4.047422,3.486194,3.845983,4.279764,3.850781,4.498900,3.834444,4.633814,4.301464,4.337314,4.091048,4.699447,3.610155,5.421068,5.051720,4.847011,5.280557,4.383459,4.460422,4.383629,5.117059,5.231620,5.214284,5.811472,4.903784,5.659450,6.281036,4.619989,4.376792,6.341310,4.435717,7.472685,4.706867,4.897777,5.862121,5.550170,4.929880,4.725865,4.166593,6.438725,4.839605,4.931528,3.545704,6.498848,5.964961,4.859068,4.962772,5.255072,3.554792,4.884448,5.728106,6.234797,5.936732,5.050808,2.055296,5.723256,5.332390,4.989173,3.446985,5.410592,5.947808,6.150653,5.104139,5.614680,4.731477,7.055750,6.281644,6.064176,3.016614,7.546547,3.834365,3.772334,4.658070,5.862711
C000246,62,3,3,11,1,,5.913759,4.062060,4.312416,5.155889,6.682560,4.143394,5.793094,4.267655,5.112191,3.772455,4.923401,6.114306,3.724668,4.893848,4.308034,4.796320,5.284524,5.112952,4.358271,4.505383,4.923860,4.103710,3.732163,4.188083,5.440803,2.977662,4.184099,4.257192,5.009687,6.293647,5.348832,5.095568,4.839708,5.456513,3.992921,4.838636,6.429916,6.174230,3.614166,4.843396,6.939757,3.833459,6.467286,4.339848,4.503499,5.232434,5.917080,4.315906,6.910051,6.470426,7.084409,3.738798,5.118213,4.438549,5.759027,4.329076,5.998133,6.548341,6.383405,5.174310,4.610205,4.926977,5.596982,4.375974,6.588965,4.319325,4.422339,4.396091,3.943079,4.418667,3.063840,3.670141,6.199209,3.986083,5.685942,5.076416,5.972145,6.451101,5.502401,5.701999,6.030556,3.587429,4.857144,5.292523,2.806828,5.553950,5.166462,5.082910,5.558530,4.809376,6.204047,4.207591,3.917944,4.780399,6.128934,5.410390,5.298511,4.329987,3.197794,4.938955,5.416520,5.765035,5.401768,4.610535,7.512851,5.777274,4.574598,4.388419,3.251341,3.867532,3.781050,4.472625,3.779167,4.282081,4.533391,3.494398,3.778275,4.140520,3.965768,4.714868,4.692287,3.703361,3.384384,3.980187,3.876159,4.081191,4.000802,3.729907,4.212750,3.548645,4.181881,4.240518,3.474194,7.105832,4.939760,5.425238,7.190355,5.023264,5.819768,5.396078,3.615401,3.922245,3.582891,4.970614,4.331042,2.976964,3.991722,5.239490,5.730875,4.604627,5.986053,4.148695,6.268991,6.199826,5.557959,3.108943,2.537799,4.812911,6.282068,6.405760,6.365998,6.182882,5.024864,4.661834,3.999680,4.675270,5.709533,4.439651,5.041394,5.742146,6.000212,4.311521,3.452910,3.134192,4.063817,5.037828,1.824985,6.506635,5.619548,7.021006,4.671778,4.792579,4.338582,3.225077,5.189114,6.297747,4.527603,5.219806,4.386324,5.651890,6.098156,6.037801,2.756377,5.368334,2.587202
C000247,62,4,4,11,1,,6.577321,3.646092,4.769250,3.800992,4.906415,3.190328,4.191106,4.232401,3.808869,6.095772,5.147167,5.535868,3.485457,5.474750,4.715824,4.863519,6.402674,5.353969,3.569227,6.160343,4.409914,6.481332,5.495405,7.197226,4.716447,3.421583,3.902854,2.459467,4.688617,6.147884,3.486611,4.560033,5.169294,3.781897,5.730407,5.324987,4.297832,3.923454,5.036039,5.215379,5.104543,5.629368,6.010459,3.143290,6.450904,3.508936,5.019864,3.429986,5.384235,5.876590,5.114215,4.406294,7.235307,2.950961,2.803483,4.536353,5.969621,5.183638,5.695392,4.121707,4.775340,6.303614,4.313761,4.621631,4.043182,6.262732,4.818347,6.695451,5.602825,2.670582,8.586380,5.583620,5.325034,6.139024,4.083371,4.289345,7.327719,4.492376,4.529932,5.263955,4.787518,4.915385,4.247926,7.592921,6.383624,5.201894,4.703763,5.151943,4.397554,4.206685,4.195833,5.783457,7.573853,3.780696,8.973089,5.045658,6.147321,4.579913,4.050472,3.752964,6.544712,6.100186,5.127226,5.004606,4.293814,4.761623,5.322790,4.202615,4.311674,3.732161,3.294542,4.521005,3.400056,3.996014,4.995041,4.095670,3.735933,3.689374,3.547568,4.593580,3.703017,3.772093,3.580580,3.350222,4.448562,4.361207,4.064565,3.752133,3.535255,3.041656,4.740460,3.485243,5.937314,5.143692,3.959439,2.872155,5.804770,6.543902,7.458187,5.986161,6.443386,5.551517,6.021445,6.200799,4.645366,7.654526,4.442772,4.497021,5.609247,3.497107,4.291035,5.890600,5.470030,6.135149,6.088860,3.906919,4.380249,4.747421,4.614543,4.396394,5.369609,4.850538,5.329613,3.706040,4.708769,5.745269,4.780479,5.074041,5.802082,4.251979,6.372611,3.849243,5.859155,4.130793,5.059767,5.413867,4.705918,4.373823,3.912619,4.463886,3.076801,5.221006,5.335629,6.415162,5.715634,5.125306,3.302252,4.681675,8.210086,3.433998,6.559244,4.174873,4.015236,4.732842,5.557551
C000248,63,1,5,11,1,,4.124230,6.429951,4.160678,4.786387,4.033919,5.306244,4.032386,6.578274,4.346536,5.553081,4.263948,6.040458,4.310006,3.715675,3.556288,3.960185,4.931550,6.945605,4.140940,4.157256,5.265384,7.479014,5.390256,4.452421,5.531309,4.537594,3.876573,4.843215,4.977793,5.280617,5.588372,7.067927,4.178001,6.346515,3.645146,5.697068,3.336572,3.021311,5.824443,4.912264,5.417615,4.170552,2.699256,4.565041,4.991043,3.227213,5.508815,5.660508,3.323488,5.146572,3.575320,5.314689,4.753461,5.120646,5.309157,6.692735,7.033631,4.676829,5.035181,4.661085,4.184080,8.513264,4.852015,4.654863,4.860057,4.766533,4.116493,6.031495,4.537997,5.290495,4.021102,3.450087,4.516022,5.477738,3.013041,5.176622,5.398974,6.038218,6.041887,4.449688,3.780340,5.946301,5.764571,4.370239,4.915652,5.699188,3.562502,4.523682,4.765851,4.819384,4.766154,5.480638,4.690228,7.515951,3.981122,5.016514,5.299460,4.380539,5.198539,5.799414,5.303433,5.238180,7.510048,5.160965,3.977505,5.651900,3.712864,5.081411,3.906498,4.009427,4.087277,3.694539,4.354091,3.581958,4.037004,4.367093,4.618472,3.756681,3.567150,4.389011,4.298273,3.956730,4.195257,3.548467,4.322487,4.078794,4.372116,3.291253,4.495910,3.495505,3.674797,3.776590,4.050408,5.261529,4.738679,4.286205,5.699620,4.431782,6.358246,6.809834,4.997125,4.787080,6.987844,5.601927,5.752338,6.509936,5.773280,4.423701,4.419563,5.678562,7.350208,4.630967,5.226093,5.340797,5.269104,7.281127,4.633455,5.327655,5.236285,4.109385,5.283186,4.690211,5.148678,5.130735,4.652311,4.937927,3.682815,6.851771,4.021571,6.367309,4.306985,4.842555,6.166294,5.922809,5.443279,6.222199,4.700185,5.042287,7.076139,4.993807,5.086608,4.632939,6.117555,5.638694,5.042842,4.536701,4.117496,5.010137,4.989620,6.061713,6.085169,3.847801,5.100459,4.422025,3.824087
C000249,63,2,6,11,1,,6.762941,4.159299,6.054551,6.298269,4.953402,4.735375,3.669052,5.222536,4.500554,5.049832,4.513114,5.685312,3.216923,6.167437,4.667615,5.112129,3.839567,6.631628,6.846166,8.394859,6.419711,6.101183,3.992856,5.200242,4.133029,5.745435,5.270768,4.030554,3.766490,5.668821,3.638650,5.495451,5.356404,4.768139,6.503149,3.174825,5.205179,4.773036,3.680227,5.547779,4.704312,3.657912,5.049832,5.312759,5.669052,5.678946,4.390618,5.058002,4.989068,4.976021,5.040373,4.902805,4.218538,7.989840,5.414013,3.252353,6.530455,5.051146,4.081125,5.649809,5.401161,3.627280,3.804559,4.235856,4.237846,3.843959,5.666486,3.885901,3.959139,6.078067,3.363226,5.638715,3.966836,5.896931,5.389463,5.658011,4.408415,5.976645,4.554843,6.155382,3.027246,6.635109,5.426369,5.485105,6.463251,5.289048,5.237318,5.082604,5.243451,2.453466,6.064885,4.904573,4.683644,5.381341,5.529025,5.973227,4.104198,5.675331,4.736926,8.636767,5.343482,3.539522,5.176064,9.594901,3.556019,5.443181,4.449857,5.963935,4.325374,3.418714,4.449507,3.915502,3.307695,4.286787,4.036561,3.880230,4.037251,3.094278,4.276146,4.786653,3.666754,4.018760,3.499386,4.706574,3.864595,4.181124,4.030170,4.248042,3.408376,4.085661,4.162357,4.027118,6.188347,3.897630,4.354922,4.388770,5.385808,4.968483,6.539600,5.956083,5.390438,3.454314,4.272922,5.379439,4.752465,3.487766,3.770577,3.371816,4.158605,5.791830,5.798199,5.052193,5.635829,4.149999,7.266537,5.321659,4.517226,6.205983,4.088267,6.125497,2.488562,5.674888,7.220423,4.986641,3.137127,5.313398,3.726308,5.505833,6.280933,3.444478,3.684678,4.438312,4.772035,5.587684,6.182190,5.991156,4.060500,4.127949,5.941711,5.240184,5.044160,6.142749,5.774141,5.352720,6.121004,5.361852,4.205960,4.755786,5.480081,3.449833,3.608705,5.718525,5.193170,3.208977,3.986033
C000250,63,3,7,11,1,,5.042766,5.349366,5.986061,4.758882,4.932606,5.783107,8.920373,4.947661,5.618281,5.605391,7.232007,5.031622,6.833978,3.288936,5.834990,5.770891,4.506890,4.358625,5.493370,5.331367,6.170507,4.933821,5.335059,4.912070,6.462134,5.689038,5.065758,4.287109,4.267312,3.405733,3.614440,4.278363,5.704828,4.603888,3.906620,3.637874,5.841115,3.779971,4.918774,4.007364,3.900769,3.649998,5.620359,5.051541,5.082921,6.327939,4.171921,3.182416,3.180032,3.368199,5.839546,5.953671,4.012998,4.514736,4.094205,4.326066,5.317307,5.410079,4.166104,4.530592,4.685775,4.772276,7.158990,4.780932,3.600841,3.298206,4.973979,5.297276,4.917763,5.119266,5.648586,5.483110,3.693624,5.297753,4.746573,5.382411,5.193743,4.506661,6.274326,5.077529,7.073734,4.602751,5.413104,6.045882,3.887908,4.162992,5.754666,4.783121,4.747241,3.955111,4.881159,3.384248,5.254154,2.513503,5.720601,4.890019,5.532740,4.841783,5.411753,5.658657,5.058033,5.036590,5.137393,4.637416,5.437160,2.317384,4.616950,3.834996,4.937997,4.072518,4.473483,3.591016,3.985047,3.106050,3.742695,4.298419,4.545469,3.807973,4.607827,4.564413,4.184683,3.943040,4.846596,4.319431,4.325207,4.121299,4.759202,4.624985,4.568626,4.058998,4.267095,3.772559,5.913827,7.611498,5.492674,4.662883,7.368273,5.291255,4.162672,6.189605,3.323004,3.145917,3.786404,3.907843,6.437814,5.364584,5.082339,4.446939,4.991471,5.158391,5.401596,4.360597,4.592047,5.999926,4.113852,4.116735,5.503311,4.947632,4.950759,5.761506,4.637537,5.404099,5.869655,2.570059,5.856749,5.029679,4.568062,2.755566,4.481328,6.584989,4.574601,3.808615,5.079009,5.033190,3.866307,4.273093,4.230657,5.011754,4.142526,4.909836,4.560988,6.071786,4.865050,5.202315,5.135583,4.682813,5.509472,6.259218,5.567474,4.676884,5.036721,5.832551,3.291056,7.266718,5.553160
C000251,63,4,8,11,1,,4.874612,7.147876,4.291703,4.290503,5.800482,5.093545,5.469917,4.303372,4.611076,5.557982,4.199551,6.288233,2.619354,4.053219,4.994872,5.153746,4.393030,5.776864,5.297465,5.126987,5.163211,6.009032,3.560403,5.428904,6.121951,4.520264,3.511832,5.209904,5.425549,3.649125,4.841737,6.523765,4.829886,6.945771,3.379333,3.612245,4.439026,5.513434,3.120036,6.831190,5.319560,5.773431,4.260135,5.775427,4.083504,7.210546,4.818423,4.750040,4.632868,4.528024,4.237436,3.572060,3.795589,5.774007,3.810259,4.181138,4.303293,4.532978,5.436615,5.456785,5.433164,3.877176,5.546611,6.234500,5.673780,3.200885,3.454834,4.055122,5.484559,3.089353,4.057489,5.640627,5.968124,7.027008,4.113103,4.041287,5.342074,4.489168,6.375856,5.425540,4.455047,5.042123,6.199539,5.032566,3.725616,5.879899,4.013894,3.763121,5.619537,5.084226,4.491242,4.035622,5.339413,4.274982,7.231685,4.730888,3.712022,6.226610,4.171192,4.967828,6.287575,6.528015,3.946727,5.312681,5.018184,4.449622,5.630800,4.643409,3.559094,3.983816,4.564973,4.440068,4.051601,4.784764,3.495156,3.965385,4.655235,4.228446,3.210458,3.856376,3.263995,4.067156,3.307526,3.633246,3.807439,3.734126,4.277132,4.959643,3.940836,3.719959,3.511467,3.781905,2.934596,5.185232,4.465589,6.207282,5.603906,6.340592,3.685012,6.042222,4.994381,5.206044,7.540143,3.462672,5.575988,5.192830,4.910890,5.771733,5.240597,4.484982,2.815519,4.530071,5.751257,4.632808,4.209725,4.454261,5.356019,3.985479,4.598345,6.511761,3.958153,5.176631,5.325875,2.326388,3.351679,4.294765,4.129959,5.226264,6.990214,3.266945,4.871044,4.974573,5.111300,5.834413,5.612052,5.700174,6.997465,5.047496,3.819472,6.120275,4.528449,3.432693,4.918590,4.984032,7.165213,4.719149,4.992092,3.829176,5.202206,5.501484,3.529725,4.317335,3.759138,4.581138,5.137190
C000252,64,1,9,11,1,,4.985077,4.386397,6.988049,5.462608,6.382534,4.599061,5.914027,3.630994,4.637694,5.304709,5.918074,5.374925,5.785771,6.339293,6.527165,5.686284,3.932649,2.514602,5.003578,5.344932,4.453969,6.256886,4.743774,6.017591,6.760356,4.549086,4.942518,4.994609,4.922475,4.818671,4.979792,4.228605,5.577401,5.371722,5.189921,3.512431,6.686950,2.831392,4.153275,3.674390,4.065144,4.489936,4.126034,6.337827,5.539098,3.428394,5.657131,5.588753,5.001101,5.374822,4.737589,4.862744,8.385434,4.153206,5.446894,3.737854,6.544055,4.490721,4.462278,5.583416,6.670009,4.339831,5.321790,5.900750,4.758833,3.846063,3.389218,4.565592,4.985988,3.308021,5.663151,3.662884,7.274383,4.232033,6.828493,6.027212,4.618060,5.066907,4.900764,3.600989,5.477064,6.487011,2.594675,3.928411,4.121572,6.273422,3.363876,5.501413,5.056687,5.906139,6.245500,3.906381,5.060062,4.473647,5.494600,6.084000,5.694128,4.760611,4.573587,4.511753,3.316387,7.361338,4.945723,4.806664,3.250975,4.641957,3.858271,5.478102,4.154988,4.108920,3.765028,3.691583,4.184208,4.235166,4.017432,4.677180,3.347571,4.114943,3.908104,4.276987,4.874255,4.149759,3.830925,4.309475,3.898228,4.684854,4.433288,3.889655,4.633556,3.929062,4.024241,4.277051,5.475981,4.476472,6.788309,2.998204,4.523375,5.052853,3.482378,5.034110,7.642498,5.028254,5.359468,6.939843,4.386636,3.846610,3.570399,4.465747,6.035256,5.037531,4.595129,7.425376,5.499242,3.942490,5.797831,4.761018,6.667027,4.275399,4.808155,6.747709,4.441016,6.364656,5.957481,3.089986,5.793815,5.034128,6.198665,3.735884,4.465630,6.253115,5.430632,5.760902,4.519654,5.604925,4.957770,6.989752,4.078389,3.342045,6.224224,6.319545,4.330535,4.296966,5.624931,4.550302,3.684016,3.971690,6.435607,4.979633,5.147914,4.053311,4.796738,7.291860,5.132780,5.328714,5.014556
