SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,MEAN_SHIFT_01_L1,MEAN_SHIFT_01_L2,MEAN_SHIFT_01_L3,MEAN_SHIFT_02_L1,MEAN_SHIFT_02_L2,MEAN_SHIFT_02_L3,MEAN_SHIFT_03_L1,MEAN_SHIFT_03_L2,MEAN_SHIFT_03_L3,MEAN_SHIFT_04_L1,MEAN_SHIFT_04_L2,MEAN_SHIFT_04_L3,MEAN_SHIFT_05_L1,MEAN_SHIFT_05_L2,MEAN_SHIFT_05_L3,MEAN_SHIFT_06_L1,MEAN_SHIFT_06_L2,MEAN_SHIFT_06_L3,MEAN_SHIFT_07_L1,MEAN_SHIFT_07_L2,MEAN_SHIFT_07_L3,MEAN_SHIFT_08_L1,MEAN_SHIFT_08_L2,MEAN_SHIFT_08_L3,MEAN_SHIFT_09_L1,MEAN_SHIFT_09_L2,MEAN_SHIFT_09_L3,MEAN_SHIFT_10_L1,MEAN_SHIFT_10_L2,MEAN_SHIFT_10_L3,SIGMA_UP_01_L1,SIGMA_UP_01_L2,SIGMA_UP_01_L3,SIGMA_UP_02_L1,SIGMA_UP_02_L2,SIGMA_UP_02_L3,SIGMA_UP_03_L1,SIGMA_UP_03_L2,SIGMA_UP_03_L3,SIGMA_UP_04_L1,SIGMA_UP_04_L2,SIGMA_UP_04_L3,SIGMA_UP_05_L1,SIGMA_UP_05_L2,SIGMA_UP_05_L3,SIGMA_UP_06_L1,SIGMA_UP_06_L2,SIGMA_UP_06_L3,SIGMA_UP_07_L1,SIGMA_UP_07_L2,SIGMA_UP_07_L3,SIGMA_UP_08_L1,SIGMA_UP_08_L2,SIGMA_UP_08_L3,SIGMA_UP_09_L1,SIGMA_UP_09_L2,SIGMA_UP_09_L3,SIGMA_UP_10_L1,SIGMA_UP_10_L2,SIGMA_UP_10_L3,SIGMA_DOWN_01_L1,SIGMA_DOWN_01_L2,SIGMA_DOWN_01_L3,SIGMA_DOWN_02_L1,SIGMA_DOWN_02_L2,SIGMA_DOWN_02_L3,SIGMA_DOWN_03_L1,SIGMA_DOWN_03_L2,SIGMA_DOWN_03_L3,SIGMA_DOWN_04_L1,SIGMA_DOWN_04_L2,SIGMA_DOWN_04_L3,SIGMA_DOWN_05_L1,SIGMA_DOWN_05_L2,SIGMA_DOWN_05_L3,SIGMA_DOWN_06_L1,SIGMA_DOWN_06_L2,SIGMA_DOWN_06_L3,SIGMA_DOWN_07_L1,SIGMA_DOWN_07_L2,SIGMA_DOWN_07_L3,SIGMA_DOWN_08_L1,SIGMA_DOWN_08_L2,SIGMA_DOWN_08_L3,TAIL_01_L1,TAIL_01_L2,TAIL_01_L3,TAIL_02_L1,TAIL_02_L2,TAIL_02_L3,TAIL_03_L1,TAIL_03_L2,TAIL_03_L3,TAIL_04_L1,TAIL_04_L2,TAIL_04_L3,TAIL_05_L1,TAIL_05_L2,TAIL_05_L3,TAIL_06_L1,TAIL_06_L2,TAIL_06_L3,TAIL_07_L1,TAIL_07_L2,TAIL_07_L3,TAIL_08_L1,TAIL_08_L2,TAIL_08_L3,BIMODAL_01_L1,BIMODAL_01_L2,BIMODAL_01_L3,BIMODAL_02_L1,BIMODAL_02_L2,BIMODAL_02_L3,BIMODAL_03_L1,BIMODAL_03_L2,BIMODAL_03_L3,BIMODAL_04_L1,BIMODAL_04_L2,BIMODAL_04_L3,BIMODAL_05_L1,BIMODAL_05_L2,BIMODAL_05_L3,BIMODAL_06_L1,BIMODAL_06_L2,BIMODAL_06_L3,BIMODAL_07_L1,BIMODAL_07_L2,BIMODAL_07_L3,BIMODAL_08_L1,BIMODAL_08_L2,BIMODAL_08_L3,LOW_CPK_01_L1,LOW_CPK_01_L2,LOW_CPK_01_L3,LOW_CPK_02_L1,LOW_CPK_02_L2,LOW_CPK_02_L3,LOW_CPK_03_L1,LOW_CPK_03_L2,LOW_CPK_03_L3,LOW_CPK_04_L1,LOW_CPK_04_L2,LOW_CPK_04_L3,LOW_CPK_05_L1,LOW_CPK_05_L2,LOW_CPK_05_L3,LOW_CPK_06_L1,LOW_CPK_06_L2,LOW_CPK_06_L3,CONTROL_01,CONTROL_02,CONTROL_03,CONTROL_04,CONTROL_05,CONTROL_06,CONTROL_07,CONTROL_08,CONTROL_09,CONTROL_10,CONTROL_11,CONTROL_12,CONTROL_13,CONTROL_14,CONTROL_15,CONTROL_16,CONTROL_17,CONTROL_18,CONTROL_19,CONTROL_20,CONTROL_21,CONTROL_22,CONTROL_23,CONTROL_24,CONTROL_25,CONTROL_26,CONTROL_27,CONTROL_28,CONTROL_29,CONTROL_30,CONTROL_31,CONTROL_32,CONTROL_33,CONTROL_34,CONTROL_35,CONTROL_36,CONTROL_37,ADDED_ITEM_01,ADDED_ITEM_02,ADDED_ITEM_03,ADDED_ITEM_04,ADDED_ITEM_05,LIMIT_CHG_HI,LIMIT_CHG_LO,LIMIT_CHG_BOTH
C000306,77,3,30,12,1,,5.099206,5.948644,8.650343,4.516481,6.924916,6.725351,5.524423,3.974169,7.995880,5.696275,5.441696,8.141114,5.387253,5.640223,6.357864,4.687257,6.279419,6.450747,4.565371,4.650030,8.121018,5.845810,5.707790,7.951858,4.285061,4.881521,6.616568,4.057490,5.133922,7.573392,3.680781,5.336322,5.514452,5.325863,3.886931,7.325659,5.396053,4.055267,3.582894,7.204878,3.997413,3.400539,4.952188,6.174092,3.591976,5.023865,4.292334,5.453518,3.848508,4.903474,5.920988,3.374581,5.809931,7.863121,6.333869,4.345749,4.977953,4.458213,4.141443,5.088543,5.079469,4.744169,4.930308,4.567044,6.153227,5.926865,6.687920,6.083877,4.948073,4.641057,4.110479,5.373122,6.607546,4.358977,5.679667,3.721553,5.036238,5.655021,6.568042,4.819993,4.199236,6.206488,6.077641,5.056604,8.859510,6.043108,5.442646,3.821206,3.532757,4.855347,3.787623,4.344869,7.076456,4.644929,7.115936,4.062972,4.397642,6.144097,4.600608,5.525484,4.793487,6.748836,5.732696,4.422484,3.988914,4.410255,5.879914,4.148504,3.945124,4.944374,3.780704,5.013939,4.271697,4.369219,3.512594,4.919837,4.040934,4.588264,3.734647,3.423485,4.510862,4.254023,2.883708,3.062071,3.591136,3.277371,3.538253,3.266082,2.350801,3.784605,3.899005,3.587780,5.014208,4.868968,4.515545,4.501293,7.710885,5.587430,3.595907,5.762480,6.933132,6.645265,4.404107,5.492704,5.730556,7.033205,3.423882,3.489055,5.545412,6.182639,4.117601,4.495490,6.419237,4.486057,5.817430,4.246797,5.949050,5.501130,4.597740,6.499185,6.930948,6.621129,4.368964,6.254785,3.916845,4.007655,3.749508,3.168416,4.769912,4.544181,6.378799,3.567632,3.822493,5.985648,5.548346,6.162130,6.679774,5.099974,3.351856,4.022143,5.331233,3.904497,5.360035,6.327118,3.664987,4.549770,5.482251,6.781474,6.493495,4.890036,4.422735,4.973819,5.661673,5.726835,5.623367
C000307,77,4,31,12,1,,4.903919,5.286619,6.511307,4.764706,6.057024,6.420954,7.113866,5.845733,8.032887,6.437913,5.073852,5.683336,4.027106,5.337791,7.557075,6.589552,6.358400,8.102813,6.643861,6.373634,7.513092,5.967452,5.868784,9.688257,3.958389,6.412314,6.862253,6.358250,5.320843,8.054208,3.870081,6.169417,6.719484,4.443429,5.723382,5.743263,6.450079,6.943316,3.418548,4.494623,5.721786,6.023914,4.931451,3.372958,5.047911,4.016728,7.461957,5.803164,3.833398,2.352644,5.187838,5.846537,4.679534,2.702698,5.190886,2.551216,5.584674,4.274663,4.598201,0.738911,3.590125,3.860216,5.541704,3.798159,5.530848,5.129701,5.622260,5.181925,4.505492,6.354071,3.961219,5.628482,4.038278,5.950164,5.446812,5.938039,4.583403,5.576241,5.552710,5.243039,7.194454,5.460823,5.567571,4.845088,4.519049,4.851118,3.508118,5.192437,6.868340,3.728489,5.930100,4.134892,2.293390,4.356113,4.907011,6.352600,5.143180,2.385576,4.256019,7.352722,5.954273,3.921395,3.978394,5.881170,4.163724,5.445689,5.167982,5.961030,4.439352,4.924953,3.007030,3.726695,4.142058,3.915896,3.834154,4.197081,3.486579,3.180262,3.964940,2.780934,3.826410,3.172127,3.111510,3.760591,3.983513,3.170374,4.054111,4.061159,3.404621,4.344318,3.443805,3.692209,3.956197,6.906950,6.154078,2.812039,7.443471,7.823937,6.236171,5.939534,8.058202,4.383398,5.065102,4.607762,2.808127,5.288947,7.503109,4.836064,3.547972,5.203115,6.199856,4.506018,6.297533,5.009091,4.511462,3.929040,3.422685,4.821708,5.579010,4.489800,5.700685,3.863743,4.882338,5.275828,5.603320,5.111505,5.949136,6.034024,2.033171,4.368930,4.983171,5.854329,4.967025,5.263074,6.408326,5.096369,4.560171,4.039516,5.730668,5.801461,3.673799,3.348119,5.100975,3.449974,4.239804,4.693380,4.214492,3.448253,5.230072,5.159454,3.697390,5.343743,5.029689,3.881714,5.730303
C000308,78,1,32,12,1,,5.359796,5.948815,5.488478,5.604290,4.968413,7.292694,5.055358,7.222202,8.125675,5.834285,5.932677,6.470909,4.951477,5.243396,5.916936,5.868163,6.632247,5.417664,3.967650,5.562122,6.366580,5.766495,5.040160,9.891522,5.938704,7.962100,9.990000,5.508174,6.125009,8.555525,3.869293,6.024901,3.947967,6.739275,5.955731,4.543766,5.269791,5.914296,3.198256,4.398166,4.699230,2.101133,5.018889,4.293204,3.671219,5.357693,7.014547,6.542135,6.110107,4.402782,5.888670,5.592161,4.863729,2.142697,4.982509,6.407902,6.814384,2.939273,4.966734,2.990363,5.245855,6.452289,5.126302,4.358602,6.302091,6.004378,3.595361,5.836420,4.686067,5.065940,5.121912,4.771092,4.880621,4.133547,5.284323,5.291580,6.378942,4.969406,4.329122,5.264332,4.586531,4.612759,4.645660,5.079677,4.540088,4.585887,5.358948,4.841340,4.819243,5.149757,4.649527,5.541226,4.996441,3.059838,5.801490,6.492013,4.645151,3.275381,3.451576,4.457428,6.258610,5.869432,4.067890,6.003094,3.498218,5.588879,5.174852,2.589737,4.000309,3.305121,3.978577,4.215875,4.077498,3.680334,3.965516,3.277730,3.162437,4.697333,4.157285,3.939415,3.427667,3.598299,2.930786,4.248797,4.267285,3.593049,4.670533,3.637958,3.508171,3.188765,4.163001,3.973526,5.271358,2.700444,4.062614,6.768669,5.282354,2.777656,4.261509,7.569990,5.995559,3.591988,5.580145,2.946550,5.903801,5.177691,6.517610,3.776013,5.015500,6.431290,5.511947,3.715606,6.008181,1.946557,5.724664,5.372602,2.217339,7.301636,5.089729,4.826226,5.940884,5.030975,4.504191,4.906864,6.746103,4.460413,5.561884,3.790778,4.422261,5.395828,5.864763,5.487977,6.823753,4.995353,3.089775,5.327239,5.732891,4.487736,6.055395,5.734820,5.416186,5.231250,4.442950,5.455359,6.279295,4.777453,4.837086,5.572965,4.699393,5.399311,4.045642,5.789435,4.842005,5.160519,5.417031
C000309,78,2,33,12,1,,4.905227,6.130826,5.336331,5.142979,6.376466,9.990000,4.711142,4.926362,7.523109,3.403855,7.450241,8.245162,5.476766,6.457714,6.957268,6.297554,6.603341,9.020313,6.098542,6.462350,7.272031,4.991989,6.837884,7.482225,6.747049,5.727658,7.566454,4.606919,6.124426,8.486834,4.129209,4.179902,4.483239,4.043305,5.442104,4.979155,4.899921,5.843127,5.747625,4.109851,6.875255,3.267859,4.703945,5.176765,5.663067,3.748993,4.516941,6.199280,3.756382,4.224423,4.510514,3.230300,4.734009,4.691535,4.320240,4.190612,3.883411,4.479332,4.362008,2.582086,5.200079,4.150539,5.250172,6.560149,4.564586,4.610726,4.912500,4.415770,5.727941,4.106313,5.043352,5.577666,5.104501,4.147912,5.975374,5.364634,4.729584,5.190838,5.292514,5.049331,5.589545,5.172232,5.338804,6.482112,4.608838,3.814261,5.341577,4.741409,6.781912,3.418724,5.566868,6.043271,4.372117,4.862240,5.107104,5.736317,4.150871,6.558651,4.536734,5.025102,2.727533,4.904458,5.155093,5.503413,4.758886,4.446246,5.245492,2.828047,4.539360,3.932063,3.597220,3.606383,3.726759,3.485909,3.504574,3.518894,3.505796,3.686384,4.440659,4.010943,3.487899,3.879855,3.830109,3.956132,4.114203,2.592490,4.382575,3.250882,3.270735,3.930216,4.171324,3.329375,3.760602,4.933632,7.099849,5.047541,5.107856,1.729456,4.963926,4.064538,2.235933,2.894271,3.286598,2.333419,4.803321,7.709934,6.856378,4.825493,3.155575,6.412014,5.280878,5.096590,5.617689,4.622634,3.985015,6.115820,3.767596,6.080163,5.144066,6.789127,2.795126,5.150429,5.876918,4.068602,5.284641,6.461548,4.181859,6.859182,4.823813,5.785792,6.088721,4.397967,4.986228,4.160772,4.979265,4.832277,5.884365,3.400683,5.114903,5.572835,5.589329,5.063601,4.376572,4.166664,5.192999,5.511738,3.090707,3.312101,3.917320,3.491653,5.334042,3.594118,5.517838,5.562253,4.684627
C000310,78,3,34,12,1,,4.649576,7.041191,7.259266,6.227463,6.691661,6.726791,5.320947,6.282647,8.294526,3.861276,7.514600,8.423405,5.798951,6.396654,8.127255,5.695559,7.388188,6.456695,3.994601,4.026994,6.373733,3.492199,6.604891,7.775348,6.537927,6.594950,8.092078,3.467422,6.498590,5.912498,4.397841,4.645152,3.704964,4.476895,3.573642,6.081631,3.979640,6.801262,6.955896,6.906148,2.269509,4.065002,5.235304,5.382861,6.265073,4.980641,4.627715,7.783608,4.494254,3.850194,4.628359,4.621762,3.282903,3.363657,3.454701,6.673753,5.656201,6.449990,4.187322,6.673388,4.351614,4.627933,4.351489,4.641748,5.065196,5.284043,4.209249,5.265049,5.573839,4.118815,5.261300,6.328691,6.022373,5.379340,5.116776,4.988645,4.943006,5.674391,4.179495,5.779617,5.444492,5.745693,4.740818,5.255740,3.748603,5.630733,3.288873,5.180065,5.277802,4.472257,4.126963,5.263588,3.998241,5.479608,5.411133,4.926059,3.316026,5.195994,5.064018,4.484607,4.289252,4.879104,4.536022,4.820663,4.575746,5.442196,4.946291,6.886291,4.063374,4.852512,2.888104,3.528145,4.365002,3.954507,4.618090,3.791621,3.874961,4.486170,3.524803,3.915903,3.577428,3.804008,3.475237,3.968789,3.908742,4.027736,4.230342,4.092659,3.168246,4.612803,3.496213,3.834623,5.333518,7.674289,7.245695,6.190220,6.218917,6.720901,6.620790,7.140297,3.204974,4.555835,3.608059,8.588630,4.038170,6.301352,5.597845,6.274343,6.050358,6.661430,2.786148,6.393409,4.890928,5.125352,5.547707,5.126946,6.001574,5.090947,3.523352,5.973239,4.937642,6.278111,4.199835,4.624333,6.267066,4.922552,4.074218,5.866089,5.491812,4.804529,4.183020,5.442380,5.673468,5.054249,4.427319,6.096139,5.936608,3.898100,5.882245,7.155414,7.571173,4.512282,5.244149,3.778218,5.869526,5.939622,4.035526,4.483697,2.877714,6.225543,2.695858,3.332872,6.722486,6.910748,5.599175
C000311,78,4,1,13,1,,5.252058,5.602385,7.933308,3.850962,5.411606,5.925991,5.464534,6.874792,7.899597,3.211709,5.097945,6.267680,3.976101,5.202641,6.787131,3.610945,5.902099,9.448887,5.343035,6.470742,6.693073,6.216055,8.365060,6.881176,3.555283,6.571064,7.879187,5.412141,7.403009,7.230038,3.099518,6.240450,4.343673,5.827447,7.195329,5.686455,4.548515,4.426400,8.208257,6.788360,3.488149,2.937826,4.902193,5.648042,6.521197,5.252735,5.325875,6.219334,5.592664,4.368878,4.209074,4.963014,3.416392,6.226897,5.683446,4.308204,6.128892,5.124271,5.306152,5.289649,3.872036,5.650511,4.984614,5.797076,3.993968,5.456768,4.384941,5.308378,4.034026,5.582111,4.633171,4.563417,5.198545,4.913451,6.030783,4.881802,4.416440,5.086112,4.015626,4.859735,5.193684,5.408733,5.893221,5.308852,5.024873,3.834278,4.588069,6.448239,5.165478,6.211205,4.785026,4.246636,5.473550,4.708643,4.009198,5.115699,4.596356,5.974194,3.769716,5.634010,5.350944,2.277576,3.687517,5.466417,5.371852,5.188089,5.111735,4.153168,4.294729,3.898769,4.724563,3.626393,3.675247,3.413070,4.037729,3.289046,2.997550,4.254582,3.771067,3.353347,4.636074,4.672299,4.117447,4.144623,4.367816,4.393471,3.811003,3.371271,3.468635,4.376990,4.273100,2.745338,4.794579,5.221880,5.125885,4.242644,5.355258,5.166118,4.263733,6.175520,7.155251,5.395418,5.849531,5.848879,5.233101,4.867705,4.574458,6.966079,4.559874,3.171419,6.419270,2.609569,6.894489,5.628256,5.492746,4.214891,2.904686,7.307016,3.884636,6.356052,4.644905,4.768974,4.766127,4.488613,5.917238,6.458834,6.195087,5.142002,6.021911,5.128252,4.293521,3.631047,3.507437,3.754727,5.021347,4.561022,7.114417,6.038264,5.714721,3.671824,4.696935,4.692228,5.980549,4.919749,4.234576,3.563631,4.819810,6.078606,4.046027,4.489725,6.782378,6.295337,4.542879,6.032886,4.611628
C000312,79,1,2,13,1,,2.974973,4.705263,6.166054,4.023283,6.163327,9.015229,5.223044,6.324784,7.070629,4.085090,6.353935,6.596022,5.736375,5.938767,5.885640,4.888297,6.126624,9.972220,4.394231,6.434531,9.178193,3.890456,7.054196,8.289193,4.937433,7.133328,7.405433,5.993655,6.491148,8.630055,6.263037,5.423682,5.314061,5.758841,5.718387,2.421010,6.954282,3.675467,4.402600,6.333626,3.905446,8.236153,4.984706,6.367712,3.359703,4.866935,3.690902,3.940847,2.612231,5.303973,5.401574,2.620259,6.434341,3.152695,5.656071,6.404743,5.989062,3.703146,5.682861,5.417041,5.260828,5.354305,3.670461,4.819599,4.756076,4.716611,5.792810,4.505025,5.544922,3.798497,4.768797,5.772937,5.087934,5.534582,4.800638,5.777455,4.854684,5.617183,4.105181,5.952746,4.100382,3.323302,5.394144,4.967871,4.561192,6.663681,5.458422,4.624479,4.921168,5.892415,5.833864,4.175021,2.159212,4.582027,3.927643,5.014685,5.787890,4.785953,4.327722,5.607600,3.730490,4.987637,4.536271,3.544375,6.967506,4.928547,5.049885,2.981312,4.185220,3.396899,3.662029,4.452244,2.801705,3.304364,3.757089,3.549267,3.231027,4.317518,4.267595,3.590741,4.150309,3.047495,4.295508,3.875090,3.807324,3.860215,3.470567,4.227681,4.047630,4.113792,3.677474,4.365500,4.358295,3.861631,6.357052,6.199096,3.122774,5.058691,6.644138,2.434519,5.391817,5.474724,3.684676,5.050851,6.145259,3.428116,7.226645,5.225079,4.019861,6.604408,6.928040,5.004938,4.653911,6.594306,6.016356,4.838255,5.926006,5.230815,5.032157,4.898751,5.658429,3.278040,5.900314,4.827005,4.939763,7.072159,6.029134,6.884540,5.152207,6.007848,4.561755,4.488929,5.058952,4.503937,2.968001,2.695000,4.069280,3.672065,2.825345,5.146437,5.941661,4.380478,4.859089,4.036795,6.192253,3.259787,5.829725,3.876780,6.087371,5.327333,4.439009,4.331920,4.816125,5.282996,6.021263
C000313,79,2,3,13,1,,5.594680,6.987456,6.330168,4.013765,5.404433,5.660844,4.608960,5.389324,7.113009,7.369827,4.719068,6.336618,6.051144,6.088596,7.643040,4.750315,6.115265,7.128315,3.437301,6.406853,6.346480,5.206109,6.434349,7.983597,6.875212,7.346116,8.389320,4.305571,8.114599,7.425502,5.074824,7.628049,7.686819,4.640763,6.061385,1.407106,5.150264,6.700944,2.312181,4.937502,3.651795,5.812249,4.644153,6.017637,4.934834,5.386332,4.134615,5.328792,6.458354,6.250159,3.439617,3.745739,5.988347,3.484320,3.607100,7.865768,3.749979,4.910823,3.755811,5.413991,5.189664,5.991541,4.668172,4.127275,3.579248,5.768522,5.219342,4.864519,4.593975,4.569872,4.268362,5.513313,5.687909,6.319032,3.997434,5.012001,4.954535,5.894865,5.330627,4.354729,4.267407,5.996530,5.988216,4.809830,6.228000,4.159729,1.965277,4.439266,3.698322,5.795417,4.651063,4.899612,3.895606,5.048193,3.696176,2.472367,7.951063,1.798568,6.740891,5.231837,3.927412,3.990423,4.009256,6.264410,4.548396,3.499994,5.163568,5.306931,3.550668,3.572521,3.275959,4.464301,3.248758,1.723377,4.813892,4.602252,3.481760,3.805322,3.915624,3.452839,3.744930,3.355650,2.697797,3.826052,3.625470,3.425284,4.346908,4.543453,2.048245,4.054033,3.700327,5.058009,5.065299,5.270879,5.768285,5.552124,4.784803,4.479952,3.747458,5.801087,5.110699,2.585372,5.410027,5.592020,4.961115,6.124090,4.593167,5.113593,4.925131,4.563973,6.315796,5.833620,5.466325,5.116626,5.531346,4.943276,6.276444,6.258780,4.718644,4.465043,5.883754,4.991816,4.930058,4.076133,5.427905,4.421032,6.312846,5.355386,3.992363,4.485846,4.357819,4.495772,5.317445,4.641397,4.996440,4.098535,5.010947,4.381539,5.565872,4.036035,5.316976,4.348782,3.898927,4.750292,4.968105,5.813273,4.408160,6.608151,4.369364,6.257111,4.277756,4.129669,4.955521,6.928373,4.985615
C000314,79,3,4,13,1,,4.246386,5.699861,7.684216,4.610082,5.631389,7.422563,4.933881,4.291018,8.262176,5.986637,5.599466,5.650227,3.505995,5.432791,7.081297,5.183240,5.815067,7.267616,6.210501,5.438632,7.756393,4.092340,5.677455,8.667955,7.000609,6.568450,7.003317,4.534346,5.410724,6.263738,5.071727,5.008448,4.253996,3.787378,4.810743,3.793894,6.272618,5.028084,6.600188,4.866253,4.226731,2.504133,4.323809,4.606079,3.199921,4.496127,5.088057,6.223679,6.056957,5.279560,4.485538,6.324369,4.812307,3.526205,2.242756,2.835569,2.410776,5.266258,6.137733,5.919470,6.853859,4.394971,5.594736,5.853676,5.637873,4.895823,5.862996,5.739434,5.227641,6.050267,4.891117,4.702926,5.766026,6.379681,4.711098,5.875189,4.484350,5.804065,5.124239,5.334749,4.428972,5.298835,4.582030,4.518955,5.278229,4.731205,4.333626,5.400457,5.101128,9.990000,5.125079,4.410881,5.363081,4.420480,4.316966,5.216569,4.714151,3.465210,3.067567,4.952578,6.731150,3.521851,4.918599,4.035748,5.020268,6.028018,5.518887,6.941979,3.555030,3.236472,3.990536,4.278505,3.987839,3.489215,3.742287,4.852312,3.079890,3.813177,4.088281,3.681628,4.185639,3.090614,2.623333,4.116674,2.891949,3.277974,4.109583,3.509875,2.961709,4.600236,4.177696,4.077202,3.392138,4.007776,7.662341,6.069408,7.053635,5.834604,5.280699,2.075744,5.501426,5.736185,4.398308,8.256267,4.781086,4.572183,1.313046,4.021290,5.949923,5.195403,4.803444,4.963234,2.897062,5.562200,5.447060,4.510907,3.621434,4.645392,5.803709,6.327707,5.510210,5.162652,4.782667,4.189186,4.078447,5.401217,3.430513,5.062737,5.135626,4.733302,5.737114,4.948579,4.697104,7.385319,3.235029,4.186778,4.230579,5.420715,6.080182,5.640068,4.973009,4.807875,4.984753,5.771642,4.848495,3.701079,3.208481,4.980963,3.782190,4.612058,4.410407,5.668098,4.351047,6.159160,4.102709
C000315,79,4,5,13,1,,5.964253,7.491445,8.051855,5.782005,7.589543,4.934129,5.704461,5.599130,6.294793,5.993895,7.269527,6.582193,6.224151,5.894365,7.442115,2.963164,7.691588,6.563916,6.143586,6.279631,8.312287,6.059178,5.629589,6.644211,8.308924,5.761190,8.363249,5.625419,7.286321,8.989205,6.255654,5.300090,4.975658,4.677885,1.973671,4.199010,5.089509,6.201295,5.457939,6.780449,5.038086,5.829592,3.110369,7.062273,2.612772,6.503392,5.301837,5.134525,5.515601,5.045044,3.288047,5.059392,3.650921,5.370644,6.304277,5.343902,5.047858,5.274175,4.831935,4.478309,4.891405,3.920562,6.284641,6.105950,4.894634,5.436550,5.922330,5.659669,5.842752,4.569530,4.733331,4.921261,4.691050,4.974277,4.928290,6.161471,5.400524,5.524098,4.003417,5.999718,4.931015,5.436893,4.883394,4.319908,5.605463,5.244562,5.985741,5.687248,4.469552,4.749753,5.341833,4.968225,3.193140,5.331124,5.812032,5.253894,3.290594,5.458951,4.704444,5.982420,9.413621,6.938415,6.953038,4.624778,6.000428,4.672072,2.648083,7.170976,4.703828,3.461000,3.127847,4.856494,3.605553,3.568724,3.469927,3.671733,3.377652,4.361126,4.317717,4.082576,4.966775,4.493437,3.916067,4.427510,5.097117,5.401531,4.360452,4.078347,3.886469,3.659387,4.180956,3.039670,5.969208,5.744189,3.647843,4.614953,5.439177,7.198987,4.028133,2.514283,6.691461,3.982187,3.104793,4.781440,6.717299,5.012408,5.368781,8.105469,5.145895,6.931148,6.539487,6.026358,4.244999,4.559304,5.210114,2.858887,4.928179,4.479068,4.314915,5.404196,4.341025,4.908873,6.569132,5.654956,5.497036,3.545416,5.125536,6.163596,4.764231,5.521265,5.598927,5.474237,5.040099,5.070647,6.292139,5.088981,5.167843,5.864181,6.978864,4.189988,5.013065,5.011325,3.241048,4.324212,5.654021,4.223509,5.468318,5.052470,5.469671,6.161769,4.268427,5.641317,5.603621,6.100491,2.594052
C000316,80,1,6,13,1,,5.981431,7.081007,6.884595,4.554762,7.525741,6.632701,3.490692,5.277813,7.271148,7.569470,6.468147,6.750169,4.210392,4.835786,7.439171,6.081000,5.456395,7.578860,4.052601,7.562092,7.864328,3.249875,4.653835,8.305610,5.061154,4.455598,6.698078,5.590122,4.722483,8.789006,5.468391,7.168321,2.013582,5.306864,6.734815,6.701175,3.120371,4.084450,5.416356,4.416537,5.073082,4.288386,4.591913,4.262277,4.226088,5.677725,4.024305,2.737340,4.886826,3.419212,8.364150,5.151334,5.597764,5.668480,7.102663,6.786116,6.594428,5.641485,4.997199,4.031608,5.133488,5.493526,6.350347,5.543146,5.244656,5.335756,5.258596,5.028373,5.113297,6.085579,5.240901,5.399090,6.206568,4.394386,4.137527,4.710169,4.890567,4.861094,5.496793,4.709379,4.073296,5.775667,5.059169,5.393954,3.021189,6.234919,4.300291,5.078124,4.289627,4.531971,4.393559,4.179253,2.877630,3.848659,4.518362,1.868041,8.058049,4.976920,3.459976,4.993905,4.212689,3.925980,3.817803,2.934861,3.581694,7.543358,6.885978,4.575430,3.185204,4.482725,2.932487,4.558097,3.564992,3.340110,4.045313,3.788770,3.500612,3.542786,4.561245,5.225141,4.762864,3.350411,3.230448,3.707440,4.075162,3.991804,3.068449,5.281473,2.864498,4.059690,4.053954,2.642889,5.401375,3.789192,5.823267,5.374939,4.235590,5.326862,4.709970,5.841657,3.603636,5.129176,4.988772,3.694880,5.942054,4.154612,7.819644,3.222902,2.977561,4.052792,6.566475,5.339097,6.640368,6.197309,5.457167,6.002318,4.933712,5.764940,5.626816,4.223503,4.464561,5.121930,6.435622,2.594091,6.826863,7.525650,5.098519,3.417910,6.217229,6.174545,6.512469,3.994299,3.557325,4.999054,4.567420,4.753276,4.668360,5.027695,4.624557,3.987229,4.297333,2.039441,3.610554,3.844918,5.425009,5.051837,3.792214,5.422070,3.044524,5.623225,4.138239,5.475965,5.685618,4.460112,5.256644
