SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,BIDIR_TAIL_L2_031,BIDIR_TAIL_L3_032,BIDIR_TAIL_L4_033,BIDIR_TAIL_L5_034,CODE_RAIL_L1_060,CODE_RAIL_L2_061,CODE_RAIL_L3_062,CODE_RAIL_L4_063,CODE_RAIL_L5_064,CONSTANT_VALUE_L1_050,CONSTANT_VALUE_L2_051,CONSTANT_VALUE_L3_052,CONSTANT_VALUE_L4_053,CONSTANT_VALUE_L5_054,EQUIPMENT_SUSPECT_L1_055,EQUIPMENT_SUSPECT_L2_056,EQUIPMENT_SUSPECT_L3_057,EQUIPMENT_SUSPECT_L4_058,EQUIPMENT_SUSPECT_L5_059,HEAVY_TAIL_L1_035,HEAVY_TAIL_L2_036,HEAVY_TAIL_L3_037,HEAVY_TAIL_L4_038,HEAVY_TAIL_L5_039,LOW_SAMPLE_UNCERTAIN_L1_070,LOW_SAMPLE_UNCERTAIN_L2_071,LOW_SAMPLE_UNCERTAIN_L3_072,LOW_SAMPLE_UNCERTAIN_L4_073,LOW_SAMPLE_UNCERTAIN_L5_074,MISSING_LIMIT_L1_065,MISSING_LIMIT_L2_066,MISSING_LIMIT_L3_067,MISSING_LIMIT_L4_068,MISSING_LIMIT_L5_069,MIX2_MEANSHIFT-OUTWARN_L1_115,MIX2_MEANSHIFT-OUTWARN_L2_116,MIX2_MEANSHIFT-OUTWARN_L3_117,MIX2_MEANSHIFT-OUTWARN_L4_118,MIX2_MEANSHIFT-OUTWARN_L5_119,MIX2_WIDE-SEVOUT_L1_105,MIX2_WIDE-SEVOUT_L2_106,MIX2_WIDE-SEVOUT_L3_107,MIX2_WIDE-SEVOUT_L4_108,MIX2_WIDE-SEVOUT_L5_109,MIX2_WIDE-SUBPOP_L1_110,MIX2_WIDE-SUBPOP_L2_111,MIX2_WIDE-SUBPOP_L3_112,MIX2_WIDE-SUBPOP_L4_113,MIX2_WIDE-SUBPOP_L5_114,SUBPOP_GAP_L1_040,SUBPOP_GAP_L2_041,SUBPOP_GAP_L3_042,SUBPOP_GAP_L4_043,SUBPOP_GAP_L5_044,TAIL_RISK_L1_045,TAIL_RISK_L2_046,TAIL_RISK_L3_047,TAIL_RISK_L4_048,TAIL_RISK_L5_049,MIX2_GROSS-WIDE_L3_172
C000010,3,3,2,-27,2,60,0.501524,0.666019,2.4687,2.57333,36,27,37,32,35,0.999915,1,1.25,1.5,1.75,1.01849,1.03605,0.926886,0.990708,1.16231,1.00687,1.02136,0.980803,0.980394,1.01711,,,,,,0.977055,0.977044,1.08869,0.935799,1.00674,0.904549,0.842947,0.765748,0.68483,0.567962,1.03488,3.21788,1.44461,0.281885,-8.50532,1.06041,1.51935,-0.112958,3.51221,-2.72096,1.05653,0.920097,0.87993,0.792253,1.28088,0.935104,1.38686,0.965973,0.887361,1.05387,0.566641
C000011,3,4,3,-27,2,60,0.391993,-0.496406,1.27682,-0.266317,28,40,20,0,38,0.999847,1,1.25,1.5,1.75,1.0068,1.02263,0.925926,0.957192,0.994761,0.867395,1.01422,0.992782,0.963085,1.04806,,,,,,1.07275,1.00111,1.05944,0.940026,1.03324,0.867858,0.833198,0.753704,0.632307,0.552153,0.919242,1.02212,0.615784,0.816261,0.603202,0.792378,0.500184,1.88195,-0.595244,6.42566,1.02054,1.1584,1.21966,1.26741,0.991223,0.812633,1.18177,0.903428,1.0199,0.947474,0.469747
C000012,4,1,4,-27,2,60,1.54613,1.71479,0.981245,11.1888,33,37,0,36,0,1.00002,1,1.25,1.5,1.75,1.01743,0.983036,1.09864,0.805273,0.998405,1.01673,1.01007,1.03885,0.96868,1.0428,,,,,,1.03439,1.03439,0.927332,1.0293,1.01013,0.923259,0.837887,0.740084,0.635793,0.605804,0.927628,0.897067,-2.03981,1.0739,-7.76353,0.991533,1.36614,2.3906,2.61832,-0.0760839,1.04891,0.91225,0.77326,0.703541,1.27267,0.698509,0.855616,1.48067,1.79138,2.03847,1.75049
C000013,4,2,5,-27,2,24,1.26727,0.636856,1.25145,-1.43911,30,37,22,27,63,0.999829,1,1.25,1.5,1.75,0.996751,1.00045,0.987484,0.94731,1.00326,1.02318,0.982562,0.933851,0.949123,0.991366,,,,,,1.01219,1.03975,0.963297,1.05275,0.954597,0.921415,0.787527,0.758485,0.68734,0.523454,0.907933,0.861816,1.11688,6.88058,2.09644,1.05982,0.304789,-0.157872,3.68452,0.178495,1.05865,0.83642,0.762159,1.21365,1.09712,1.26122,0.864121,1.31702,0.801247,0.755593,0.807519
C000014,4,3,6,-27,2,60,1.53095,-0.114707,1.71674,-0.120868,32,18,37,17,33,1.00012,1,1.25,1.5,1.75,0.993053,0.986079,1.05504,0.920218,0.810383,1.07736,0.890813,1.14078,0.934194,1.0417,,,,,,0.914598,0.972231,1.00877,1.00653,0.978094,0.883373,0.833564,0.775514,0.611463,0.55346,0.894789,1.11342,1.60207,5.37636,-0.174027,1.04799,1.43094,1.46005,-1.0528,0.50165,0.988837,0.906714,1.18771,1.27004,0.686761,0.912774,0.90542,0.892588,1.52736,2.05248,1.29243
C000015,4,4,7,-27,2,60,1.36964,2.76771,0.176889,-3.60403,34,17,30,27,63,0.999874,1,1.25,1.5,1.75,1.03459,1.10215,1.02392,1.04562,0.977765,1.0565,1.01685,1.01571,0.982841,0.919332,,,,,,0.98939,1.00332,0.977645,0.999027,0.93815,0.947453,0.778373,0.743681,0.605152,0.545729,1.02359,1.25515,0.794957,-3.609,0.00208517,1.0086,0.497231,2.47192,-1.69504,-3.89341,0.962702,1.08232,1.15584,1.31061,1.01197,0.996819,0.684318,0.719422,0.613313,0.729921,0.962954
C000016,5,1,-10,-26,2,60,-0.0189815,-0.466005,1.55625,-4.13731,28,30,32,30,0,0.999879,1,1.25,1.5,1.75,0.986902,1.01672,0.907008,0.937839,1.28007,1.13534,1.04691,1.00531,1.01679,0.939367,,,,,,0.936711,0.965925,0.957535,0.943697,1.03009,0.898093,0.797053,0.734423,0.617248,0.520949,0.836165,0.965428,0.775279,1.36449,10.814,1.14766,0.582673,2.18797,3.60887,-5.02768,1.04981,0.861683,0.825086,0.726017,1.00404,0.945113,1.0872,1.17191,1.4438,0.983278,0.621444
C000017,5,2,-9,-26,2,60,0.976999,-0.162679,-0.739518,-1.10385,33,34,43,38,28,0.99999,1,1.25,1.5,1.75,0.990464,0.936745,0.986232,1.03235,1.31242,1.01951,0.982254,1.04422,1.02097,0.953828,,,,,,0.981426,0.957637,0.999065,0.960863,1.0434,0.924757,0.879108,0.753144,0.605731,0.544651,0.849116,1.046,1.39479,-4.00043,1.30472,1.02927,0.692193,0.482114,3.84732,7.24507,1.02063,0.834443,0.772724,0.715589,0.689319,0.90166,0.903339,0.836879,0.913539,0.64542,0.673184
C000018,5,3,-8,-26,2,1,1.8218,1.62485,1.09676,-1.61786,26,35,36,0,14,0.999976,1,1.25,1.5,1.75,1.02549,0.971582,0.979353,0.9961,0.967959,1.02162,0.979983,0.981638,0.950392,1.02287,,,,,,0.97824,1.02011,1.07592,1.02374,0.923202,0.917386,0.812074,0.765967,0.679668,0.573694,1.01254,3.15656,1.30622,0.876926,1.59107,1.27367,0.593093,-0.162022,-1.01546,-6.26864,1.11079,0.890169,0.85744,1.27911,0.97961,0.933767,0.827338,0.921799,1.56648,0.813688,1.13673
C000019,5,4,-7,-26,2,60,0.917692,0.857515,0.570882,0.146438,34,30,38,15,0,0.999981,1,1.25,1.5,1.75,0.983229,0.970959,1.03486,0.9508,0.938125,1.03801,0.971166,0.975041,1.07126,0.987762,,,,,,1.04331,0.876808,0.983597,0.943388,1.04611,0.915739,0.831697,0.720139,0.644693,0.591484,0.903736,0.922488,0.821269,1.1898,0.920874,1.06968,0.587665,2.28232,3.43168,5.86723,0.983916,1.1108,1.20654,0.770189,0.610108,0.84138,0.677609,1.21375,0.863633,2.28552,0.647968
C000020,6,1,-6,-26,2,60,0.948497,1.73895,1.76095,7.32043,50,40,32,63,63,1.00009,1,1.25,1.5,1.75,0.982316,0.992244,0.998687,0.990748,1.07197,0.937241,1.03787,0.955775,0.983133,0.195165,,,,,,0.940941,1.0141,1.00602,0.980247,1.10478,0.840777,0.881286,0.800597,0.63902,0.536314,0.99776,0.940384,1.51556,1.31177,-0.134181,1.0073,0.270655,-0.00180659,3.3446,0.846524,1.03475,1.13799,1.20884,1.1755,1.39309,0.91912,0.789874,1.4069,1.55754,0.851554,1.10777
C000021,6,2,-5,-26,2,60,1.36829,0.789355,2.67928,2.02399,43,38,25,33,31,0.999968,1,1.25,1.5,1.75,1.00778,0.978498,0.954746,1.09964,0.901829,0.895042,0.912614,0.994325,1.08739,1.04419,,,,,,0.905727,0.943379,1.02641,0.972343,1.09653,0.913945,0.838724,0.779111,0.70407,0.568993,1.0701,1.32836,1.15692,1.51197,2.09601,1.12231,0.607366,-0.327278,4.49239,-5.94399,1.04152,0.840956,0.830197,0.7311,1.08912,1.15907,1.1847,1.29343,1.52949,1.00368,1.2126
C000022,6,3,-4,-26,1,,0.941187,0.439328,1.25882,1.46377,20,32,13,28,0,1.00007,1,1.25,1.5,1.75,1.00363,0.965409,1.04684,1.15428,0.975778,1.02281,1.03044,1.01321,1.05295,1.04132,,,,,,1.06102,0.939239,0.947147,0.985987,0.979816,0.894219,0.762087,0.739053,0.6559,0.577679,1.05116,1.08663,0.8309,5.48649,0.910588,1.00411,1.8015,0.0221075,-1.00992,5.99196,0.99902,0.861145,1.21159,1.21139,1.0212,1.09861,1.03449,0.786807,0.727424,1.0168,1.2306
C000023,6,4,-3,-26,2,60,1.38857,3.66196,0.914134,-4.98118,26,31,38,0,63,1.00002,1,1.25,1.5,1.75,0.964929,1.0147,1.02292,0.857888,0.914932,1.08147,0.978285,1.04669,0.950078,1.00126,,,,,,1.09261,0.94558,0.946087,1.00309,0.945796,0.894823,0.867813,0.732581,0.633326,0.529691,1.0137,1.23571,1.16919,0.998895,1.89859,0.889697,1.91027,1.82916,-1.15153,1.19134,1.02474,1.16173,1.18721,0.724619,1.32223,0.824422,1.10275,1.02238,1.46858,2.14613,0.779582
C000024,7,1,-2,-26,1,,0.762925,1.34725,1.36704,2.58111,16,30,63,43,63,1.00011,1,1.25,1.5,1.75,1.01476,0.980873,0.838493,0.907738,0.532555,0.996061,0.97057,0.963854,1.0774,1.0212,,,,,,1.01526,0.993293,0.941261,0.997988,0.974478,0.963713,0.729291,0.741386,0.688383,0.486593,0.906545,1.27401,0.16652,-4.03136,-7.5395,0.935277,1.54441,0.364977,3.82117,1.54072,1.04447,1.20346,1.21306,1.20101,1.06807,0.968894,1.06582,0.883279,1.02976,1.89602,1.07122
C000025,7,2,-1,-26,2,60,0.593475,1.14934,0.133077,3.47143,17,39,37,63,32,0.999922,1,1.25,1.5,1.75,1.00372,1.11545,0.989387,1.18388,0.675385,0.966721,0.959551,0.991903,0.989333,0.908161,,,,,,1.08221,0.979342,1.03853,0.993329,1.03293,0.916488,0.864989,0.757976,0.610192,0.568876,0.871236,1.13189,0.80503,1.27085,-6.23213,1.02535,0.394187,2.2609,-2.18344,-5.57596,1.02625,1.13131,1.16677,1.20153,1.2569,0.920707,1.24881,0.980878,1.75132,0.759647,1.04344
C000026,7,3,0,-26,1,,0.313541,0.924468,1.52512,-3.85683,30,45,32,18,0,0.999892,1,1.25,1.5,1.75,1.04907,1.03655,1.01099,1.17052,1.20612,1.06108,1.00509,1.01617,1.07056,0.943213,,,,,,1.09168,0.968405,0.963763,0.987973,1.08549,0.918784,0.838864,0.710082,0.619457,0.564526,0.855157,1.15239,0.838923,0.752023,0.311023,0.788568,1.13515,-0.390824,3.54886,6.2846,1.03027,0.816267,0.735587,0.696317,1.00819,1.27357,0.817549,1.01598,1.01122,0.980044,1.05309
C000027,7,4,1,-26,2,60,0.371262,1.4918,1.98644,-0.797196,32,39,39,63,26,0.999965,1,1.25,1.5,1.75,0.971593,1.06034,0.952747,1.0365,1.17354,1.01275,1.00618,1.08124,1.04721,0.944955,,,,,,1.04969,0.978986,0.989868,1.01883,1.07734,0.927324,0.813485,0.775224,0.632358,0.54116,0.904482,1.01886,-1.9898,6.00097,0.724729,1.20705,1.75589,0.50688,3.61598,7.09767,1.02675,0.878036,0.826588,1.24544,1.3657,0.866831,0.962932,0.638589,0.608601,2.01345,0.877156
C000028,8,1,2,-26,2,60,2.42642,0.625409,1.1249,2.30831,31,19,30,63,63,0.999848,1,1.25,1.5,1.75,0.972075,0.98025,1.02647,1.08314,0.873055,1.05902,0.986669,0.96566,1.09716,1.03154,,,,,,1.02346,0.907629,0.986687,0.977579,0.979205,0.949184,0.827794,0.719075,0.66094,0.529712,0.890495,1.1234,1.07134,5.73593,-9.17113,1.0215,1.68234,-0.226575,-0.718743,6.63806,0.89808,0.861799,0.858229,0.730334,1.01901,1.05786,0.93605,0.893661,1.13359,1.02521,0.721779
C000029,8,2,3,-26,2,60,0.822073,1.09133,-1.39492,4.07344,26,25,13,0,27,1.00002,1,1.25,1.5,1.75,1.03483,0.985259,1.02739,1.01402,0.876746,1.03074,0.908436,1.07889,0.962212,0.857726,,,,,,1.05499,1.04848,1.00195,1.06152,0.919608,0.911567,0.82133,0.798287,0.602248,0.532974,1.08972,3.24234,1.36673,-0.133085,8.26787,1.03794,0.361366,2.09024,2.82926,-6.71613,1.00611,1.1703,0.808858,0.618682,0.997705,0.931115,0.837407,1.261,0.944885,0.913839,1.13682
C000030,8,3,4,-26,2,60,1.15188,3.1665,2.42687,3.45915,17,29,30,0,25,0.999884,1,1.25,1.5,1.75,0.982844,0.967342,1.01322,1.08505,1.02163,0.931762,0.909579,1.043,1.00026,1.01827,,,,,,1.06479,1.0222,1.03053,1.02204,1.0105,0.931403,0.772659,0.75091,0.618907,0.535745,1.09709,1.19648,1.01017,-4.19593,-8.78376,1.10475,0.533819,0.166576,-1.23885,10.505,0.974314,0.763053,0.845585,1.26514,0.629613,0.936884,0.653669,1.11489,1.04853,0.740706,1.14731
C000031,8,4,5,-26,2,60,1.2285,0.620478,-1.16055,-3.68273,41,33,40,30,39,0.999877,1,1.25,1.5,1.75,0.957596,0.980509,1.02866,1.06219,1.00615,1.00501,0.861512,1.01201,1.00575,0.96876,,,,,,1.05034,1.03937,0.9571,1.02572,0.934881,0.89593,0.800582,0.766378,0.653087,0.56585,1.06145,0.938951,1.07532,-0.148459,9.51695,0.978083,1.62218,1.79534,-2.13019,0.912479,0.977813,1.11812,0.832662,0.700554,0.67308,0.722117,0.944418,0.726671,1.02816,0.877413,0.944118
C000032,9,1,6,-26,2,42,1.53082,0.483103,-0.976076,10.1658,19,0,38,63,0,0.999984,1,1.25,1.5,1.75,1.00037,1.06336,1.00234,0.87433,0.97839,1.09137,1.05238,1.30134,1.00308,1.00226,,,,,,0.950906,1.00692,0.971368,0.992056,1.09415,0.982097,0.832031,0.740238,0.598152,0.583261,0.775365,0.948866,0.513945,-3.63976,-7.06381,0.935464,0.380972,1.98958,3.71737,-1.70382,0.921401,1.14089,1.16021,1.17345,1.37177,1.26242,1.18118,0.906229,0.946277,0.897091,1.03966
C000033,9,2,7,-26,2,60,0.984729,0.64678,0.934376,2.48858,34,29,26,23,0,0.99996,1,1.25,1.5,1.75,0.999983,1.02749,1.04575,0.973123,0.991865,0.997534,1.04211,0.986164,0.945629,1.04975,,,,,,0.974198,0.977818,1.02452,0.881071,1.08293,0.911003,0.815228,0.683697,0.630517,0.567848,1.09812,1.00894,0.963304,-0.187578,-9.7236,0.928421,1.41003,-0.212616,3.30426,1.0739,0.970388,1.11303,1.15348,1.17371,0.602258,0.884167,0.682582,0.901017,1.64467,0.803499,0.756779
C000034,9,3,8,-26,2,34,0.453088,0.248674,-0.991559,1.89383,23,63,30,26,22,1.00016,1,1.25,1.5,1.75,1.01686,0.971322,1.03391,1.02626,0.985973,0.902448,0.977958,0.961556,1.01637,1.01238,,1.03722,,,,1.05212,1.03747,0.994311,0.964734,1.09549,0.916009,0.825821,0.784263,0.576844,0.529297,1.12079,0.89985,1.19408,1.31537,10.6376,1.1418,1.427,-0.0977889,2.73085,1.21068,0.997537,0.834632,0.840594,0.676305,1.10257,0.863035,1.02426,0.984661,1.13756,0.954239,1.01801
C000035,9,4,9,-26,2,60,1.05372,-0.0854227,-0.666683,5.56548,32,37,33,63,0,0.999972,1,1.25,1.5,1.75,1.02122,0.940821,1.00541,0.986527,1.28809,0.981846,1.02802,1.02548,0.96512,0.960217,,,,,,0.99524,1.06689,0.887275,1.07306,1.04335,0.949793,0.80379,0.780806,0.646218,0.561599,1.06833,0.986195,0.756819,1.07049,2.73542,0.985394,1.51073,0.00585377,3.08963,5.58214,1.02286,0.886666,1.14575,0.714057,0.96089,0.841701,1.33502,0.746451,0.918724,2.12991,1.03268
C000036,10,1,10,-26,2,60,1.05288,1.70912,0.146944,1.00736,20,32,24,63,0,0.999921,1,1.25,1.5,1.75,0.983459,1.00487,0.99828,1.06876,1.04367,0.998274,1.0085,0.956196,1.04763,0.970876,,,,,,0.947182,0.951828,1.00371,0.984941,0.870512,0.969975,0.787006,0.692563,0.379953,0.566446,0.937238,0.898686,0.684916,5.14391,-7.20929,0.835235,0.879239,2.29149,-0.830321,0.412103,0.986716,1.22531,0.790713,1.22851,0.943833,1.00588,0.9971,0.976091,0.782914,1.94228,0.838539
C000037,10,2,-12,-25,2,60,0.77986,1.21963,3.01999,-0.105388,48,41,63,63,39,0.999964,1,1.25,1.5,1.75,0.995253,0.950279,0.994534,0.999208,0.857413,0.977073,0.986105,0.926215,1.03119,1.05766,,,,,,0.926676,1.03016,0.977188,1.01187,1.04186,0.888274,0.813192,0.721239,0.654851,0.573109,0.888222,0.883873,0.894962,1.06577,10.2129,1.09666,0.401846,-0.231586,3.5829,0.833112,1.06853,0.839351,1.19004,0.709519,1.0168,0.945195,1.00705,1.59922,1.61915,0.829651,1.03686
