item,case,level,level_ko,desc,blind_by_design,fp_by_design,tno,unit,lsl,usl,before_shape,before_mean,before_stdev,before_quant,after_shape,after_mean,after_stdev,after_quant,th_cpk_low,th_stdev_delta_pct,th_alpha,th_cpk_high
SHAPE_BIMODAL_SKEW_02_L4,SHAPE_BIMODAL_SKEW,4,L4 누가 봐도 완전히 다름,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,1016,V,0.0,10.0,normal,5.0,1.0416666666666665,,bimodal_skew,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TRIMODAL_01_L1,SHAPE_TRIMODAL,1,L1 차이 거의 없음,정규 → 삼봉(사이트 혼입),1,0,1017,V,0.0,10.0,normal,5.0,1.0416666666666665,,trimodal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TRIMODAL_01_L2,SHAPE_TRIMODAL,2,L2 자세히 보면 다름,정규 → 삼봉(사이트 혼입),1,0,1018,V,0.0,10.0,normal,5.0,1.0416666666666665,,trimodal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TRIMODAL_01_L3,SHAPE_TRIMODAL,3,L3 확실히 다름,정규 → 삼봉(사이트 혼입),1,0,1019,V,0.0,10.0,normal,5.0,1.0416666666666665,,trimodal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TRIMODAL_01_L4,SHAPE_TRIMODAL,4,L4 누가 봐도 완전히 다름,정규 → 삼봉(사이트 혼입),1,0,1020,V,0.0,10.0,normal,5.0,1.0416666666666665,,trimodal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TRIMODAL_02_L1,SHAPE_TRIMODAL,1,L1 차이 거의 없음,정규 → 삼봉(사이트 혼입),1,0,1021,V,0.0,10.0,normal,5.0,1.0416666666666665,,trimodal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TRIMODAL_02_L2,SHAPE_TRIMODAL,2,L2 자세히 보면 다름,정규 → 삼봉(사이트 혼입),1,0,1022,V,0.0,10.0,normal,5.0,1.0416666666666665,,trimodal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TRIMODAL_02_L3,SHAPE_TRIMODAL,3,L3 확실히 다름,정규 → 삼봉(사이트 혼입),1,0,1023,V,0.0,10.0,normal,5.0,1.0416666666666665,,trimodal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TRIMODAL_02_L4,SHAPE_TRIMODAL,4,L4 누가 봐도 완전히 다름,정규 → 삼봉(사이트 혼입),1,0,1024,V,0.0,10.0,normal,5.0,1.0416666666666665,,trimodal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAILFLIP_01_L1,SHAPE_TAILFLIP,1,L1 차이 거의 없음,"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,0,1025,V,0.0,10.0,tail_up,5.0,1.0416666666666665,,tail_down,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAILFLIP_01_L2,SHAPE_TAILFLIP,2,L2 자세히 보면 다름,"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,0,1026,V,0.0,10.0,tail_up,5.0,1.0416666666666665,,tail_down,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAILFLIP_01_L3,SHAPE_TAILFLIP,3,L3 확실히 다름,"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,0,1027,V,0.0,10.0,tail_up,5.0,1.0416666666666665,,tail_down,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAILFLIP_01_L4,SHAPE_TAILFLIP,4,L4 누가 봐도 완전히 다름,"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,0,1028,V,0.0,10.0,tail_up,5.0,1.0416666666666665,,tail_down,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAILFLIP_02_L1,SHAPE_TAILFLIP,1,L1 차이 거의 없음,"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,0,1029,V,0.0,10.0,tail_up,5.0,1.0416666666666665,,tail_down,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAILFLIP_02_L2,SHAPE_TAILFLIP,2,L2 자세히 보면 다름,"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,0,1030,V,0.0,10.0,tail_up,5.0,1.0416666666666665,,tail_down,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAILFLIP_02_L3,SHAPE_TAILFLIP,3,L3 확실히 다름,"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,0,1031,V,0.0,10.0,tail_up,5.0,1.0416666666666665,,tail_down,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAILFLIP_02_L4,SHAPE_TAILFLIP,4,L4 누가 봐도 완전히 다름,"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,0,1032,V,0.0,10.0,tail_up,5.0,1.0416666666666665,,tail_down,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAIL_ONESIDE_01_L1,SHAPE_TAIL_ONESIDE,1,L1 차이 거의 없음,정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,0,1033,V,0.0,10.0,normal,5.0,1.0416666666666665,,tail_up,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAIL_ONESIDE_01_L2,SHAPE_TAIL_ONESIDE,2,L2 자세히 보면 다름,정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,0,1034,V,0.0,10.0,normal,5.0,1.0416666666666665,,tail_up,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAIL_ONESIDE_01_L3,SHAPE_TAIL_ONESIDE,3,L3 확실히 다름,정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,0,1035,V,0.0,10.0,normal,5.0,1.0416666666666665,,tail_up,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAIL_ONESIDE_01_L4,SHAPE_TAIL_ONESIDE,4,L4 누가 봐도 완전히 다름,정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,0,1036,V,0.0,10.0,normal,5.0,1.0416666666666665,,tail_up,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAIL_ONESIDE_02_L1,SHAPE_TAIL_ONESIDE,1,L1 차이 거의 없음,정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,0,1037,V,0.0,10.0,normal,5.0,1.0416666666666665,,tail_up,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAIL_ONESIDE_02_L2,SHAPE_TAIL_ONESIDE,2,L2 자세히 보면 다름,정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,0,1038,V,0.0,10.0,normal,5.0,1.0416666666666665,,tail_up,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAIL_ONESIDE_02_L3,SHAPE_TAIL_ONESIDE,3,L3 확실히 다름,정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,0,1039,V,0.0,10.0,normal,5.0,1.0416666666666665,,tail_up,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAIL_ONESIDE_02_L4,SHAPE_TAIL_ONESIDE,4,L4 누가 봐도 완전히 다름,정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,0,1040,V,0.0,10.0,normal,5.0,1.0416666666666665,,tail_up,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAIL_BOTH_01_L1,SHAPE_TAIL_BOTH,1,L1 차이 거의 없음,정규 → 양쪽 꼬리(몸통 수축),1,0,1041,V,0.0,10.0,normal,5.0,1.0416666666666665,,tail_both,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAIL_BOTH_01_L2,SHAPE_TAIL_BOTH,2,L2 자세히 보면 다름,정규 → 양쪽 꼬리(몸통 수축),1,0,1042,V,0.0,10.0,normal,5.0,1.0416666666666665,,tail_both,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAIL_BOTH_01_L3,SHAPE_TAIL_BOTH,3,L3 확실히 다름,정규 → 양쪽 꼬리(몸통 수축),1,0,1043,V,0.0,10.0,normal,5.0,1.0416666666666665,,tail_both,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TAIL_BOTH_01_L4,SHAPE_TAIL_BOTH,4,L4 누가 봐도 완전히 다름,정규 → 양쪽 꼬리(몸통 수축),1,0,1044,V,0.0,10.0,normal,5.0,1.0416666666666665,,tail_both,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_UNIFORM_01_L1,SHAPE_UNIFORM,1,L1 차이 거의 없음,정규 → 균등(평평한 몸통),1,0,1045,V,0.0,10.0,normal,5.0,1.0416666666666665,,uniform,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_UNIFORM_01_L2,SHAPE_UNIFORM,2,L2 자세히 보면 다름,정규 → 균등(평평한 몸통),1,0,1046,V,0.0,10.0,normal,5.0,1.0416666666666665,,uniform,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_UNIFORM_01_L3,SHAPE_UNIFORM,3,L3 확실히 다름,정규 → 균등(평평한 몸통),1,0,1047,V,0.0,10.0,normal,5.0,1.0416666666666665,,uniform,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_UNIFORM_01_L4,SHAPE_UNIFORM,4,L4 누가 봐도 완전히 다름,정규 → 균등(평평한 몸통),1,0,1048,V,0.0,10.0,normal,5.0,1.0416666666666665,,uniform,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_UNIFORM_02_L1,SHAPE_UNIFORM,1,L1 차이 거의 없음,정규 → 균등(평평한 몸통),1,0,1049,V,0.0,10.0,normal,5.0,1.0416666666666665,,uniform,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_UNIFORM_02_L2,SHAPE_UNIFORM,2,L2 자세히 보면 다름,정규 → 균등(평평한 몸통),1,0,1050,V,0.0,10.0,normal,5.0,1.0416666666666665,,uniform,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_UNIFORM_02_L3,SHAPE_UNIFORM,3,L3 확실히 다름,정규 → 균등(평평한 몸통),1,0,1051,V,0.0,10.0,normal,5.0,1.0416666666666665,,uniform,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_UNIFORM_02_L4,SHAPE_UNIFORM,4,L4 누가 봐도 완전히 다름,정규 → 균등(평평한 몸통),1,0,1052,V,0.0,10.0,normal,5.0,1.0416666666666665,,uniform,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_PLATEAU_01_L1,SHAPE_PLATEAU,1,L1 차이 거의 없음,정규 → 중앙 함몰(U 자화),1,0,1053,V,0.0,10.0,normal,5.0,1.0416666666666665,,plateau,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_PLATEAU_01_L2,SHAPE_PLATEAU,2,L2 자세히 보면 다름,정규 → 중앙 함몰(U 자화),1,0,1054,V,0.0,10.0,normal,5.0,1.0416666666666665,,plateau,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_PLATEAU_01_L3,SHAPE_PLATEAU,3,L3 확실히 다름,정규 → 중앙 함몰(U 자화),1,0,1055,V,0.0,10.0,normal,5.0,1.0416666666666665,,plateau,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_PLATEAU_01_L4,SHAPE_PLATEAU,4,L4 누가 봐도 완전히 다름,정규 → 중앙 함몰(U 자화),1,0,1056,V,0.0,10.0,normal,5.0,1.0416666666666665,,plateau,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_SKEW_R_01_L1,SHAPE_SKEW_R,1,L1 차이 거의 없음,정규 → 우왜곡(로그정규형),1,0,1057,V,0.0,10.0,normal,5.0,1.0416666666666665,,skew_right,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_SKEW_R_01_L2,SHAPE_SKEW_R,2,L2 자세히 보면 다름,정규 → 우왜곡(로그정규형),1,0,1058,V,0.0,10.0,normal,5.0,1.0416666666666665,,skew_right,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_SKEW_R_01_L3,SHAPE_SKEW_R,3,L3 확실히 다름,정규 → 우왜곡(로그정규형),1,0,1059,V,0.0,10.0,normal,5.0,1.0416666666666665,,skew_right,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_SKEW_R_01_L4,SHAPE_SKEW_R,4,L4 누가 봐도 완전히 다름,정규 → 우왜곡(로그정규형),1,0,1060,V,0.0,10.0,normal,5.0,1.0416666666666665,,skew_right,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_SKEWFLIP_01_L1,SHAPE_SKEWFLIP,1,L1 차이 거의 없음,"왜곡 방향 반전 (우→좌, μ·σ 동일)",1,0,1061,V,0.0,10.0,skew_right,5.0,1.0416666666666665,,skew_left,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_SKEWFLIP_01_L2,SHAPE_SKEWFLIP,2,L2 자세히 보면 다름,"왜곡 방향 반전 (우→좌, μ·σ 동일)",1,0,1062,V,0.0,10.0,skew_right,5.0,1.0416666666666665,,skew_left,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_SKEWFLIP_01_L3,SHAPE_SKEWFLIP,3,L3 확실히 다름,"왜곡 방향 반전 (우→좌, μ·σ 동일)",1,0,1063,V,0.0,10.0,skew_right,5.0,1.0416666666666665,,skew_left,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_SKEWFLIP_01_L4,SHAPE_SKEWFLIP,4,L4 누가 봐도 완전히 다름,"왜곡 방향 반전 (우→좌, μ·σ 동일)",1,0,1064,V,0.0,10.0,skew_right,5.0,1.0416666666666665,,skew_left,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_OUTLIER_01_L1,SHAPE_OUTLIER,1,L1 차이 거의 없음,정규 → 이탈 무리 분리,1,0,1065,V,0.0,10.0,normal,5.0,1.0416666666666665,,outlier_cluster,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_OUTLIER_01_L2,SHAPE_OUTLIER,2,L2 자세히 보면 다름,정규 → 이탈 무리 분리,1,0,1066,V,0.0,10.0,normal,5.0,1.0416666666666665,,outlier_cluster,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_OUTLIER_01_L3,SHAPE_OUTLIER,3,L3 확실히 다름,정규 → 이탈 무리 분리,1,0,1067,V,0.0,10.0,normal,5.0,1.0416666666666665,,outlier_cluster,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_OUTLIER_01_L4,SHAPE_OUTLIER,4,L4 누가 봐도 완전히 다름,정규 → 이탈 무리 분리,1,0,1068,V,0.0,10.0,normal,5.0,1.0416666666666665,,outlier_cluster,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_OUTLIER_02_L1,SHAPE_OUTLIER,1,L1 차이 거의 없음,정규 → 이탈 무리 분리,1,0,1069,V,0.0,10.0,normal,5.0,1.0416666666666665,,outlier_cluster,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_OUTLIER_02_L2,SHAPE_OUTLIER,2,L2 자세히 보면 다름,정규 → 이탈 무리 분리,1,0,1070,V,0.0,10.0,normal,5.0,1.0416666666666665,,outlier_cluster,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_OUTLIER_02_L3,SHAPE_OUTLIER,3,L3 확실히 다름,정규 → 이탈 무리 분리,1,0,1071,V,0.0,10.0,normal,5.0,1.0416666666666665,,outlier_cluster,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_OUTLIER_02_L4,SHAPE_OUTLIER,4,L4 누가 봐도 완전히 다름,정규 → 이탈 무리 분리,1,0,1072,V,0.0,10.0,normal,5.0,1.0416666666666665,,outlier_cluster,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_SPIKE_01_L1,SHAPE_SPIKE,1,L1 차이 거의 없음,정규 → 단일값 스파이크(포화·클램프),1,0,1073,V,0.0,10.0,normal,5.0,1.0416666666666665,,spike,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_SPIKE_01_L2,SHAPE_SPIKE,2,L2 자세히 보면 다름,정규 → 단일값 스파이크(포화·클램프),1,0,1074,V,0.0,10.0,normal,5.0,1.0416666666666665,,spike,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_SPIKE_01_L3,SHAPE_SPIKE,3,L3 확실히 다름,정규 → 단일값 스파이크(포화·클램프),1,0,1075,V,0.0,10.0,normal,5.0,1.0416666666666665,,spike,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_SPIKE_01_L4,SHAPE_SPIKE,4,L4 누가 봐도 완전히 다름,정규 → 단일값 스파이크(포화·클램프),1,0,1076,V,0.0,10.0,normal,5.0,1.0416666666666665,,spike,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_SPIKE_02_L1,SHAPE_SPIKE,1,L1 차이 거의 없음,정규 → 단일값 스파이크(포화·클램프),1,0,1077,V,0.0,10.0,normal,5.0,1.0416666666666665,,spike,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_SPIKE_02_L2,SHAPE_SPIKE,2,L2 자세히 보면 다름,정규 → 단일값 스파이크(포화·클램프),1,0,1078,V,0.0,10.0,normal,5.0,1.0416666666666665,,spike,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_SPIKE_02_L3,SHAPE_SPIKE,3,L3 확실히 다름,정규 → 단일값 스파이크(포화·클램프),1,0,1079,V,0.0,10.0,normal,5.0,1.0416666666666665,,spike,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_SPIKE_02_L4,SHAPE_SPIKE,4,L4 누가 봐도 완전히 다름,정규 → 단일값 스파이크(포화·클램프),1,0,1080,V,0.0,10.0,normal,5.0,1.0416666666666665,,spike,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TRUNC_01_L1,SHAPE_TRUNC,1,L1 차이 거의 없음,정규 → 한쪽 절단(벽 생성),1,0,1081,V,0.0,10.0,normal,5.0,1.0416666666666665,,truncated,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TRUNC_01_L2,SHAPE_TRUNC,2,L2 자세히 보면 다름,정규 → 한쪽 절단(벽 생성),1,0,1082,V,0.0,10.0,normal,5.0,1.0416666666666665,,truncated,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TRUNC_01_L3,SHAPE_TRUNC,3,L3 확실히 다름,정규 → 한쪽 절단(벽 생성),1,0,1083,V,0.0,10.0,normal,5.0,1.0416666666666665,,truncated,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_TRUNC_01_L4,SHAPE_TRUNC,4,L4 누가 봐도 완전히 다름,정규 → 한쪽 절단(벽 생성),1,0,1084,V,0.0,10.0,normal,5.0,1.0416666666666665,,truncated,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
DISC_GRAIN_01_L1,DISC_GRAIN,1,L1 차이 거의 없음,"이산 격자가 굵어짐 (해상도 저하, μ·σ 동일)",1,0,1085,V,0.0,10.0,granular,5.0,1.0416666666666665,0.26041666666666663,granular,5.0,1.0416666666666665,0.26041666666666663,1.33,15.0,0.05,100.0
DISC_GRAIN_01_L2,DISC_GRAIN,2,L2 자세히 보면 다름,"이산 격자가 굵어짐 (해상도 저하, μ·σ 동일)",1,0,1086,V,0.0,10.0,granular,5.0,1.0416666666666665,0.26041666666666663,granular,5.0,1.0416666666666665,0.5208333333333333,1.33,15.0,0.05,100.0
DISC_GRAIN_01_L3,DISC_GRAIN,3,L3 확실히 다름,"이산 격자가 굵어짐 (해상도 저하, μ·σ 동일)",1,0,1087,V,0.0,10.0,granular,5.0,1.0416666666666665,0.26041666666666663,granular,5.0,1.0416666666666665,1.0416666666666665,1.33,15.0,0.05,100.0
DISC_GRAIN_01_L4,DISC_GRAIN,4,L4 누가 봐도 완전히 다름,"이산 격자가 굵어짐 (해상도 저하, μ·σ 동일)",1,0,1088,V,0.0,10.0,granular,5.0,1.0416666666666665,0.26041666666666663,granular,5.0,1.0416666666666665,2.083333333333333,1.33,15.0,0.05,100.0
DISC_GRAIN_02_L1,DISC_GRAIN,1,L1 차이 거의 없음,"이산 격자가 굵어짐 (해상도 저하, μ·σ 동일)",1,0,1089,V,0.0,10.0,granular,5.0,1.0416666666666665,0.26041666666666663,granular,5.0,1.0416666666666665,0.26041666666666663,1.33,15.0,0.05,100.0
DISC_GRAIN_02_L2,DISC_GRAIN,2,L2 자세히 보면 다름,"이산 격자가 굵어짐 (해상도 저하, μ·σ 동일)",1,0,1090,V,0.0,10.0,granular,5.0,1.0416666666666665,0.26041666666666663,granular,5.0,1.0416666666666665,0.5208333333333333,1.33,15.0,0.05,100.0
DISC_GRAIN_02_L3,DISC_GRAIN,3,L3 확실히 다름,"이산 격자가 굵어짐 (해상도 저하, μ·σ 동일)",1,0,1091,V,0.0,10.0,granular,5.0,1.0416666666666665,0.26041666666666663,granular,5.0,1.0416666666666665,1.0416666666666665,1.33,15.0,0.05,100.0
DISC_GRAIN_02_L4,DISC_GRAIN,4,L4 누가 봐도 완전히 다름,"이산 격자가 굵어짐 (해상도 저하, μ·σ 동일)",1,0,1092,V,0.0,10.0,granular,5.0,1.0416666666666665,0.26041666666666663,granular,5.0,1.0416666666666665,2.083333333333333,1.33,15.0,0.05,100.0
DISC_TO_CONT_01_L1,DISC_TO_CONT,1,L1 차이 거의 없음,이산 → 연속 (계측 방식 변경),1,0,1093,V,0.0,10.0,normal,5.0,1.0416666666666665,0.26041666666666663,normal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
DISC_TO_CONT_01_L2,DISC_TO_CONT,2,L2 자세히 보면 다름,이산 → 연속 (계측 방식 변경),1,0,1094,V,0.0,10.0,normal,5.0,1.0416666666666665,0.5208333333333333,normal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
DISC_TO_CONT_01_L3,DISC_TO_CONT,3,L3 확실히 다름,이산 → 연속 (계측 방식 변경),1,0,1095,V,0.0,10.0,normal,5.0,1.0416666666666665,1.0416666666666665,normal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
DISC_TO_CONT_01_L4,DISC_TO_CONT,4,L4 누가 봐도 완전히 다름,이산 → 연속 (계측 방식 변경),1,0,1096,V,0.0,10.0,normal,5.0,1.0416666666666665,2.083333333333333,normal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
DISC_BIMODAL_01_L1,DISC_BIMODAL,1,L1 차이 거의 없음,이산 정규 → 이산 쌍봉,1,0,1097,V,0.0,10.0,normal,5.0,1.0416666666666665,0.5208333333333333,bimodal,5.0,1.0416666666666665,0.5208333333333333,1.33,15.0,0.05,100.0
