item,group,shape,level,level_ko,tno,unit,before_lsl,before_usl,after_lsl,after_usl,target_before_mean,target_before_stdev,target_after_mean,target_after_stdev,expect_focus,expect_reason,th_cpk_low,th_stdev_delta_pct,th_alpha,th_cpk_high
MEAN_SHIFT_07_L2,shape,mean_shift,2,검출(임계 소폭 초과),1207,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,6.125,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_07_L3,shape,mean_shift,3,심하게 검출,1307,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,7.34375,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_08_L1,shape,mean_shift,1,차이 거의 없음(미검출),1108,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.2,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
MEAN_SHIFT_08_L2,shape,mean_shift,2,검출(임계 소폭 초과),1208,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,6.125,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_08_L3,shape,mean_shift,3,심하게 검출,1308,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,7.34375,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_09_L1,shape,mean_shift,1,차이 거의 없음(미검출),1109,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.2,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
MEAN_SHIFT_09_L2,shape,mean_shift,2,검출(임계 소폭 초과),1209,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,6.125,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_09_L3,shape,mean_shift,3,심하게 검출,1309,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,7.34375,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_10_L1,shape,mean_shift,1,차이 거의 없음(미검출),1110,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.2,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
MEAN_SHIFT_10_L2,shape,mean_shift,2,검출(임계 소폭 초과),1210,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,6.125,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_10_L3,shape,mean_shift,3,심하게 검출,1310,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,7.34375,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
SIGMA_UP_01_L1,shape,sigma_up,1,차이 거의 없음(미검출),2101,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.1041666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_UP_01_L2,shape,sigma_up,2,검출(임계 소폭 초과),2201,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_01_L3,shape,sigma_up,3,심하게 검출,2301,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6666666666666665,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_02_L1,shape,sigma_up,1,차이 거의 없음(미검출),2102,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.1041666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_UP_02_L2,shape,sigma_up,2,검출(임계 소폭 초과),2202,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_02_L3,shape,sigma_up,3,심하게 검출,2302,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6666666666666665,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_03_L1,shape,sigma_up,1,차이 거의 없음(미검출),2103,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.1041666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_UP_03_L2,shape,sigma_up,2,검출(임계 소폭 초과),2203,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_03_L3,shape,sigma_up,3,심하게 검출,2303,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6666666666666665,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_04_L1,shape,sigma_up,1,차이 거의 없음(미검출),2104,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.1041666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_UP_04_L2,shape,sigma_up,2,검출(임계 소폭 초과),2204,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_04_L3,shape,sigma_up,3,심하게 검출,2304,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6666666666666665,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_05_L1,shape,sigma_up,1,차이 거의 없음(미검출),2105,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.1041666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_UP_05_L2,shape,sigma_up,2,검출(임계 소폭 초과),2205,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_05_L3,shape,sigma_up,3,심하게 검출,2305,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6666666666666665,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_06_L1,shape,sigma_up,1,차이 거의 없음(미검출),2106,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.1041666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_UP_06_L2,shape,sigma_up,2,검출(임계 소폭 초과),2206,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_06_L3,shape,sigma_up,3,심하게 검출,2306,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6666666666666665,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_07_L1,shape,sigma_up,1,차이 거의 없음(미검출),2107,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.1041666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_UP_07_L2,shape,sigma_up,2,검출(임계 소폭 초과),2207,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_07_L3,shape,sigma_up,3,심하게 검출,2307,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6666666666666665,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_08_L1,shape,sigma_up,1,차이 거의 없음(미검출),2108,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.1041666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_UP_08_L2,shape,sigma_up,2,검출(임계 소폭 초과),2208,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_08_L3,shape,sigma_up,3,심하게 검출,2308,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6666666666666665,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_09_L1,shape,sigma_up,1,차이 거의 없음(미검출),2109,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.1041666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_UP_09_L2,shape,sigma_up,2,검출(임계 소폭 초과),2209,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_09_L3,shape,sigma_up,3,심하게 검출,2309,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6666666666666665,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_10_L1,shape,sigma_up,1,차이 거의 없음(미검출),2110,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.1041666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_UP_10_L2,shape,sigma_up,2,검출(임계 소폭 초과),2210,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
SIGMA_UP_10_L3,shape,sigma_up,3,심하게 검출,2310,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6666666666666665,1,stdev,1.33,15.0,0.05,100.0
SIGMA_DOWN_01_L1,shape,sigma_down,1,차이 거의 없음(미검출),3101,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.9791666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_DOWN_01_L2,shape,sigma_down,2,검출(임계 소폭 초과),3201,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.8437499999999999,1,stdev,1.33,15.0,0.05,100.0
SIGMA_DOWN_01_L3,shape,sigma_down,3,심하게 검출,3301,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.5729166666666666,1,stdev,1.33,15.0,0.05,100.0
SIGMA_DOWN_02_L1,shape,sigma_down,1,차이 거의 없음(미검출),3102,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.9791666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_DOWN_02_L2,shape,sigma_down,2,검출(임계 소폭 초과),3202,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.8437499999999999,1,stdev,1.33,15.0,0.05,100.0
SIGMA_DOWN_02_L3,shape,sigma_down,3,심하게 검출,3302,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.5729166666666666,1,stdev,1.33,15.0,0.05,100.0
SIGMA_DOWN_03_L1,shape,sigma_down,1,차이 거의 없음(미검출),3103,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.9791666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_DOWN_03_L2,shape,sigma_down,2,검출(임계 소폭 초과),3203,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.8437499999999999,1,stdev,1.33,15.0,0.05,100.0
SIGMA_DOWN_03_L3,shape,sigma_down,3,심하게 검출,3303,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.5729166666666666,1,stdev,1.33,15.0,0.05,100.0
SIGMA_DOWN_04_L1,shape,sigma_down,1,차이 거의 없음(미검출),3104,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.9791666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_DOWN_04_L2,shape,sigma_down,2,검출(임계 소폭 초과),3204,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.8437499999999999,1,stdev,1.33,15.0,0.05,100.0
SIGMA_DOWN_04_L3,shape,sigma_down,3,심하게 검출,3304,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.5729166666666666,1,stdev,1.33,15.0,0.05,100.0
SIGMA_DOWN_05_L1,shape,sigma_down,1,차이 거의 없음(미검출),3105,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.9791666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_DOWN_05_L2,shape,sigma_down,2,검출(임계 소폭 초과),3205,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.8437499999999999,1,stdev,1.33,15.0,0.05,100.0
SIGMA_DOWN_05_L3,shape,sigma_down,3,심하게 검출,3305,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.5729166666666666,1,stdev,1.33,15.0,0.05,100.0
SIGMA_DOWN_06_L1,shape,sigma_down,1,차이 거의 없음(미검출),3106,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.9791666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_DOWN_06_L2,shape,sigma_down,2,검출(임계 소폭 초과),3206,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.8437499999999999,1,stdev,1.33,15.0,0.05,100.0
SIGMA_DOWN_06_L3,shape,sigma_down,3,심하게 검출,3306,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.5729166666666666,1,stdev,1.33,15.0,0.05,100.0
SIGMA_DOWN_07_L1,shape,sigma_down,1,차이 거의 없음(미검출),3107,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.9791666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_DOWN_07_L2,shape,sigma_down,2,검출(임계 소폭 초과),3207,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.8437499999999999,1,stdev,1.33,15.0,0.05,100.0
SIGMA_DOWN_07_L3,shape,sigma_down,3,심하게 검출,3307,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.5729166666666666,1,stdev,1.33,15.0,0.05,100.0
SIGMA_DOWN_08_L1,shape,sigma_down,1,차이 거의 없음(미검출),3108,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.9791666666666665,0,none,1.33,15.0,0.05,100.0
SIGMA_DOWN_08_L2,shape,sigma_down,2,검출(임계 소폭 초과),3208,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.8437499999999999,1,stdev,1.33,15.0,0.05,100.0
SIGMA_DOWN_08_L3,shape,sigma_down,3,심하게 검출,3308,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,0.5729166666666666,1,stdev,1.33,15.0,0.05,100.0
TAIL_01_L1,shape,tail,1,차이 거의 없음(미검출),4101,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.09375,0,none,1.33,15.0,0.05,100.0
TAIL_01_L2,shape,tail,2,검출(임계 소폭 초과),4201,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
TAIL_01_L3,shape,tail,3,심하게 검출,4301,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6145833333333333,1,stdev,1.33,15.0,0.05,100.0
TAIL_02_L1,shape,tail,1,차이 거의 없음(미검출),4102,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.09375,0,none,1.33,15.0,0.05,100.0
TAIL_02_L2,shape,tail,2,검출(임계 소폭 초과),4202,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
TAIL_02_L3,shape,tail,3,심하게 검출,4302,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6145833333333333,1,stdev,1.33,15.0,0.05,100.0
TAIL_03_L1,shape,tail,1,차이 거의 없음(미검출),4103,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.09375,0,none,1.33,15.0,0.05,100.0
TAIL_03_L2,shape,tail,2,검출(임계 소폭 초과),4203,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
TAIL_03_L3,shape,tail,3,심하게 검출,4303,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6145833333333333,1,stdev,1.33,15.0,0.05,100.0
TAIL_04_L1,shape,tail,1,차이 거의 없음(미검출),4104,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.09375,0,none,1.33,15.0,0.05,100.0
TAIL_04_L2,shape,tail,2,검출(임계 소폭 초과),4204,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
TAIL_04_L3,shape,tail,3,심하게 검출,4304,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6145833333333333,1,stdev,1.33,15.0,0.05,100.0
TAIL_05_L1,shape,tail,1,차이 거의 없음(미검출),4105,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.09375,0,none,1.33,15.0,0.05,100.0
TAIL_05_L2,shape,tail,2,검출(임계 소폭 초과),4205,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
TAIL_05_L3,shape,tail,3,심하게 검출,4305,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6145833333333333,1,stdev,1.33,15.0,0.05,100.0
TAIL_06_L1,shape,tail,1,차이 거의 없음(미검출),4106,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.09375,0,none,1.33,15.0,0.05,100.0
TAIL_06_L2,shape,tail,2,검출(임계 소폭 초과),4206,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
TAIL_06_L3,shape,tail,3,심하게 검출,4306,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6145833333333333,1,stdev,1.33,15.0,0.05,100.0
TAIL_07_L1,shape,tail,1,차이 거의 없음(미검출),4107,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.09375,0,none,1.33,15.0,0.05,100.0
TAIL_07_L2,shape,tail,2,검출(임계 소폭 초과),4207,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
TAIL_07_L3,shape,tail,3,심하게 검출,4307,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6145833333333333,1,stdev,1.33,15.0,0.05,100.0
TAIL_08_L1,shape,tail,1,차이 거의 없음(미검출),4108,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.09375,0,none,1.33,15.0,0.05,100.0
TAIL_08_L2,shape,tail,2,검출(임계 소폭 초과),4208,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
TAIL_08_L3,shape,tail,3,심하게 검출,4308,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6145833333333333,1,stdev,1.33,15.0,0.05,100.0
BIMODAL_01_L1,shape,bimodal,1,차이 거의 없음(미검출),5101,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.09375,0,none,1.33,15.0,0.05,100.0
BIMODAL_01_L2,shape,bimodal,2,검출(임계 소폭 초과),5201,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
BIMODAL_01_L3,shape,bimodal,3,심하게 검출,5301,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6145833333333333,1,stdev,1.33,15.0,0.05,100.0
BIMODAL_02_L1,shape,bimodal,1,차이 거의 없음(미검출),5102,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.09375,0,none,1.33,15.0,0.05,100.0
BIMODAL_02_L2,shape,bimodal,2,검출(임계 소폭 초과),5202,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
BIMODAL_02_L3,shape,bimodal,3,심하게 검출,5302,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6145833333333333,1,stdev,1.33,15.0,0.05,100.0
BIMODAL_03_L1,shape,bimodal,1,차이 거의 없음(미검출),5103,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.09375,0,none,1.33,15.0,0.05,100.0
BIMODAL_03_L2,shape,bimodal,2,검출(임계 소폭 초과),5203,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
BIMODAL_03_L3,shape,bimodal,3,심하게 검출,5303,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6145833333333333,1,stdev,1.33,15.0,0.05,100.0
BIMODAL_04_L1,shape,bimodal,1,차이 거의 없음(미검출),5104,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.09375,0,none,1.33,15.0,0.05,100.0
BIMODAL_04_L2,shape,bimodal,2,검출(임계 소폭 초과),5204,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
BIMODAL_04_L3,shape,bimodal,3,심하게 검출,5304,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6145833333333333,1,stdev,1.33,15.0,0.05,100.0
BIMODAL_05_L1,shape,bimodal,1,차이 거의 없음(미검출),5105,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.09375,0,none,1.33,15.0,0.05,100.0
BIMODAL_05_L2,shape,bimodal,2,검출(임계 소폭 초과),5205,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
BIMODAL_05_L3,shape,bimodal,3,심하게 검출,5305,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6145833333333333,1,stdev,1.33,15.0,0.05,100.0
BIMODAL_06_L1,shape,bimodal,1,차이 거의 없음(미검출),5106,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.09375,0,none,1.33,15.0,0.05,100.0
BIMODAL_06_L2,shape,bimodal,2,검출(임계 소폭 초과),5206,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
BIMODAL_06_L3,shape,bimodal,3,심하게 검출,5306,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6145833333333333,1,stdev,1.33,15.0,0.05,100.0
BIMODAL_07_L1,shape,bimodal,1,차이 거의 없음(미검출),5107,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.09375,0,none,1.33,15.0,0.05,100.0
BIMODAL_07_L2,shape,bimodal,2,검출(임계 소폭 초과),5207,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
BIMODAL_07_L3,shape,bimodal,3,심하게 검출,5307,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6145833333333333,1,stdev,1.33,15.0,0.05,100.0
BIMODAL_08_L1,shape,bimodal,1,차이 거의 없음(미검출),5108,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.09375,0,none,1.33,15.0,0.05,100.0
BIMODAL_08_L2,shape,bimodal,2,검출(임계 소폭 초과),5208,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.239583333333333,1,stdev,1.33,15.0,0.05,100.0
BIMODAL_08_L3,shape,bimodal,3,심하게 검출,5308,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.6145833333333333,1,stdev,1.33,15.0,0.05,100.0
LOW_CPK_01_L1,shape,low_cpk,1,차이 거의 없음(미검출),6101,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.1724137931034484,0,none,1.33,15.0,0.05,100.0
