item,source,wafer,group,level,level_ko,intent,expect,unit,lsl,usl,bin,metric,target,actual_metric,threshold,n_dut,fail_count,yield,note
NORMAL_046_410,4,5,normal,1,정상범위(미발화),,not_fire,ma,0.5,1.5,2,spread_norm,0.0783,0.0784,0.18,2453,14,0.9943,발화 0건 기대(오탐 검사)
NORMAL_049_413,4,5,normal,1,정상범위(미발화),,not_fire,ms,0.5,1.5,3,spread_norm,0.0598,0.0583,0.18,2453,20,0.9918,발화 0건 기대(오탐 검사)
NORMAL_050_414,4,5,normal,1,정상범위(미발화),,not_fire,CODE,0.5,1.5,4,spread_norm,0.052,0.0517,0.18,2453,14,0.9943,발화 0건 기대(오탐 검사)
NORMAL_052_416,4,5,normal,1,정상범위(미발화),,not_fire,v,0.5,1.5,3,spread_norm,0.0621,0.0625,0.18,2453,13,0.9947,발화 0건 기대(오탐 검사)
OUTLIER_WARN_L1_010,4,5,single,1,정상범위(미발화),OUTLIER_WARN,not_fire,V,0.5,1.5,2,outlier_ratio,0.0,0.0,0.02,2453,12,0.9951,
OUTLIER_WARN_L2_011,4,5,single,2,임계값 소폭 초과,OUTLIER_WARN,fire,V,0.5,1.5,2,outlier_ratio,0.022,0.022,0.02,2453,12,0.9951,
OUTLIER_WARN_L3_012,4,5,single,3,초과,OUTLIER_WARN,fire,V,0.5,1.5,2,outlier_ratio,0.03,0.0302,0.02,2453,12,0.9951,
OUTLIER_WARN_L4_013,4,5,single,4,크게 초과,OUTLIER_WARN,fire,V,0.5,1.5,2,outlier_ratio,0.04,0.04,0.02,2453,12,0.9951,
OUTLIER_WARN_L5_014,4,5,single,5,심각,OUTLIER_WARN,fire,V,0.5,1.5,2,outlier_ratio,0.048,0.0481,0.02,2453,12,0.9951,
SEVERE_OUTLIER_L1_005,4,5,single,1,정상범위(미발화),SEVERE_OUTLIER,not_fire,V,0.5,1.5,2,outlier_ratio,0.0,0.0,0.02,2453,12,0.9951,
SEVERE_OUTLIER_L2_006,4,5,single,2,임계값 소폭 초과,SEVERE_OUTLIER,fire,V,0.5,1.5,2,outlier_ratio,0.06,0.0599,0.02,2453,12,0.9951,
SEVERE_OUTLIER_L3_007,4,5,single,3,초과,SEVERE_OUTLIER,fire,V,0.5,1.5,2,outlier_ratio,0.1,0.0999,0.02,2453,12,0.9951,
SEVERE_OUTLIER_L4_008,4,5,single,4,크게 초과,SEVERE_OUTLIER,fire,V,0.5,1.5,2,outlier_ratio,0.2,0.2002,0.02,2453,12,0.9951,
SEVERE_OUTLIER_L5_009,4,5,single,5,심각,SEVERE_OUTLIER,fire,V,0.5,1.5,2,outlier_ratio,0.33,0.3274,0.02,2453,12,0.9951,
SPEC_TOO_TIGHT_L1_015,4,5,single,1,정상범위(미발화),SPEC_TOO_TIGHT,not_fire,V,0.5,1.5,2,spread_norm,0.1,0.1,0.18,2453,12,0.9951,
SPEC_TOO_TIGHT_L2_016,4,5,single,2,임계값 소폭 초과,SPEC_TOO_TIGHT,fire,V,0.5,1.5,2,spread_norm,0.13,0.13,0.18,2453,12,0.9951,
SPEC_TOO_TIGHT_L3_017,4,5,single,3,초과,SPEC_TOO_TIGHT,fire,V,0.5,1.5,2,spread_norm,0.15,0.15,0.18,2453,12,0.9951,
SPEC_TOO_TIGHT_L4_018,4,5,single,4,크게 초과,SPEC_TOO_TIGHT,fire,V,0.5,1.5,2,spread_norm,0.168,0.168,0.18,2453,12,0.9951,
SPEC_TOO_TIGHT_L5_019,4,5,single,5,심각,SPEC_TOO_TIGHT,fire,V,0.5,1.5,2,spread_norm,0.175,0.175,0.18,2453,12,0.9951,
WIDE_DISTRIBUTION_L1_000,4,5,single,1,정상범위(미발화),WIDE_DISTRIBUTION,not_fire,V,0.5,1.5,2,spread_norm,0.11,0.1109,0.18,2453,12,0.9951,
WIDE_DISTRIBUTION_L2_001,4,5,single,2,임계값 소폭 초과,WIDE_DISTRIBUTION,fire,V,0.5,1.5,2,spread_norm,0.2,0.1959,0.18,2453,12,0.9951,
WIDE_DISTRIBUTION_L3_002,4,5,single,3,초과,WIDE_DISTRIBUTION,fire,V,0.5,1.5,2,spread_norm,0.3,0.2982,0.18,2453,12,0.9951,
WIDE_DISTRIBUTION_L4_003,4,5,single,4,크게 초과,WIDE_DISTRIBUTION,fire,V,0.5,1.5,2,spread_norm,0.5,0.4999,0.18,2453,12,0.9951,
WIDE_DISTRIBUTION_L5_004,4,5,single,5,심각,WIDE_DISTRIBUTION,fire,V,0.5,1.5,2,spread_norm,0.9,0.9167,0.18,2453,12,0.9951,
GROSS_FAIL_L3_102,4,5,single,3,초과,GROSS_FAIL,fire,V,0.5,1.5,2,yield,0.35,0.3502,0.5,2453,1594,0.3502,
BIDIR_TAIL_L2_031,5,6,single,2,임계값 소폭 초과,BIDIR_TAIL,fire,V,0.5,1.5,2,spec_margin_min,0.9,0.8923,1.0,2453,12,0.9951,
BIDIR_TAIL_L3_032,5,6,single,3,초과,BIDIR_TAIL,fire,V,0.5,1.5,2,spec_margin_min,0.6,0.5867,1.0,2453,12,0.9951,
BIDIR_TAIL_L4_033,5,6,single,4,크게 초과,BIDIR_TAIL,fire,V,0.5,1.5,2,spec_margin_min,0.35,0.3441,1.0,2453,12,0.9951,
BIDIR_TAIL_L5_034,5,6,single,5,심각,BIDIR_TAIL,fire,V,0.5,1.5,2,spec_margin_min,0.15,0.1281,1.0,2453,12,0.9951,
CODE_RAIL_L1_060,5,6,single,1,정상범위(미발화),CODE_RAIL,not_fire,CODE,0.0,63.0,2,code_edge_hit,0.02,0.02,0.05,2453,12,0.9951,
CODE_RAIL_L2_061,5,6,single,2,임계값 소폭 초과,CODE_RAIL,fire,CODE,0.0,63.0,2,code_edge_hit,0.07,0.0701,0.05,2453,12,0.9951,
CODE_RAIL_L3_062,5,6,single,3,초과,CODE_RAIL,fire,CODE,0.0,63.0,2,code_edge_hit,0.15,0.15,0.05,2453,12,0.9951,
CODE_RAIL_L4_063,5,6,single,4,크게 초과,CODE_RAIL,fire,CODE,0.0,63.0,2,code_edge_hit,0.35,0.3502,0.05,2453,12,0.9951,
CODE_RAIL_L5_064,5,6,single,5,심각,CODE_RAIL,fire,CODE,0.0,63.0,2,code_edge_hit,0.6,0.6001,0.05,2453,12,0.9951,
CONSTANT_VALUE_L1_050,5,6,single,1,정상범위(미발화),CONSTANT_VALUE,not_fire,V,0.5,1.5,2,stdev,0.0,0.0001,,2453,12,0.9951,
CONSTANT_VALUE_L2_051,5,6,single,2,임계값 소폭 초과,CONSTANT_VALUE,fire,V,0.5,1.5,2,stdev,0.0,0.0,,2453,12,0.9951,
CONSTANT_VALUE_L3_052,5,6,single,3,초과,CONSTANT_VALUE,fire,V,0.5,1.5,2,stdev,0.0,0.0,,2453,12,0.9951,
CONSTANT_VALUE_L4_053,5,6,single,4,크게 초과,CONSTANT_VALUE,fire,V,0.5,1.5,2,stdev,0.0,0.0,,2453,12,0.9951,
CONSTANT_VALUE_L5_054,5,6,single,5,심각,CONSTANT_VALUE,fire,V,0.5,1.5,2,stdev,0.0,0.0,,2453,12,0.9951,
EQUIPMENT_SUSPECT_L1_055,5,6,single,1,정상범위(미발화),EQUIPMENT_SUSPECT,not_fire,V,0.5,1.5,2,site_cpk_delta,0.2,,0.5,2453,12,0.9951,raw_df 경로는 site 를 항상 None 으로 채운다(ingest._ingest_raw_df) → site_cpk_delta 가 영구 None
EQUIPMENT_SUSPECT_L2_056,5,6,single,2,임계값 소폭 초과,EQUIPMENT_SUSPECT,fire,V,0.5,1.5,2,site_cpk_delta,0.6,,0.5,2453,12,0.9951,raw_df 경로는 site 를 항상 None 으로 채운다(ingest._ingest_raw_df) → site_cpk_delta 가 영구 None
EQUIPMENT_SUSPECT_L3_057,5,6,single,3,초과,EQUIPMENT_SUSPECT,fire,V,0.5,1.5,2,site_cpk_delta,1.0,,0.5,2453,12,0.9951,raw_df 경로는 site 를 항상 None 으로 채운다(ingest._ingest_raw_df) → site_cpk_delta 가 영구 None
EQUIPMENT_SUSPECT_L4_058,5,6,single,4,크게 초과,EQUIPMENT_SUSPECT,fire,V,0.5,1.5,2,site_cpk_delta,2.0,,0.5,2453,12,0.9951,raw_df 경로는 site 를 항상 None 으로 채운다(ingest._ingest_raw_df) → site_cpk_delta 가 영구 None
EQUIPMENT_SUSPECT_L5_059,5,6,single,5,심각,EQUIPMENT_SUSPECT,fire,V,0.5,1.5,2,site_cpk_delta,4.0,,0.5,2453,12,0.9951,raw_df 경로는 site 를 항상 None 으로 채운다(ingest._ingest_raw_df) → site_cpk_delta 가 영구 None
HEAVY_TAIL_L1_035,5,6,single,1,정상범위(미발화),HEAVY_TAIL,not_fire,V,0.5,1.5,2,kurtosis,1.0,1.0,2.0,2453,12,0.9951,
HEAVY_TAIL_L2_036,5,6,single,2,임계값 소폭 초과,HEAVY_TAIL,fire,V,0.5,1.5,2,kurtosis,2.5,2.5,2.0,2453,12,0.9951,
HEAVY_TAIL_L3_037,5,6,single,3,초과,HEAVY_TAIL,fire,V,0.5,1.5,2,kurtosis,5.0,5.0,2.0,2453,12,0.9951,
HEAVY_TAIL_L4_038,5,6,single,4,크게 초과,HEAVY_TAIL,fire,V,0.5,1.5,2,kurtosis,15.0,15.0,2.0,2453,12,0.9951,
HEAVY_TAIL_L5_039,5,6,single,5,심각,HEAVY_TAIL,fire,V,0.5,1.5,2,kurtosis,40.0,40.0,2.0,2453,12,0.9951,
LOW_SAMPLE_UNCERTAIN_L1_070,5,6,single,1,정상범위(미발화),LOW_SAMPLE_UNCERTAIN,not_fire,V,0.5,1.5,2,n_dut,40,40,20,40,12,0.9951,
LOW_SAMPLE_UNCERTAIN_L2_071,5,6,single,2,임계값 소폭 초과,LOW_SAMPLE_UNCERTAIN,fire,V,0.5,1.5,2,n_dut,19,19,20,19,12,0.9951,
LOW_SAMPLE_UNCERTAIN_L3_072,5,6,single,3,초과,LOW_SAMPLE_UNCERTAIN,fire,V,0.5,1.5,2,n_dut,12,12,20,12,12,0.9951,
LOW_SAMPLE_UNCERTAIN_L4_073,5,6,single,4,크게 초과,LOW_SAMPLE_UNCERTAIN,fire,V,0.5,1.5,2,n_dut,6,6,20,6,12,0.9951,
LOW_SAMPLE_UNCERTAIN_L5_074,5,6,single,5,심각,LOW_SAMPLE_UNCERTAIN,fire,V,0.5,1.5,2,n_dut,2,2,20,2,12,0.9951,
MISSING_LIMIT_L1_065,5,6,single,1,정상범위(미발화),MISSING_LIMIT,not_fire,V,0.5,1.5,2,limit_missing,0,0,,2453,12,0.9951,
MISSING_LIMIT_L2_066,5,6,single,2,임계값 소폭 초과,MISSING_LIMIT,fire,V,0.5,,2,limit_missing,1,1,,2453,12,0.9951,
MISSING_LIMIT_L3_067,5,6,single,3,초과,MISSING_LIMIT,fire,V,,1.5,2,limit_missing,1,1,,2453,12,0.9951,
MISSING_LIMIT_L4_068,5,6,single,4,크게 초과,MISSING_LIMIT,fire,V,,,2,limit_missing,1,1,,2453,12,0.9951,
MISSING_LIMIT_L5_069,5,6,single,5,심각,MISSING_LIMIT,fire,,,,2,limit_missing,1,1,,2453,12,0.9951,
MIX2_MEANSHIFT-OUTWARN_L1_115,5,6,combo,1,정상범위(미발화),MEAN_SHIFT;OUTLIER_WARN,not_fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_MEANSHIFT-OUTWARN_L2_116,5,6,combo,2,임계값 소폭 초과,MEAN_SHIFT;OUTLIER_WARN,fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_MEANSHIFT-OUTWARN_L3_117,5,6,combo,3,초과,MEAN_SHIFT;OUTLIER_WARN,fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_MEANSHIFT-OUTWARN_L4_118,5,6,combo,4,크게 초과,MEAN_SHIFT;OUTLIER_WARN,fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_MEANSHIFT-OUTWARN_L5_119,5,6,combo,5,심각,MEAN_SHIFT;OUTLIER_WARN,fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_WIDE-SEVOUT_L1_105,5,6,combo,1,정상범위(미발화),WIDE_DISTRIBUTION;SEVERE_OUTLIER,not_fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_WIDE-SEVOUT_L2_106,5,6,combo,2,임계값 소폭 초과,WIDE_DISTRIBUTION;SEVERE_OUTLIER,fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_WIDE-SEVOUT_L3_107,5,6,combo,3,초과,WIDE_DISTRIBUTION;SEVERE_OUTLIER,fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_WIDE-SEVOUT_L4_108,5,6,combo,4,크게 초과,WIDE_DISTRIBUTION;SEVERE_OUTLIER,fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_WIDE-SEVOUT_L5_109,5,6,combo,5,심각,WIDE_DISTRIBUTION;SEVERE_OUTLIER,fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_WIDE-SUBPOP_L1_110,5,6,combo,1,정상범위(미발화),WIDE_DISTRIBUTION;SUBPOP_GAP,not_fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_WIDE-SUBPOP_L2_111,5,6,combo,2,임계값 소폭 초과,WIDE_DISTRIBUTION;SUBPOP_GAP,fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_WIDE-SUBPOP_L3_112,5,6,combo,3,초과,WIDE_DISTRIBUTION;SUBPOP_GAP,fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_WIDE-SUBPOP_L4_113,5,6,combo,4,크게 초과,WIDE_DISTRIBUTION;SUBPOP_GAP,fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_WIDE-SUBPOP_L5_114,5,6,combo,5,심각,WIDE_DISTRIBUTION;SUBPOP_GAP,fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
SUBPOP_GAP_L1_040,5,6,single,1,정상범위(미발화),SUBPOP_GAP,not_fire,V,0.5,1.5,2,density_gap,,0.0,,2453,12,0.9951,모드 분리 0.0σ
SUBPOP_GAP_L2_041,5,6,single,2,임계값 소폭 초과,SUBPOP_GAP,fire,V,0.5,1.5,2,density_gap,,0.7254,,2453,12,0.9951,모드 분리 5.0σ
SUBPOP_GAP_L3_042,5,6,single,3,초과,SUBPOP_GAP,fire,V,0.5,1.5,2,density_gap,,0.8618,,2453,12,0.9951,모드 분리 7.0σ
SUBPOP_GAP_L4_043,5,6,single,4,크게 초과,SUBPOP_GAP,fire,V,0.5,1.5,2,density_gap,,0.8708,,2453,12,0.9951,모드 분리 10.0σ
SUBPOP_GAP_L5_044,5,6,single,5,심각,SUBPOP_GAP,fire,V,0.5,1.5,2,density_gap,,0.9446,,2453,12,0.9951,모드 분리 7.0σ · 3봉(다봉)
TAIL_RISK_L1_045,5,6,single,1,정상범위(미발화),TAIL_RISK,not_fire,V,0.5,1.5,2,skewness,0.05,0.05,1.0,2453,12,0.9951,skewness = (mean-median)/stdev (비모수 왜도)는 수학적 상한이 1.0 이라 skew_warn=1.0 을 넘을 수 없다
TAIL_RISK_L2_046,5,6,single,2,임계값 소폭 초과,TAIL_RISK,fire,V,0.5,1.5,2,skewness,0.15,0.15,1.0,2453,12,0.9951,skewness = (mean-median)/stdev (비모수 왜도)는 수학적 상한이 1.0 이라 skew_warn=1.0 을 넘을 수 없다
TAIL_RISK_L3_047,5,6,single,3,초과,TAIL_RISK,fire,V,0.5,1.5,2,skewness,0.25,0.25,1.0,2453,12,0.9951,skewness = (mean-median)/stdev (비모수 왜도)는 수학적 상한이 1.0 이라 skew_warn=1.0 을 넘을 수 없다
TAIL_RISK_L4_048,5,6,single,4,크게 초과,TAIL_RISK,fire,V,0.5,1.5,2,skewness,0.35,0.35,1.0,2453,12,0.9951,skewness = (mean-median)/stdev (비모수 왜도)는 수학적 상한이 1.0 이라 skew_warn=1.0 을 넘을 수 없다
TAIL_RISK_L5_049,5,6,single,5,심각,TAIL_RISK,fire,V,0.5,1.5,2,skewness,0.45,0.45,1.0,2453,12,0.9951,skewness = (mean-median)/stdev (비모수 왜도)는 수학적 상한이 1.0 이라 skew_warn=1.0 을 넘을 수 없다
MIX2_GROSS-WIDE_L3_172,5,6,combo,3,초과,GROSS_FAIL;WIDE_DISTRIBUTION,fire,V,0.5,1.5,2,(조합),,,,2453,1594,0.3502,
MIX2_CODERAIL-MEANSHIFT_L1_145,6,7,combo,1,정상범위(미발화),CODE_RAIL;MEAN_SHIFT,not_fire,CODE,0.0,63.0,2,(조합),,,,2453,12,0.9951,
MIX2_CODERAIL-MEANSHIFT_L2_146,6,7,combo,2,임계값 소폭 초과,CODE_RAIL;MEAN_SHIFT,fire,CODE,0.0,63.0,2,(조합),,,,2453,12,0.9951,
MIX2_CODERAIL-MEANSHIFT_L3_147,6,7,combo,3,초과,CODE_RAIL;MEAN_SHIFT,fire,CODE,0.0,63.0,2,(조합),,,,2453,12,0.9951,
MIX2_CODERAIL-MEANSHIFT_L4_148,6,7,combo,4,크게 초과,CODE_RAIL;MEAN_SHIFT,fire,CODE,0.0,63.0,2,(조합),,,,2453,12,0.9951,
MIX2_CODERAIL-MEANSHIFT_L5_149,6,7,combo,5,심각,CODE_RAIL;MEAN_SHIFT,fire,CODE,0.0,63.0,2,(조합),,,,2453,12,0.9951,
MIX2_MEANSHIFT-HEAVYTAIL_L1_120,6,7,combo,1,정상범위(미발화),MEAN_SHIFT;HEAVY_TAIL,not_fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_MEANSHIFT-HEAVYTAIL_L2_121,6,7,combo,2,임계값 소폭 초과,MEAN_SHIFT;HEAVY_TAIL,fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_MEANSHIFT-HEAVYTAIL_L3_122,6,7,combo,3,초과,MEAN_SHIFT;HEAVY_TAIL,fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_MEANSHIFT-HEAVYTAIL_L4_123,6,7,combo,4,크게 초과,MEAN_SHIFT;HEAVY_TAIL,fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
MIX2_MEANSHIFT-HEAVYTAIL_L5_124,6,7,combo,5,심각,MEAN_SHIFT;HEAVY_TAIL,fire,V,0.5,1.5,2,(조합),,,,2453,12,0.9951,
UNITA_MEANSHIFT_L2_204,6,7,unit_axis,2,임계값 소폭 초과,MEAN_SHIFT,fire,ma,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=A
UNITA_MEANSHIFT_L4_205,6,7,unit_axis,4,크게 초과,MEAN_SHIFT,fire,ma,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=A
UNITA_SEVOUT_L2_200,6,7,unit_axis,2,임계값 소폭 초과,SEVERE_OUTLIER,fire,ma,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=A
UNITA_SEVOUT_L4_201,6,7,unit_axis,4,크게 초과,SEVERE_OUTLIER,fire,ma,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=A
UNITA_SPECTIGHT_L2_202,6,7,unit_axis,2,임계값 소폭 초과,SPEC_TOO_TIGHT,fire,ma,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=A
UNITA_SPECTIGHT_L4_203,6,7,unit_axis,4,크게 초과,SPEC_TOO_TIGHT,fire,ma,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=A
