item,case,level,level_ko,desc,metric,target_t,solved_metric,expect_focus,actual_focus,ok,note,cpk_ratio_pct,stdev_delta_pct,ks_d,meanshift_sigma,p_mean,p_stdev,before_avg,before_stdev,before_cpk,after_avg,after_stdev,after_cpk
SHAPE_BIMODAL_SKEW_01_L3,SHAPE_BIMODAL_SKEW,3,L3 검출(임계 초과),정규 → 비대칭 쌍봉(소수 모드 혼입),ks,1.7852,0.2398,1,1,1,,100.0,-0.0,0.2398,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416666738036326,1.6
SHAPE_BIMODAL_SKEW_01_L4,SHAPE_BIMODAL_SKEW,4,L4 검출(크게 초과),정규 → 비대칭 쌍봉(소수 모드 혼입),ks,3.0,0.2696,1,1,1,,100.0,-0.0,0.2696,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416666742116758,1.6
SHAPE_BIMODAL_SKEW_02_L1,SHAPE_BIMODAL_SKEW,1,L1 미검출(여유),정규 → 비대칭 쌍봉(소수 모드 혼입),ks,0.3958,0.0496,0,0,1,,100.0,-2e-06,0.0496,0.0,1.0,0.720143,5.0,1.0416666754074766,1.6,5.0,1.0416666537034998,1.6
SHAPE_BIMODAL_SKEW_02_L2,SHAPE_BIMODAL_SKEW,2,L2 미검출(임계 직하),정규 → 비대칭 쌍봉(소수 모드 혼입),ks,0.8308,0.0991,0,0,1,,100.0,-2e-06,0.0991,0.0,1.0,0.081374,5.0,1.0416666754074766,1.6,5.0,1.0416666577426281,1.6
SHAPE_BIMODAL_SKEW_02_L3,SHAPE_BIMODAL_SKEW,3,L3 검출(임계 초과),정규 → 비대칭 쌍봉(소수 모드 혼입),ks,1.7852,0.2398,1,1,1,,100.0,-0.0,0.2398,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416666738036326,1.6
SHAPE_BIMODAL_SKEW_02_L4,SHAPE_BIMODAL_SKEW,4,L4 검출(크게 초과),정규 → 비대칭 쌍봉(소수 모드 혼입),ks,3.0,0.2696,1,1,1,,100.0,-0.0,0.2696,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416666742116758,1.6
SHAPE_TRIMODAL_01_L1,SHAPE_TRIMODAL,1,L1 미검출(여유),정규 → 삼봉(사이트 혼입),ks,0.604,0.0505,0,0,1,,100.0,-1e-06,0.0496,0.0,1.0,0.233409,5.0,1.0416666754074766,1.6,5.0,1.0416666664675795,1.6
SHAPE_TRIMODAL_01_L2,SHAPE_TRIMODAL,2,L2 미검출(임계 직하),정규 → 삼봉(사이트 혼입),ks,0.8054,0.0991,0,0,1,,100.0,-1e-06,0.0991,0.0,1.0,0.071392,5.0,1.0416666754074766,1.6,5.0,1.0416666681512339,1.6
SHAPE_TRIMODAL_01_L3,SHAPE_TRIMODAL,3,L3 검출(임계 초과),정규 → 삼봉(사이트 혼입),ks,3.0,0.2071,1,1,1,,100.0,-0.0,0.2071,0.0,1.0,0.585322,5.0,1.0416666754074766,1.6,5.0,1.0416666735514015,1.6
SHAPE_TRIMODAL_01_L4,SHAPE_TRIMODAL,4,L4 검출(크게 초과),정규 → 삼봉(사이트 혼입),ks,3.0,0.2071,1,1,1,,100.0,-0.0,0.2071,0.0,1.0,0.585322,5.0,1.0416666754074766,1.6,5.0,1.0416666735514015,1.6
SHAPE_TRIMODAL_02_L1,SHAPE_TRIMODAL,1,L1 미검출(여유),정규 → 삼봉(사이트 혼입),ks,0.604,0.0505,0,0,1,,100.0,-1e-06,0.0496,0.0,1.0,0.233409,5.0,1.0416666754074766,1.6,5.0,1.0416666664675795,1.6
SHAPE_TRIMODAL_02_L2,SHAPE_TRIMODAL,2,L2 미검출(임계 직하),정규 → 삼봉(사이트 혼입),ks,0.8054,0.0991,0,0,1,,100.0,-1e-06,0.0991,0.0,1.0,0.071392,5.0,1.0416666754074766,1.6,5.0,1.0416666681512339,1.6
SHAPE_TRIMODAL_02_L3,SHAPE_TRIMODAL,3,L3 검출(임계 초과),정규 → 삼봉(사이트 혼입),ks,3.0,0.2071,1,1,1,,100.0,-0.0,0.2071,0.0,1.0,0.585322,5.0,1.0416666754074766,1.6,5.0,1.0416666735514015,1.6
SHAPE_TRIMODAL_02_L4,SHAPE_TRIMODAL,4,L4 검출(크게 초과),정규 → 삼봉(사이트 혼입),ks,3.0,0.2071,1,1,1,,100.0,-0.0,0.2071,0.0,1.0,0.585322,5.0,1.0416666754074766,1.6,5.0,1.0416666735514015,1.6
SHAPE_TAILFLIP_01_L1,SHAPE_TAILFLIP,1,L1 미검출(여유),"꼬리 방향 반전 (위→아래, μ·σ 동일)",ks,0.2739,0.0496,0,0,1,,100.0,0.0,0.0496,0.0,1.0,0.450167,5.0,1.0416666619755195,1.6,5.0,1.0416666656243398,1.6
SHAPE_TAILFLIP_01_L2,SHAPE_TAILFLIP,2,L2 미검출(임계 직하),"꼬리 방향 반전 (위→아래, μ·σ 동일)",ks,2.6436,0.0991,0,0,1,,100.0,-1e-06,0.0991,0.0,1.0,0.930027,5.0,1.0416666698904358,1.6,5.0,1.041666663198868,1.6
SHAPE_TAILFLIP_01_L3,SHAPE_TAILFLIP,3,L3 검출(임계 초과),"꼬리 방향 반전 (위→아래, μ·σ 동일)",ks,1.0,0.2438,1,1,1,,100.0,-2e-06,0.2438,0.0,1.0,0.865598,5.0,1.0416666849160499,1.6,5.0,1.0416666594150215,1.6
SHAPE_TAILFLIP_01_L4,SHAPE_TAILFLIP,4,L4 검출(크게 초과),"꼬리 방향 반전 (위→아래, μ·σ 동일)",ks,1.0,0.2438,1,1,1,,100.0,-2e-06,0.2438,0.0,1.0,0.865598,5.0,1.0416666849160499,1.6,5.0,1.0416666594150215,1.6
SHAPE_TAILFLIP_02_L1,SHAPE_TAILFLIP,1,L1 미검출(여유),"꼬리 방향 반전 (위→아래, μ·σ 동일)",ks,0.2739,0.0496,0,0,1,,100.0,0.0,0.0496,0.0,1.0,0.450167,5.0,1.0416666619755195,1.6,5.0,1.0416666656243398,1.6
SHAPE_TAILFLIP_02_L2,SHAPE_TAILFLIP,2,L2 미검출(임계 직하),"꼬리 방향 반전 (위→아래, μ·σ 동일)",ks,2.6436,0.0991,0,0,1,,100.0,-1e-06,0.0991,0.0,1.0,0.930027,5.0,1.0416666698904358,1.6,5.0,1.041666663198868,1.6
SHAPE_TAILFLIP_02_L3,SHAPE_TAILFLIP,3,L3 검출(임계 초과),"꼬리 방향 반전 (위→아래, μ·σ 동일)",ks,1.0,0.2438,1,1,1,,100.0,-2e-06,0.2438,0.0,1.0,0.865598,5.0,1.0416666849160499,1.6,5.0,1.0416666594150215,1.6
SHAPE_TAILFLIP_02_L4,SHAPE_TAILFLIP,4,L4 검출(크게 초과),"꼬리 방향 반전 (위→아래, μ·σ 동일)",ks,1.0,0.2438,1,1,1,,100.0,-2e-06,0.2438,0.0,1.0,0.865598,5.0,1.0416666849160499,1.6,5.0,1.0416666594150215,1.6
SHAPE_TAIL_ONESIDE_01_L1,SHAPE_TAIL_ONESIDE,1,L1 미검출(여유),정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),ks,0.2078,0.0476,0,0,1,,100.0,-1e-06,0.0476,0.0,1.0,0.356066,5.0,1.0416666754074766,1.6,5.0,1.0416666679516176,1.6
SHAPE_TAIL_ONESIDE_01_L2,SHAPE_TAIL_ONESIDE,2,L2 미검출(임계 직하),정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),ks,0.5481,0.0971,0,0,1,,100.0,-1e-06,0.0971,0.0,1.0,0.125815,5.0,1.0416666754074766,1.6,5.0,1.0416666627152438,1.6
SHAPE_TAIL_ONESIDE_01_L3,SHAPE_TAIL_ONESIDE,3,L3 검출(임계 초과),정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),ks,3.0,0.226,1,1,1,,100.0,-2e-06,0.226,0.0,1.0,2e-06,5.0,1.0416666754074766,1.6,5.0,1.0416666595236868,1.6
SHAPE_TAIL_ONESIDE_01_L4,SHAPE_TAIL_ONESIDE,4,L4 검출(크게 초과),정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),ks,3.0,0.226,1,1,1,,100.0,-2e-06,0.226,0.0,1.0,2e-06,5.0,1.0416666754074766,1.6,5.0,1.0416666595236868,1.6
SHAPE_TAIL_ONESIDE_02_L1,SHAPE_TAIL_ONESIDE,1,L1 미검출(여유),정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),ks,0.2078,0.0476,0,0,1,,100.0,-1e-06,0.0476,0.0,1.0,0.356066,5.0,1.0416666754074766,1.6,5.0,1.0416666679516176,1.6
SHAPE_TAIL_ONESIDE_02_L2,SHAPE_TAIL_ONESIDE,2,L2 미검출(임계 직하),정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),ks,0.5481,0.0971,0,0,1,,100.0,-1e-06,0.0971,0.0,1.0,0.125815,5.0,1.0416666754074766,1.6,5.0,1.0416666627152438,1.6
SHAPE_TAIL_ONESIDE_02_L3,SHAPE_TAIL_ONESIDE,3,L3 검출(임계 초과),정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),ks,3.0,0.226,1,1,1,,100.0,-2e-06,0.226,0.0,1.0,2e-06,5.0,1.0416666754074766,1.6,5.0,1.0416666595236868,1.6
SHAPE_TAIL_ONESIDE_02_L4,SHAPE_TAIL_ONESIDE,4,L4 검출(크게 초과),정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),ks,3.0,0.226,1,1,1,,100.0,-2e-06,0.226,0.0,1.0,2e-06,5.0,1.0416666754074766,1.6,5.0,1.0416666595236868,1.6
SHAPE_TAIL_BOTH_01_L1,SHAPE_TAIL_BOTH,1,L1 미검출(여유),정규 → 양쪽 꼬리(몸통 수축),ks,0.45,0.0466,0,0,1,,100.0,1e-06,0.0466,0.0,1.0,0.193901,5.0,1.0416666754074766,1.6,5.0,1.0416666910132448,1.6
SHAPE_TAIL_BOTH_01_L2,SHAPE_TAIL_BOTH,2,L2 미검출(임계 직하),정규 → 양쪽 꼬리(몸통 수축),ks,1.4964,0.1001,0,0,1,,100.0,0.0,0.0991,0.0,1.0,0.168463,5.0,1.0416666754074766,1.6,5.0,1.0416666772680951,1.6
SHAPE_TAIL_BOTH_01_L3,SHAPE_TAIL_BOTH,3,L3 검출(임계 초과),정규 → 양쪽 꼬리(몸통 수축),ks,3.0,0.1596,1,1,1,,100.0,-1e-06,0.1596,0.0,1.0,0.011791,5.0,1.0416666754074766,1.6,5.0,1.0416666598463438,1.6
SHAPE_TAIL_BOTH_01_L4,SHAPE_TAIL_BOTH,4,L4 검출(크게 초과),정규 → 양쪽 꼬리(몸통 수축),ks,3.0,0.1596,1,1,1,,100.0,-1e-06,0.1596,0.0,1.0,0.011791,5.0,1.0416666754074766,1.6,5.0,1.0416666598463438,1.6
SHAPE_PLATEAU_01_L1,SHAPE_PLATEAU,1,L1 미검출(여유),정규 → 중앙 함몰(U 자화),ks,0.2935,0.0486,0,0,1,,100.0,-2e-06,0.0486,0.0,1.0,0.242409,5.0,1.0416666754074766,1.6,5.0,1.0416666508165655,1.6
SHAPE_PLATEAU_01_L2,SHAPE_PLATEAU,2,L2 미검출(임계 직하),정규 → 중앙 함몰(U 자화),ks,0.5535,0.0991,0,0,1,,100.0,0.0,0.0991,0.0,1.0,0.002518,5.0,1.0416666754074766,1.6,5.0,1.0416666766214322,1.6
SHAPE_PLATEAU_01_L3,SHAPE_PLATEAU,3,L3 검출(임계 초과),정규 → 중앙 함몰(U 자화),ks,3.0,0.1833,1,1,1,,100.0,-2e-06,0.1833,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416666593789348,1.6
SHAPE_PLATEAU_01_L4,SHAPE_PLATEAU,4,L4 검출(크게 초과),정규 → 중앙 함몰(U 자화),ks,3.0,0.1833,1,1,1,,100.0,-2e-06,0.1833,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416666593789348,1.6
SHAPE_SKEW_R_01_L1,SHAPE_SKEW_R,1,L1 미검출(여유),정규 → 우왜곡(로그정규형),ks,0.0158,0.0496,0,0,1,,100.0,-1e-06,0.0496,0.0,1.0,0.380685,5.0,1.0416666754074766,1.6,5.0,1.0416666652335167,1.6
SHAPE_SKEW_R_01_L2,SHAPE_SKEW_R,2,L2 미검출(임계 직하),정규 → 우왜곡(로그정규형),ks,0.2123,0.0991,0,0,1,,100.0,0.0,0.0991,0.0,1.0,0.047554,5.0,1.0416666754074766,1.6,5.0,1.041666678832738,1.6
SHAPE_SKEW_R_01_L3,SHAPE_SKEW_R,3,L3 검출(임계 초과),정규 → 우왜곡(로그정규형),ks,0.9461,0.2398,1,1,1,,100.0,-1e-06,0.2398,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416666671421042,1.6
SHAPE_SKEW_R_01_L4,SHAPE_SKEW_R,4,L4 검출(크게 초과),정규 → 우왜곡(로그정규형),ks,3.0,0.3885,1,1,1,,100.0,-2.9e-05,0.3885,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416663777355042,1.6
SHAPE_SKEWFLIP_01_L1,SHAPE_SKEWFLIP,1,L1 미검출(여유),"왜곡 방향 반전 (우→좌, μ·σ 동일)",ks,0.002,0.0496,0,0,1,,100.0,0.0,0.0496,0.0,1.0,0.447895,5.0,1.0416666652197675,1.6,5.0,1.0416666701835977,1.6
SHAPE_SKEWFLIP_01_L2,SHAPE_SKEWFLIP,2,L2 미검출(임계 직하),"왜곡 방향 반전 (우→좌, μ·σ 동일)",ks,0.1121,0.1001,0,0,1,,100.0,0.0,0.0991,0.0,1.0,0.409963,5.0,1.0416666605905605,1.6,5.0,1.0416666630582987,1.6
SHAPE_SKEWFLIP_01_L3,SHAPE_SKEWFLIP,3,L3 검출(임계 초과),"왜곡 방향 반전 (우→좌, μ·σ 동일)",ks,0.4722,0.2408,1,1,1,,100.0,0.0,0.2398,0.0,1.0,0.448819,5.0,1.0416666578282807,1.6,5.0,1.0416666579746856,1.6
SHAPE_SKEWFLIP_01_L4,SHAPE_SKEWFLIP,4,L4 검출(크게 초과),"왜곡 방향 반전 (우→좌, μ·σ 동일)",ks,0.9044,0.4192,1,1,1,,100.0,-1e-06,0.4192,0.0,1.0,0.534391,5.0,1.0416666723099306,1.6,5.0,1.0416666599616191,1.6
SHAPE_OUTLIER_01_L1,SHAPE_OUTLIER,1,L1 미검출(여유),정규 → 이탈 무리 분리,ks,0.0682,0.0505,0,0,1,,100.0,0.0,0.0505,0.0,1.0,0.548831,5.0,1.0416666754074766,1.6,5.0,1.0416666768352514,1.6
SHAPE_OUTLIER_01_L2,SHAPE_OUTLIER,2,L2 미검출(임계 직하),정규 → 이탈 무리 분리,ks,0.3726,0.0981,0,0,1,,100.0,-3e-06,0.0981,0.0,1.0,0.709562,5.0,1.0416666754074766,1.6,5.0,1.0416666489741813,1.6
SHAPE_OUTLIER_01_L3,SHAPE_OUTLIER,3,L3 검출(임계 초과),정규 → 이탈 무리 분리,ks,0.9508,0.2398,1,1,1,,100.0,-0.0,0.2398,0.0,1.0,1.8e-05,5.0,1.0416666754074766,1.6,5.0,1.041666673437302,1.6
SHAPE_OUTLIER_01_L4,SHAPE_OUTLIER,4,L4 검출(크게 초과),정규 → 이탈 무리 분리,ks,3.0,0.2785,1,1,1,,100.0,-1e-06,0.2785,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416666699272212,1.6
SHAPE_OUTLIER_02_L1,SHAPE_OUTLIER,1,L1 미검출(여유),정규 → 이탈 무리 분리,ks,0.0682,0.0505,0,0,1,,100.0,0.0,0.0505,0.0,1.0,0.548831,5.0,1.0416666754074766,1.6,5.0,1.0416666768352514,1.6
SHAPE_OUTLIER_02_L2,SHAPE_OUTLIER,2,L2 미검출(임계 직하),정규 → 이탈 무리 분리,ks,0.3726,0.0981,0,0,1,,100.0,-3e-06,0.0981,0.0,1.0,0.709562,5.0,1.0416666754074766,1.6,5.0,1.0416666489741813,1.6
SHAPE_OUTLIER_02_L3,SHAPE_OUTLIER,3,L3 검출(임계 초과),정규 → 이탈 무리 분리,ks,0.9508,0.2398,1,1,1,,100.0,-0.0,0.2398,0.0,1.0,1.8e-05,5.0,1.0416666754074766,1.6,5.0,1.041666673437302,1.6
SHAPE_OUTLIER_02_L4,SHAPE_OUTLIER,4,L4 검출(크게 초과),정규 → 이탈 무리 분리,ks,3.0,0.2785,1,1,1,,100.0,-1e-06,0.2785,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416666699272212,1.6
SHAPE_SPIKE_01_L1,SHAPE_SPIKE,1,L1 미검출(여유),정규 → 단일값 스파이크(포화·클램프),ks,0.0525,0.0476,0,0,1,,100.0,-2e-06,0.0476,0.0,1.0,0.142948,5.0,1.0416666754074766,1.6,5.0,1.0416666584455223,1.6
SHAPE_SPIKE_01_L2,SHAPE_SPIKE,2,L2 미검출(임계 직하),정규 → 단일값 스파이크(포화·클램프),ks,0.1754,0.0951,0,0,1,,100.0,-0.0,0.0951,0.0,1.0,0.001762,5.0,1.0416666754074766,1.6,5.0,1.0416666741961809,1.6
SHAPE_SPIKE_01_L3,SHAPE_SPIKE,3,L3 검출(임계 초과),정규 → 단일값 스파이크(포화·클램프),ks,0.4678,0.2398,1,1,1,,100.0,-1e-06,0.2398,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416666635429865,1.6
SHAPE_SPIKE_01_L4,SHAPE_SPIKE,4,L4 검출(크게 초과),정규 → 단일값 스파이크(포화·클램프),ks,0.8325,0.4232,1,1,1,,100.0,-1e-06,0.4232,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416666629905305,1.6
SHAPE_SPIKE_02_L1,SHAPE_SPIKE,1,L1 미검출(여유),정규 → 단일값 스파이크(포화·클램프),ks,0.0525,0.0476,0,0,1,,100.0,-2e-06,0.0476,0.0,1.0,0.142948,5.0,1.0416666754074766,1.6,5.0,1.0416666584455223,1.6
SHAPE_SPIKE_02_L2,SHAPE_SPIKE,2,L2 미검출(임계 직하),정규 → 단일값 스파이크(포화·클램프),ks,0.1754,0.0951,0,0,1,,100.0,-0.0,0.0951,0.0,1.0,0.001762,5.0,1.0416666754074766,1.6,5.0,1.0416666741961809,1.6
SHAPE_SPIKE_02_L3,SHAPE_SPIKE,3,L3 검출(임계 초과),정규 → 단일값 스파이크(포화·클램프),ks,0.4678,0.2398,1,1,1,,100.0,-1e-06,0.2398,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416666635429865,1.6
SHAPE_SPIKE_02_L4,SHAPE_SPIKE,4,L4 검출(크게 초과),정규 → 단일값 스파이크(포화·클램프),ks,0.8325,0.4232,1,1,1,,100.0,-1e-06,0.4232,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416666629905305,1.6
SHAPE_TRUNC_01_L1,SHAPE_TRUNC,1,L1 미검출(여유),정규 → 한쪽 절단(벽 생성),ks,0.4271,0.0496,0,0,1,,100.0,-4e-06,0.0496,0.0,1.0,0.892281,5.0,1.0416666754074766,1.6,5.0,1.0416666348060788,1.6
SHAPE_TRUNC_01_L2,SHAPE_TRUNC,2,L2 미검출(임계 직하),정규 → 한쪽 절단(벽 생성),ks,0.6266,0.0991,0,0,1,,100.0,0.0,0.0991,0.0,1.0,0.607728,5.0,1.0416666754074766,1.6,5.0,1.0416666799977274,1.6
SHAPE_TRUNC_01_L3,SHAPE_TRUNC,3,L3 검출(임계 초과),정규 → 한쪽 절단(벽 생성),ks,1.0553,0.2398,1,1,1,,100.0,-5e-06,0.2398,0.0,1.0,0.009658,5.0,1.0416666754074766,1.6,5.0,1.0416666266294556,1.6
SHAPE_TRUNC_01_L4,SHAPE_TRUNC,4,L4 검출(크게 초과),정규 → 한쪽 절단(벽 생성),ks,3.0,0.2478,1,1,1,,100.0,6e-06,0.2478,0.0,1.0,0.00447,5.0,1.0416666754074766,1.6,5.0,1.0416667374546071,1.6
SHAPE_UNIFORM_01_L1,SHAPE_UNIFORM,1,L1 미검출(여유),정규 → 균등(평평한 몸통) — ks 상한이 낮아 L1·L2 만,ks,0.6821,0.0496,0,0,1,,100.0,1e-06,0.0496,0.0,1.0,0.114458,5.0,1.0416666754074766,1.6,5.0,1.041666682673177,1.6
SHAPE_UNIFORM_01_L2,SHAPE_UNIFORM,2,L2 미검출(임계 직하),정규 → 균등(평평한 몸통) — ks 상한이 낮아 L1·L2 만,ks,1.25,0.0733,0,0,1,,100.0,0.0,0.0733,0.0,1.0,0.020443,5.0,1.0416666754074766,1.6,5.0,1.0416666784131479,1.6
SHAPE_UNIFORM_02_L1,SHAPE_UNIFORM,1,L1 미검출(여유),정규 → 균등(평평한 몸통) — ks 상한이 낮아 L1·L2 만,ks,0.6821,0.0496,0,0,1,,100.0,1e-06,0.0496,0.0,1.0,0.114458,5.0,1.0416666754074766,1.6,5.0,1.041666682673177,1.6
SHAPE_UNIFORM_02_L2,SHAPE_UNIFORM,2,L2 미검출(임계 직하),정규 → 균등(평평한 몸통) — ks 상한이 낮아 L1·L2 만,ks,1.25,0.0733,0,0,1,,100.0,0.0,0.0733,0.0,1.0,0.020443,5.0,1.0416666754074766,1.6,5.0,1.0416666784131479,1.6
DISC_BIMODAL_01_L1,DISC_BIMODAL,1,L1 미검출(여유),이산 정규 → 이산 쌍봉 (격자 동일),ks,0.4441,0.0496,0,0,1,,99.94,0.098402,0.0496,0.0008,0.986257,0.0573,4.9993,1.042497992320651,1.598,5.0001,1.043523829367435,1.597
DISC_BIMODAL_01_L2,DISC_BIMODAL,2,L2 미검출(임계 직하),이산 정규 → 이산 쌍봉 (격자 동일),ks,0.5895,0.1001,0,0,1,,100.13,-0.10219,0.1001,0.0012,0.977646,1.1e-05,4.9993,1.042497992320651,1.598,5.0006,1.0414326683479684,1.6
DISC_BIMODAL_01_L3,DISC_BIMODAL,3,L3 검출(임계 초과),이산 정규 → 이산 쌍봉 (격자 동일),ks,0.9232,0.2408,1,1,1,,99.69,0.358936,0.2408,0.0008,0.986274,0.0,4.9993,1.042497992320651,1.598,4.9985,1.0462398902788124,1.593
DISC_BIMODAL_01_L4,DISC_BIMODAL,4,L4 검출(크게 초과),이산 정규 → 이산 쌍봉 (격자 동일),ks,3.0,0.3211,1,1,1,,99.06,-0.030257,0.3211,0.0483,0.277585,0.0,4.9993,1.042497992320651,1.598,4.9489,1.0421825597294525,1.583
DISC_BIMODAL_02_L1,DISC_BIMODAL,1,L1 미검출(여유),이산 정규 → 이산 쌍봉 (격자 동일),ks,0.4441,0.0496,0,0,1,,99.94,0.098402,0.0496,0.0008,0.986257,0.0573,4.9993,1.042497992320651,1.598,5.0001,1.043523829367435,1.597
DISC_BIMODAL_02_L2,DISC_BIMODAL,2,L2 미검출(임계 직하),이산 정규 → 이산 쌍봉 (격자 동일),ks,0.5895,0.1001,0,0,1,,100.13,-0.10219,0.1001,0.0012,0.977646,1.1e-05,4.9993,1.042497992320651,1.598,5.0006,1.0414326683479684,1.6
DISC_BIMODAL_02_L3,DISC_BIMODAL,3,L3 검출(임계 초과),이산 정규 → 이산 쌍봉 (격자 동일),ks,0.9232,0.2408,1,1,1,,99.69,0.358936,0.2408,0.0008,0.986274,0.0,4.9993,1.042497992320651,1.598,4.9985,1.0462398902788124,1.593
DISC_BIMODAL_02_L4,DISC_BIMODAL,4,L4 검출(크게 초과),이산 정규 → 이산 쌍봉 (격자 동일),ks,3.0,0.3211,1,1,1,,99.06,-0.030257,0.3211,0.0483,0.277585,0.0,4.9993,1.042497992320651,1.598,4.9489,1.0421825597294525,1.583
DISC_SPARSE_01_L1,DISC_SPARSE,1,L1 미검출(여유),이산 + 한 계단에 몰림 (수준 편중),ks,0.1021,0.0476,0,0,1,,99.5,0.342722,0.0476,0.0089,0.841478,0.161932,4.9993,1.042497992320651,1.598,4.99,1.0460708652718982,1.59
DISC_SPARSE_01_L2,DISC_SPARSE,2,L2 미검출(임계 직하),이산 + 한 계단에 몰림 (수준 편중),ks,0.222,0.1041,0,0,1,,99.75,-0.077387,0.1041,0.0186,0.675887,0.001027,4.9993,1.042497992320651,1.598,4.9799,1.0416912333174548,1.594
DISC_SPARSE_01_L3,DISC_SPARSE,3,L3 검출(임계 초과),이산 + 한 계단에 몰림 (수준 편중),ks,0.5094,0.2329,1,1,1,,99.56,-0.115917,0.2329,0.0275,0.536176,0.0,4.9993,1.042497992320651,1.598,4.9706,1.0412895636915915,1.591
