DUT,XCoord,YCoord,Bin,subject_01,subject_02,subject_03,subject_04,subject_05,subject_06,subject_07,subject_08,subject_09,subject_10,subject_11,subject_12,subject_13,subject_14,subject_15,subject_16,subject_17,subject_18,subject_19,subject_20,subject_21,subject_22,subject_23,subject_24,subject_25,subject_26,subject_27,subject_28,subject_29,subject_30,subject_31,subject_32,subject_33,subject_34,subject_35,subject_36,subject_37,subject_38,subject_39,subject_40,subject_41,subject_42,subject_43,subject_44,subject_45,subject_46,subject_47,subject_48,subject_49,subject_50
6,25.0,2.0,1.0,-0.248,0.130,1.650,-0.242,0.140,-0.037,-0.158,-1.206,0.664,-0.481,-0.200,-0.631,1.402,-0.210,-0.875,0.592,0.938,0.421,-0.762,2.087,-0.166,0.158,1.162,-0.964,1.837,-0.695,0.416,-0.921,0.493,-0.762,0.661,-0.637,0.298,1.785,-0.162,0.482,0.961,1.120,-0.234,-0.922,0.054,1.122,2.199,-0.203,-1.080,1.942,0.452,0.858,-1.729,1.598
7,22.0,1.0,1.0,-0.550,0.624,0.311,-1.295,0.326,0.480,1.066,0.577,-0.167,-0.862,-1.404,-0.029,2.120,-0.518,0.709,0.878,-0.220,-0.391,-0.169,-1.046,-0.279,0.854,-0.565,-1.212,1.110,-0.893,0.444,-1.266,-0.664,0.468,0.101,-0.719,0.657,0.257,-0.202,-0.198,-0.523,-1.466,-1.310,0.473,0.961,-0.051,1.936,-0.674,-0.954,1.649,-1.743,0.129,-0.385,1.461
8,35.0,4.0,1.0,0.701,1.229,0.287,-0.926,-0.576,-1.321,-0.085,-0.892,1.102,-0.299,0.118,-1.068,1.660,-0.446,0.944,0.310,1.732,3.090,-0.038,1.341,-2.021,0.860,-0.106,0.055,1.558,0.143,1.067,-1.139,1.534,1.421,-1.020,-2.032,1.387,-0.715,1.461,-0.195,0.051,-0.946,0.112,-0.955,0.183,-0.752,-1.134,-0.253,-0.719,1.237,0.540,0.564,-0.477,1.922
9,1.0,1.0,14.0,1.126,1.171,0.977,0.524,-0.621,-0.112,0.152,-0.314,-0.078,-0.171,0.008,-0.351,2.216,-0.758,0.608,0.685,1.920,-0.498,-0.624,-2.332,1.141,0.363,0.839,-1.524,0.264,9.107,,,,,,,,,,,,,,,,,,,,,,,,
10,10.0,10.0,1.0,-0.261,0.735,1.355,-1.838,-0.224,0.130,0.168,-0.649,1.071,-0.484,0.614,-1.720,-0.024,0.375,0.122,1.326,-0.876,0.433,-1.054,1.674,-0.598,0.642,1.673,-0.653,0.682,-0.917,1.898,0.339,2.024,0.541,-0.166,-1.082,0.569,1.165,1.449,-0.397,0.225,-0.579,-0.117,0.166,1.315,0.505,1.498,0.200,-1.475,0.484,-1.783,0.818,-0.944,1.279
11,24.0,6.0,1.0,1.518,0.535,0.838,-1.791,-0.507,0.009,0.550,0.283,-0.432,0.658,-0.119,-0.366,-0.240,-1.314,2.167,0.543,0.482,1.006,-0.079,-0.846,-0.267,0.701,-0.214,0.036,0.697,0.224,1.574,-0.922,0.039,1.062,0.730,-0.958,-1.380,1.362,1.675,0.347,1.090,-0.450,0.336,1.494,0.084,2.833,0.731,0.029,-0.518,0.639,-0.878,0.717,-1.860,0.990
12,29.0,4.0,1.0,0.395,0.219,0.343,-1.305,-0.491,-0.344,0.348,-0.500,1.087,-1.052,-0.644,-1.740,0.532,-1.002,0.768,0.338,-0.448,-0.546,0.312,0.260,-0.812,0.109,3.510,-0.155,0.976,-0.442,0.247,-2.215,1.928,1.184,1.291,-0.088,0.641,0.436,1.957,0.636,0.340,-1.086,0.001,1.001,-0.049,-0.018,-1.014,0.671,-0.580,-0.250,-0.304,0.414,-1.051,1.275
13,22.0,9.0,1.0,1.533,0.618,-0.748,0.362,-0.341,-0.040,0.930,0.079,1.148,1.201,-0.373,-1.268,0.178,-1.073,-0.450,0.482,2.402,0.120,-0.965,1.160,-0.984,0.492,2.387,-1.906,0.524,-0.547,1.001,-1.098,-0.042,2.563,0.615,-0.066,1.436,1.394,0.894,-0.704,0.132,0.236,1.804,-0.222,-0.676,-0.517,-0.103,0.208,0.595,0.915,-0.451,-0.040,0.280,1.403
14,13.0,1.0,1.0,0.067,-0.895,2.138,-3.252,-1.954,0.201,0.544,-1.573,1.012,0.345,-1.282,-1.094,-1.279,-1.208,-0.839,0.016,0.523,1.425,0.394,-1.684,-1.171,-0.328,0.580,-0.115,1.304,1.206,-0.263,-1.448,0.128,1.889,0.604,-0.370,1.623,0.228,1.065,-0.582,-0.038,0.407,-0.608,-0.584,0.842,0.952,-1.031,-0.036,-0.262,0.975,-1.483,0.027,0.010,0.664
15,14.0,4.0,1.0,-0.694,-0.101,-0.235,-0.146,0.021,-0.524,0.941,-0.129,0.745,-2.156,-0.679,-1.259,0.127,0.199,1.137,1.833,0.686,0.447,0.352,0.668,-0.092,-0.022,2.928,-0.316,0.406,-0.346,1.755,-2.644,1.429,0.139,-0.428,-0.650,-0.090,1.205,1.651,-0.608,1.490,0.276,0.899,-0.551,0.806,-0.583,0.516,0.030,-0.768,0.069,-0.089,-0.376,-1.724,0.718
16,8.0,8.0,1.0,-0.731,-0.288,0.750,1.083,0.093,-0.621,1.643,-0.278,0.885,-1.435,-2.431,-0.180,-1.160,-0.749,0.091,1.070,0.312,0.550,0.326,-1.608,1.436,0.403,-0.104,-1.492,1.241,0.174,0.762,-0.698,-1.022,0.509,0.525,0.778,0.058,1.634,0.448,-0.668,1.050,-0.960,-0.631,0.683,1.279,1.559,0.487,0.067,-0.018,1.055,-1.293,0.462,-2.632,0.722
17,3.0,9.0,1.0,-0.149,1.390,1.074,0.532,-1.244,-0.463,0.856,1.772,0.930,-0.482,0.496,-0.464,0.075,-1.188,0.551,0.681,1.093,2.250,-0.074,-0.168,-1.800,0.190,0.727,-0.587,0.493,0.596,0.748,-1.098,1.481,-1.158,2.829,-1.138,0.992,0.929,0.889,-0.408,0.863,-0.466,-0.139,0.791,0.512,0.222,0.902,0.240,-0.041,1.850,-1.190,0.916,-1.507,0.670
18,28.0,1.0,1.0,0.074,1.280,0.994,0.109,-0.479,0.228,0.741,-0.052,-0.258,-0.066,-0.426,-0.458,-0.298,-0.545,2.281,0.037,1.287,-0.937,-0.337,-0.518,-0.969,0.720,-0.021,-1.398,1.377,-0.435,0.984,-0.762,1.424,2.347,1.235,-1.412,-0.024,1.901,0.106,-0.574,0.389,-0.573,-0.347,-0.814,0.276,-2.208,0.105,-0.126,1.783,-0.070,-0.155,0.564,-1.074,2.038
19,4.0,1.0,1.0,0.275,1.288,0.194,0.230,-0.109,-0.326,0.857,-0.456,0.785,1.652,0.790,-0.687,0.949,0.286,-0.090,1.066,0.095,2.228,0.110,2.752,-0.827,0.548,0.381,-0.015,0.931,0.881,0.409,0.753,0.465,1.495,1.549,-2.354,0.420,0.870,0.071,-0.051,0.723,-0.429,-0.753,-0.442,1.048,0.478,1.573,-0.176,1.014,-0.290,-0.290,-0.388,-0.144,0.749
20,11.0,10.0,1.0,0.698,0.484,1.216,-0.955,-1.946,-1.094,0.448,0.310,1.385,-1.143,-0.029,-1.640,0.215,-1.577,0.936,0.899,0.441,1.605,-0.092,0.737,-1.892,-0.142,2.741,-0.570,0.209,-1.740,0.010,-1.223,0.802,1.934,-1.037,0.873,-0.190,0.568,1.864,0.312,-0.139,0.707,-0.937,-0.098,0.718,2.200,-0.045,0.698,0.510,-0.878,-0.299,0.794,-1.211,0.722
21,17.0,1.0,1.0,-1.464,0.532,2.487,-0.234,-0.281,-0.816,0.715,-0.474,0.078,-0.963,0.010,-1.495,1.273,0.997,1.415,0.391,-0.552,-0.482,-0.926,-2.028,1.159,0.770,0.139,-0.215,-0.880,0.001,1.389,-2.019,1.670,1.669,1.256,-0.435,1.316,1.896,-0.008,-0.086,-0.513,-0.995,1.431,-1.056,0.895,1.586,0.670,-0.263,0.291,0.209,-1.230,0.305,-2.468,1.896
22,6.0,6.0,1.0,0.888,1.747,1.043,-1.901,-1.528,0.839,0.802,-0.436,2.463,0.410,-1.707,-0.820,1.089,-0.371,0.594,0.114,1.820,0.336,0.337,0.446,0.382,-0.066,0.115,-1.940,0.990,0.128,0.626,-0.787,1.304,-0.359,-0.898,-2.573,0.676,1.304,1.227,-1.264,1.697,-0.957,0.642,-1.982,1.380,1.940,0.260,-0.556,-0.089,1.142,0.273,0.933,-1.709,1.895
23,3.0,2.0,1.0,-0.414,0.377,2.554,-2.313,1.473,-0.214,-0.512,-0.942,0.116,-0.437,-1.537,-1.094,2.258,-1.426,1.885,0.565,1.024,0.179,-0.512,-0.152,1.176,-0.179,0.681,-0.914,0.286,-0.173,1.057,0.380,-0.087,-0.139,1.405,-1.756,-0.090,1.193,-0.004,0.112,0.166,-0.051,-0.424,-0.015,0.079,2.047,0.152,-0.374,-0.805,1.141,-1.301,0.222,-0.042,0.213
24,21.0,4.0,1.0,-0.474,0.112,2.293,-0.526,-0.400,-1.237,0.790,1.920,1.339,-0.184,-0.672,-0.241,0.533,-1.838,1.953,0.553,0.074,0.906,0.103,-1.193,-0.567,0.510,1.374,-0.402,0.576,0.576,0.521,-1.411,-0.935,0.456,0.597,-2.845,-1.164,0.882,-0.210,-0.562,-0.827,0.537,0.345,-0.775,0.263,-0.223,1.012,-0.295,0.604,1.009,-1.419,-1.160,-0.316,1.154
25,31.0,8.0,1.0,-1.458,-0.407,-0.171,0.051,0.614,-0.527,1.168,-1.337,0.882,-0.093,-1.414,-0.984,0.829,0.216,2.228,0.534,-0.281,-0.335,-0.033,-0.356,-2.165,1.354,-0.980,-0.680,0.663,0.997,0.284,-1.277,1.058,0.877,-0.644,1.012,1.535,-0.709,1.259,0.230,0.543,0.748,0.295,-0.607,0.181,-0.290,1.688,-0.089,-2.037,-0.626,-1.176,-0.281,-0.098,0.859
26,5.0,2.0,11.0,0.884,1.335,0.651,-1.025,1.163,-0.576,1.870,-0.868,0.342,-0.937,-1.030,4.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,6.0,7.0,1.0,-0.619,0.648,1.338,-0.816,-0.767,-0.975,0.143,0.436,1.035,0.668,-0.986,-1.019,0.967,-1.030,1.309,-0.560,1.322,-0.006,-0.384,1.209,0.212,-0.876,0.063,-0.951,1.248,0.682,1.186,-1.459,3.589,1.065,-0.212,-1.543,0.034,0.739,-0.734,-0.337,-0.613,0.251,-0.906,-0.152,0.933,-0.068,1.709,-0.054,0.474,0.662,-1.495,0.477,-0.528,0.934
28,9.0,6.0,1.0,0.106,2.526,-1.030,-1.329,-0.550,-0.030,0.739,-0.320,1.370,-1.575,-0.701,-2.687,2.554,-1.058,-0.191,-0.165,0.168,0.653,0.113,0.726,-0.384,1.536,1.171,-1.211,1.262,0.302,0.952,-0.627,-0.194,0.949,1.905,-0.804,-0.027,0.323,1.345,-1.128,-2.444,-0.390,1.590,0.105,0.563,1.671,0.010,1.141,0.172,0.857,0.131,-0.511,-0.544,1.485
29,34.0,8.0,1.0,0.179,1.339,0.855,0.000,-2.452,-0.218,1.195,-0.517,0.322,-0.690,-0.528,-1.248,0.562,-0.180,1.151,0.775,-0.613,0.400,-0.062,-0.647,1.287,0.439,-0.362,-1.014,0.251,0.453,2.016,-1.061,1.464,0.895,1.277,-0.269,-1.531,-0.052,1.849,-0.045,-0.511,1.011,0.337,0.195,0.024,2.405,0.373,-0.037,0.930,0.258,-0.741,0.463,0.990,1.386
30,13.0,4.0,1.0,-0.015,-0.377,1.181,-0.538,-0.113,-0.353,1.044,1.768,1.333,-0.366,-2.679,-1.214,-0.086,1.191,1.665,0.920,0.672,-0.250,-0.698,1.192,-0.588,-0.662,2.372,0.012,1.540,1.144,0.202,-1.265,0.157,0.002,0.985,-1.161,0.827,0.459,1.920,-0.425,-0.824,-0.952,-0.059,-0.941,0.521,1.088,0.505,-0.354,0.636,-0.227,-2.957,1.400,-0.265,1.261
31,33.0,1.0,1.0,-0.307,0.603,0.573,-0.476,-0.215,-0.138,0.268,-0.753,0.218,-0.782,-1.956,-0.905,0.989,-0.199,0.505,0.116,0.689,0.843,-0.358,1.673,0.320,-0.715,0.999,-0.383,0.005,-1.799,1.717,-0.948,2.672,0.389,0.587,-0.686,-0.227,0.949,1.379,-0.405,-1.247,0.343,-0.873,-1.322,0.834,0.916,0.370,0.824,-1.215,-1.307,-1.334,-0.850,-0.749,1.004
32,24.0,9.0,1.0,1.055,-0.504,1.035,-1.822,0.661,-0.170,1.585,-0.285,-0.164,-0.882,-0.238,-0.550,0.539,-1.586,0.578,0.046,-2.036,0.812,0.111,1.976,0.042,-0.001,0.800,-0.173,1.667,0.690,2.179,-1.666,0.732,0.072,0.215,-2.152,0.912,1.198,1.043,-0.400,-1.253,0.868,-1.129,-1.533,1.447,1.454,-0.693,0.021,1.630,-0.975,-0.584,-0.362,-0.442,0.594
33,13.0,8.0,1.0,-1.531,0.069,0.742,1.065,0.303,-0.531,1.528,0.250,1.861,-1.143,-2.042,-2.116,1.281,-0.952,0.001,0.114,0.841,-0.757,-0.617,-0.954,0.075,0.565,0.901,0.743,0.769,0.510,1.280,0.897,1.344,1.053,0.880,-1.562,1.280,0.946,0.594,-0.005,-0.415,0.294,-0.174,-0.672,1.015,-0.063,1.032,-0.865,-0.029,1.074,-0.797,-0.163,-1.630,1.082
34,29.0,6.0,1.0,-0.117,-0.043,2.932,-0.474,1.093,0.214,0.056,-1.127,0.422,0.891,-0.019,-0.876,-0.179,-0.337,0.327,0.786,-0.458,0.342,0.022,-0.346,-0.669,0.482,0.592,-0.811,0.996,0.256,1.359,-1.085,2.649,0.924,-0.293,-0.811,-1.371,0.572,1.647,-0.695,-0.728,0.438,0.499,0.362,0.957,-1.832,0.182,0.237,0.026,-0.200,-2.395,0.264,-1.760,0.831
35,20.0,7.0,1.0,-0.852,0.357,2.340,0.151,0.090,-0.321,0.238,0.093,0.319,-0.510,-1.173,-1.810,0.634,-1.230,-0.031,0.944,0.625,0.409,0.758,0.073,0.576,0.001,1.902,-0.876,1.079,-0.641,0.872,-0.027,1.129,1.874,0.140,1.413,-0.223,-0.988,1.248,-0.490,0.010,0.681,-0.621,-0.167,0.482,-0.956,-0.557,-0.481,-0.659,0.434,-0.949,-0.405,-1.624,0.827
36,6.0,5.0,1.0,0.800,-0.319,0.942,-0.332,-1.052,-0.178,0.164,1.406,0.297,-1.076,-0.726,-0.766,-2.484,0.421,0.386,0.961,-0.305,1.339,0.094,0.489,-0.508,0.811,1.571,-1.494,0.613,-0.485,3.003,-1.297,1.021,0.444,0.893,-0.641,-0.911,0.351,0.721,0.427,-0.775,-0.921,-0.716,-0.301,0.872,-0.216,-0.049,0.560,0.354,0.011,-0.319,0.822,-1.517,0.360
37,30.0,3.0,1.0,-1.396,1.278,-0.786,-0.673,-1.732,0.471,0.620,-0.660,1.040,-2.353,0.839,-1.026,0.243,-1.059,1.770,0.970,1.090,0.199,-1.469,-0.020,-0.226,0.571,1.782,-0.283,0.452,0.035,0.821,-0.520,0.599,-0.144,0.233,-0.728,1.233,0.239,0.782,-0.826,0.421,0.761,-0.173,-0.547,0.458,2.079,-0.266,0.799,-2.009,-0.377,-1.557,-0.577,1.182,1.354
38,34.0,1.0,1.0,0.732,1.243,0.621,-0.643,1.070,-0.819,-0.273,-0.712,0.689,-0.763,-0.517,0.033,-0.758,0.450,1.032,1.142,-0.818,-1.690,-1.298,0.018,-0.809,0.261,0.445,-0.418,1.857,-0.239,0.518,-0.790,-0.200,0.018,-0.101,-0.506,-0.947,1.596,-0.037,-0.286,-0.014,-0.567,-0.350,-0.394,0.525,-0.525,-0.486,0.434,0.854,-0.770,-0.961,0.335,-0.865,1.874
39,8.0,6.0,1.0,-0.027,-0.094,0.397,-1.122,2.611,-0.473,-0.495,-0.091,1.349,-0.778,-1.451,-1.537,0.433,0.208,1.472,1.311,1.025,0.381,-0.172,-0.239,0.476,0.358,-0.587,-0.428,1.323,1.514,0.619,-2.908,1.387,0.286,0.774,0.104,1.127,1.895,1.891,-0.365,0.003,-1.636,0.469,-1.327,0.037,2.228,-0.338,0.111,0.840,-0.368,-0.473,0.639,-0.343,0.160
40,25.0,5.0,1.0,-0.232,-0.159,0.387,-0.946,0.342,0.455,0.964,-1.226,0.132,-0.738,-0.173,-2.030,0.957,-1.275,2.274,0.533,0.996,0.802,-0.079,-0.768,1.861,0.831,1.151,-0.258,1.069,0.946,-0.067,-0.161,1.579,0.151,0.791,-0.947,-0.707,0.247,1.146,-0.250,-1.097,0.563,-0.495,-0.254,1.414,0.733,1.984,0.026,-0.087,0.666,-0.961,0.146,-1.185,1.128
41,15.0,9.0,1.0,0.100,1.164,-1.648,1.077,0.543,-0.025,1.494,-0.700,0.327,-0.591,-2.167,-0.468,0.652,1.375,0.257,1.027,1.746,0.821,-0.990,-0.785,0.595,-0.346,0.430,0.782,1.171,1.455,0.797,-0.952,0.934,0.776,1.119,-0.480,-0.756,-0.411,1.318,-0.610,0.658,0.148,-1.111,0.922,-0.094,-0.421,-0.081,1.303,0.442,-0.667,-0.604,0.542,0.764,1.380
42,23.0,1.0,1.0,0.608,-0.254,-0.067,-1.403,-0.097,-0.556,0.852,-1.454,2.005,-1.700,0.112,-0.973,-0.015,-1.185,1.038,0.954,1.141,-0.781,-0.444,-0.585,1.787,0.827,0.480,-0.775,0.388,-0.413,1.037,-0.573,1.447,0.313,0.158,-1.050,0.908,2.164,1.708,-0.873,0.728,1.211,0.810,-0.665,0.776,-1.255,1.392,0.953,0.229,0.879,-2.143,1.097,-0.422,0.972
43,32.0,2.0,1.0,1.223,-0.753,-0.362,-0.451,-1.863,-0.310,1.174,0.073,0.696,-0.847,-1.135,-1.406,1.249,-1.212,0.327,1.056,0.187,-0.011,0.107,0.498,-1.089,-0.027,1.832,-0.056,-0.528,-0.322,2.077,-1.516,1.407,0.305,1.511,-1.679,0.420,-0.806,1.115,-0.149,-0.040,0.726,-0.266,-0.222,1.156,0.431,0.679,0.040,-0.162,0.728,0.272,-0.665,-1.016,0.036
44,7.0,9.0,18.0,-0.940,1.726,0.545,-1.584,-1.043,0.618,0.987,-0.530,0.110,-1.733,-1.046,-0.614,0.061,-0.981,0.390,0.480,1.783,2.134,-0.597,0.974,-0.457,1.370,0.528,-0.016,-0.598,0.301,0.069,-0.764,1.094,2.688,0.883,0.002,1.855,2.002,0.546,-0.032,0.637,-1.412,0.575,-0.958,-0.117,0.957,0.873,0.606,-0.249,-0.541,-7.436,,,
45,14.0,2.0,1.0,-0.699,1.063,0.919,0.577,-0.115,0.379,1.101,-0.413,1.696,-0.519,-1.048,-1.436,1.225,-0.014,-0.275,1.356,0.623,-1.906,-0.328,-0.061,-1.820,0.264,0.301,-1.976,0.065,-1.037,-0.123,-0.695,2.380,-0.577,1.802,-1.229,-0.327,1.071,0.388,-0.074,3.272,-0.704,-0.913,0.616,0.002,-1.357,1.414,-0.171,-0.720,-0.387,0.677,-0.927,0.023,0.147
46,29.0,9.0,14.0,-1.473,1.019,-0.126,-0.766,-0.854,0.124,-0.309,0.018,0.975,0.151,-2.200,-1.626,1.118,-2.044,0.846,-0.528,1.041,0.806,-0.872,3.082,0.384,1.099,0.911,-0.468,-6.547,,,,,,,,,,,,,,,,,,,,,,,,,
47,7.0,2.0,1.0,0.555,0.952,-1.219,-0.575,0.390,0.086,1.626,0.203,-1.152,-1.003,-0.211,-1.981,2.177,0.730,0.273,0.450,0.273,1.488,-0.117,0.797,0.632,0.192,1.305,-0.403,0.154,1.150,1.176,-1.542,0.286,1.670,1.369,0.748,0.514,0.160,0.792,-0.361,-0.346,-0.986,0.094,-2.120,0.760,-2.728,0.182,0.175,-0.885,-0.475,-0.825,1.218,-2.036,0.930
48,1.0,5.0,1.0,-1.298,1.443,0.445,-1.119,-1.321,0.843,1.990,-0.626,-0.212,0.321,0.030,-0.723,-0.287,-1.379,1.365,1.193,1.061,-1.091,-0.283,-1.681,1.119,0.035,1.124,-0.719,0.165,-1.287,1.219,-0.915,0.060,1.718,1.859,-1.831,-0.052,1.685,1.117,0.730,-0.307,0.138,1.154,0.263,0.032,0.983,1.402,-1.392,0.847,1.463,-1.265,-0.099,-1.560,0.077
49,2.0,8.0,1.0,-0.747,0.539,2.712,-1.188,2.194,-1.043,1.032,-1.693,0.238,-0.162,-0.324,-0.145,1.501,-0.292,-0.074,0.221,1.683,-0.057,0.006,0.860,0.380,-0.046,1.929,0.068,0.959,-0.977,0.000,-1.060,-0.191,0.782,0.492,-1.318,1.674,1.281,0.728,-0.568,-0.318,-0.729,-0.189,-1.074,0.138,1.051,1.310,-0.509,-0.446,-0.229,-0.358,0.801,-2.267,-0.174
50,14.0,8.0,1.0,-0.748,-0.276,-0.714,-0.459,-1.442,-1.104,-0.019,0.583,1.423,-0.650,-1.529,-0.243,0.719,-1.017,1.676,1.222,0.857,-1.115,-0.059,1.161,-1.982,0.824,1.629,-2.035,0.462,-0.233,0.665,-1.385,0.098,1.263,1.542,0.606,0.581,-0.297,0.693,-0.767,0.099,0.301,0.992,-1.262,0.773,-0.608,1.743,-0.108,-0.551,0.059,-0.189,0.084,-0.933,0.682
51,10.0,9.0,1.0,0.016,-0.189,1.849,-0.494,-0.349,0.428,0.995,-0.733,1.614,-1.000,0.393,-1.919,0.531,0.219,0.106,0.051,0.889,1.593,0.241,1.139,-0.192,0.891,1.722,-0.671,0.128,0.275,0.864,0.047,1.762,1.810,0.100,0.688,-0.871,1.941,0.707,-0.263,-0.850,-0.958,-0.479,2.139,1.219,-2.113,1.479,-1.003,-1.020,0.511,-0.295,0.103,-1.842,2.071
52,31.0,2.0,1.0,0.531,0.818,1.388,-0.584,-0.935,-0.521,0.488,1.054,0.612,-0.741,-1.654,-1.560,0.311,-1.292,1.311,0.889,0.010,-0.171,0.071,-0.420,-1.028,0.486,1.403,-1.193,1.744,-0.146,-0.062,-1.106,-0.008,0.264,0.505,-0.155,0.969,1.352,-0.103,-0.543,0.411,-0.714,0.609,-0.622,0.778,1.791,-0.976,0.245,2.509,1.189,-0.652,0.256,-2.321,1.385
53,12.0,8.0,1.0,0.783,-0.522,-1.972,-2.624,0.729,-0.180,-0.716,-0.095,1.959,-1.593,-2.311,0.574,0.977,-0.913,1.517,0.122,-0.509,1.632,-0.219,-1.136,-0.321,0.116,0.951,-0.225,2.103,0.104,0.231,-0.439,-0.092,2.342,-1.048,0.099,1.692,0.686,0.729,-0.732,0.590,-0.640,-1.414,-0.961,1.053,0.288,0.617,0.662,-1.167,-0.851,-0.313,0.392,-0.508,0.788
